state,year,age,pop
GA,2010,0-4,373982
GA,2010,18-49,2395655
GA,2010,5-17,959630
GA,2010,50-64,823283
GA,2010,65+,415742
GA,2011,0-4,373676
GA,2011,18-49,2414956
GA,2011,5-17,974719
GA,2011,50-64,857011
GA,2011,65+,435670
GA,2012,0-4,370392
GA,2012,18-49,2430616
GA,2012,5-17,986127
GA,2012,50-64,887960
GA,2012,65+,458638
GA,2013,0-4,366980
GA,2013,18-49,2437338
GA,2013,5-17,997300
GA,2013,50-64,917776
GA,2013,65+,484271
GA,2014,0-4,364369
GA,2014,18-49,2449353
GA,2014,5-17,1006534
GA,2014,50-64,946892
GA,2014,65+,512803
GA,2015,0-4,362365
GA,2015,18-49,2463566
GA,2015,5-17,1016742
GA,2015,50-64,975513
GA,2015,65+,542635
GA,2016,0-4,362171
GA,2016,18-49,2476023
GA,2016,5-17,1025136
GA,2016,50-64,999000
GA,2016,65+,575044
GA,2017,0-4,361798
GA,2017,18-49,2499331
GA,2017,5-17,1034860
GA,2017,50-64,1022652
GA,2017,65+,605969
GA,2018,0-4,361998
GA,2018,18-49,2520469
GA,2018,5-17,1040609
GA,2018,50-64,1042938
GA,2018,65+,635478
GA,2019,0-4,362888
GA,2019,18-49,2545163
GA,2019,5-17,1045641
GA,2019,50-64,1062310
GA,2019,65+,666305
GA,2020,0-4,361419
GA,2020,18-49,2573561
GA,2020,5-17,1050322
GA,2020,50-64,1081121
GA,2020,65+,698067
GA,2021,0-4,356553
GA,2021,18-49,2593626
GA,2021,5-17,1069314
GA,2021,50-64,1109271
GA,2021,65+,713626
GA,2022,0-4,351228
GA,2022,18-49,2626057
GA,2022,5-17,1061001
GA,2022,50-64,1120515
GA,2022,65+,747854
MD,2009,0-4,169895
MD,2009,18-49,1201685
MD,2009,5-17,452051
MD,2009,50-64,480914
MD,2009,65+,318789
MD,2010,0-4,164603
MD,2010,18-49,1191571
MD,2010,5-17,453836
MD,2010,50-64,502008
MD,2010,65+,324197
MD,2011,0-4,165123
MD,2011,18-49,1189242
MD,2011,5-17,449405
MD,2011,50-64,515710
MD,2011,65+,330473
MD,2012,0-4,165553
MD,2012,18-49,1189479
MD,2012,5-17,445968
MD,2012,50-64,527946
MD,2012,65+,338810
MD,2013,0-4,166295
MD,2013,18-49,1189087
MD,2013,5-17,443543
MD,2013,50-64,538949
MD,2013,65+,348004
MD,2014,0-4,166786
MD,2014,18-49,1189274
MD,2014,5-17,442569
MD,2014,50-64,548040
MD,2014,65+,358288
MD,2015,0-4,167056
MD,2015,18-49,1187770
MD,2015,5-17,441744
MD,2015,50-64,555209
MD,2015,65+,369439
MD,2016,0-4,166502
MD,2016,18-49,1183150
MD,2016,5-17,441632
MD,2016,50-64,559425
MD,2016,65+,381452
MD,2017,0-4,166078
MD,2017,18-49,1179441
MD,2017,5-17,440930
MD,2017,50-64,563480
MD,2017,65+,393050
MD,2018,0-4,165683
MD,2018,18-49,1172116
MD,2018,5-17,439339
MD,2018,50-64,563339
MD,2018,65+,403418
MD,2019,0-4,165223
MD,2019,18-49,1167555
MD,2019,5-17,438447
MD,2019,50-64,561581
MD,2019,65+,414295
MD,2020,0-4,164464
MD,2020,18-49,1164060
MD,2020,5-17,438013
MD,2020,50-64,557697
MD,2020,65+,426030
MD,2021,0-4,164041
MD,2021,18-49,1174614
MD,2021,5-17,451101
MD,2021,50-64,565295
MD,2021,65+,432484
MD,2022,0-4,161806
MD,2022,18-49,1173529
MD,2022,5-17,448178
MD,2022,50-64,557777
MD,2022,65+,448399
MN,2009,0-4,356238
MN,2009,18-49,2348678
MN,2009,5-17,906095
MN,2009,50-64,934506
MN,2009,65+,643064
MN,2010,0-4,352610
MN,2010,18-49,2328995
MN,2010,5-17,929468
MN,2010,50-64,972678
MN,2010,65+,658163
MN,2011,0-4,353120
MN,2011,18-49,2319514
MN,2011,5-17,927476
MN,2011,50-64,1005584
MN,2011,65+,672496
MN,2012,0-4,352455
MN,2012,18-49,2309909
MN,2012,5-17,927877
MN,2012,50-64,1033344
MN,2012,65+,689496
MN,2013,0-4,351416
MN,2013,18-49,2296565
MN,2013,5-17,928964
MN,2013,50-64,1061928
MN,2013,65+,708867
MN,2014,0-4,349909
MN,2014,18-49,2288866
MN,2014,5-17,930113
MN,2014,50-64,1084391
MN,2014,65+,730382
MN,2015,0-4,349261
MN,2015,18-49,2283816
MN,2015,5-17,931441
MN,2015,50-64,1101124
MN,2015,65+,753529
MN,2016,0-4,348800
MN,2016,18-49,2279911
MN,2016,5-17,933298
MN,2016,50-64,1109454
MN,2016,65+,779405
MN,2017,0-4,349962
MN,2017,18-49,2283876
MN,2017,5-17,936376
MN,2017,50-64,1116794
MN,2017,65+,803718
MN,2018,0-4,351740
MN,2018,18-49,2287775
MN,2018,5-17,939867
MN,2018,50-64,1117864
MN,2018,65+,830112
MN,2019,0-4,351664
MN,2019,18-49,2294817
MN,2019,5-17,944184
MN,2019,50-64,1114015
MN,2019,65+,858698
MN,2020,0-4,351104
MN,2020,18-49,2304587
MN,2020,5-17,948180
MN,2020,50-64,1108719
MN,2020,65+,887576
MN,2021,0-4,348468
MN,2021,18-49,2327327
MN,2021,5-17,975101
MN,2021,50-64,1118059
MN,2021,65+,901517
MN,2022,0-4,340546
MN,2022,18-49,2344083
MN,2022,5-17,966538
MN,2022,50-64,1104729
MN,2022,65+,939396
NM,2009,0-4,145570
NM,2009,18-49,859320
NM,2009,5-17,358451
NM,2009,50-64,353157
NM,2009,65+,248362
NM,2010,0-4,143300
NM,2010,18-49,859483
