"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Merced County, CA","06047","More than one race","M",69
,"Merced County, CA","06047","Unknown or Not Stated","UNK",0
,"Merced County, CA","06047","Not Available","NA",0
,"Merced County, CA","06047","Not Reported","NR",0
,"Monterey County, CA","06053","American Indian or Alaska Native","1002-5",33
,"Monterey County, CA","06053","Asian","A",241
,"Monterey County, CA","06053","Black or African American","2054-5",78
,"Monterey County, CA","06053","Native Hawaiian or Other Pacific Islander","NHOPI",23
,"Monterey County, CA","06053","White","2106-3",5689
,"Monterey County, CA","06053","More than one race","M",155
,"Monterey County, CA","06053","Unknown or Not Stated","UNK",0
,"Monterey County, CA","06053","Not Available","NA",0
,"Monterey County, CA","06053","Not Reported","NR",0
,"Napa County, CA","06055","American Indian or Alaska Native","1002-5",0
,"Napa County, CA","06055","Asian","A",100
,"Napa County, CA","06055","Black or African American","2054-5",12
,"Napa County, CA","06055","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Napa County, CA","06055","White","2106-3",1261
,"Napa County, CA","06055","More than one race","M",32
,"Napa County, CA","06055","Unknown or Not Stated","UNK",0
,"Napa County, CA","06055","Not Available","NA",0
,"Napa County, CA","06055","Not Reported","NR",0
,"Orange County, CA","06059","American Indian or Alaska Native","1002-5",45
,"Orange County, CA","06059","Asian","A",9884
,"Orange County, CA","06059","Black or African American","2054-5",457
,"Orange County, CA","06059","Native Hawaiian or Other Pacific Islander","NHOPI",129
,"Orange County, CA","06059","White","2106-3",26633
,"Orange County, CA","06059","More than one race","M",958
,"Orange County, CA","06059","Unknown or Not Stated","UNK",0
,"Orange County, CA","06059","Not Available","NA",0
,"Orange County, CA","06059","Not Reported","NR",0
,"Placer County, CA","06061","American Indian or Alaska Native","1002-5",19
,"Placer County, CA","06061","Asian","A",297
,"Placer County, CA","06061","Black or African American","2054-5",57
,"Placer County, CA","06061","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Placer County, CA","06061","White","2106-3",3143
,"Placer County, CA","06061","More than one race","M",207
,"Placer County, CA","06061","Unknown or Not Stated","UNK",0
,"Placer County, CA","06061","Not Available","NA",0
,"Placer County, CA","06061","Not Reported","NR",0
,"Riverside County, CA","06065","American Indian or Alaska Native","1002-5",180
,"Riverside County, CA","06065","Asian","A",2319
,"Riverside County, CA","06065","Black or African American","2054-5",1737
,"Riverside County, CA","06065","Native Hawaiian or Other Pacific Islander","NHOPI",109
,"Riverside County, CA","06065","White","2106-3",25057
,"Riverside County, CA","06065","More than one race","M",1259
,"Riverside County, CA","06065","Unknown or Not Stated","UNK",0
,"Riverside County, CA","06065","Not Available","NA",0
,"Riverside County, CA","06065","Not Reported","NR",0
,"Sacramento County, CA","06067","American Indian or Alaska Native","1002-5",125
,"Sacramento County, CA","06067","Asian","A",3535
,"Sacramento County, CA","06067","Black or African American","2054-5",2015
,"Sacramento County, CA","06067","Native Hawaiian or Other Pacific Islander","NHOPI",293
,"Sacramento County, CA","06067","White","2106-3",12128
,"Sacramento County, CA","06067","More than one race","M",1492
,"Sacramento County, CA","06067","Unknown or Not Stated","UNK",0
,"Sacramento County, CA","06067","Not Available","NA",0
,"Sacramento County, CA","06067","Not Reported","NR",0
,"San Bernardino County, CA","06071","American Indian or Alaska Native","1002-5",149
,"San Bernardino County, CA","06071","Asian","A",3127
,"San Bernardino County, CA","06071","Black or African American","2054-5",2651
,"San Bernardino County, CA","06071","Native Hawaiian or Other Pacific Islander","NHOPI",116
,"San Bernardino County, CA","06071","White","2106-3",23715
,"San Bernardino County, CA","06071","More than one race","M",1274
,"San Bernardino County, CA","06071","Unknown or Not Stated","UNK",0
,"San Bernardino County, CA","06071","Not Available","NA",0
,"San Bernardino County, CA","06071","Not Reported","NR",0
,"San Diego County, CA","06073","American Indian or Alaska Native","1002-5",196
,"San Diego County, CA","06073","Asian","A",5017
,"San Diego County, CA","06073","Black or African American","2054-5",2035
,"San Diego County, CA","06073","Native Hawaiian or Other Pacific Islander","NHOPI",184
,"San Diego County, CA","06073","White","2106-3",33700
,"San Diego County, CA","06073","More than one race","M",1588
,"San Diego County, CA","06073","Unknown or Not Stated","UNK",0
,"San Diego County, CA","06073","Not Available","NA",0
,"San Diego County, CA","06073","Not Reported","NR",0
,"San Francisco County, CA","06075","American Indian or Alaska Native","1002-5",10
,"San Francisco County, CA","06075","Asian","A",3087
,"San Francisco County, CA","06075","Black or African American","2054-5",447
,"San Francisco County, CA","06075","Native Hawaiian or Other Pacific Islander","NHOPI",67
,"San Francisco County, CA","06075","White","2106-3",5089
,"San Francisco County, CA","06075","More than one race","M",362
,"San Francisco County, CA","06075","Unknown or Not Stated","UNK",0
,"San Francisco County, CA","06075","Not Available","NA",0
,"San Francisco County, CA","06075","Not Reported","NR",0
,"San Joaquin County, CA","06077","American Indian or Alaska Native","1002-5",33
,"San Joaquin County, CA","06077","Asian","A",1622
,"San Joaquin County, CA","06077","Black or African American","2054-5",742
,"San Joaquin County, CA","06077","Native Hawaiian or Other Pacific Islander","NHOPI",63
,"San Joaquin County, CA","06077","White","2106-3",7220
,"San Joaquin County, CA","06077","More than one race","M",588
,"San Joaquin County, CA","06077","Unknown or Not Stated","UNK",0
,"San Joaquin County, CA","06077","Not Available","NA",0
,"San Joaquin County, CA","06077","Not Reported","NR",0
,"San Luis Obispo County, CA","06079","American Indian or Alaska Native","1002-5",20
,"San Luis Obispo County, CA","06079","Asian","A",85
,"San Luis Obispo County, CA","06079","Black or African American","2054-5",22
,"San Luis Obispo County, CA","06079","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"San Luis Obispo County, CA","06079","White","2106-3",2330
,"San Luis Obispo County, CA","06079","More than one race","M",120
,"San Luis Obispo County, CA","06079","Unknown or Not Stated","UNK",0
,"San Luis Obispo County, CA","06079","Not Available","NA",0
,"San Luis Obispo County, CA","06079","Not Reported","NR",0
,"San Mateo County, CA","06081","American Indian or Alaska Native","1002-5",Suppressed
,"San Mateo County, CA","06081","Asian","A",3065
,"San Mateo County, CA","06081","Black or African American","2054-5",129
,"San Mateo County, CA","06081","Native Hawaiian or Other Pacific Islander","NHOPI",155
,"San Mateo County, CA","06081","White","2106-3",5302
,"San Mateo County, CA","06081","More than one race","M",303
,"San Mateo County, CA","06081","Unknown or Not Stated","UNK",0
,"San Mateo County, CA","06081","Not Available","NA",0
,"San Mateo County, CA","06081","Not Reported","NR",0
,"Santa Barbara County, CA","06083","American Indian or Alaska Native","1002-5",26
,"Santa Barbara County, CA","06083","Asian","A",228
,"Santa Barbara County, CA","06083","Black or African American","2054-5",46
,"Santa Barbara County, CA","06083","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Santa Barbara County, CA","06083","White","2106-3",5034
,"Santa Barbara County, CA","06083","More than one race","M",163
,"Santa Barbara County, CA","06083","Unknown or Not Stated","UNK",0
,"Santa Barbara County, CA","06083","Not Available","NA",0
,"Santa Barbara County, CA","06083","Not Reported","NR",0
,"Santa Clara County, CA","06085","American Indian or Alaska Native","1002-5",46
,"Santa Clara County, CA","06085","Asian","A",9671
,"Santa Clara County, CA","06085","Black or African American","2054-5",485
,"Santa Clara County, CA","06085","Native Hawaiian or Other Pacific Islander","NHOPI",68
,"Santa Clara County, CA","06085","White","2106-3",12147
,"Santa Clara County, CA","06085","More than one race","M",625
,"Santa Clara County, CA","06085","Unknown or Not Stated","UNK",0
,"Santa Clara County, CA","06085","Not Available","NA",0
,"Santa Clara County, CA","06085","Not Reported","NR",0
,"Santa Cruz County, CA","06087","American Indian or Alaska Native","1002-5",38
,"Santa Cruz County, CA","06087","Asian","A",80
,"Santa Cruz County, CA","06087","Black or African American","2054-5",17
,"Santa Cruz County, CA","06087","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Santa Cruz County, CA","06087","White","2106-3",2589
,"Santa Cruz County, CA","06087","More than one race","M",72
,"Santa Cruz County, CA","06087","Unknown or Not Stated","UNK",0
,"Santa Cruz County, CA","06087","Not Available","NA",0
,"Santa Cruz County, CA","06087","Not Reported","NR",0
,"Shasta County, CA","06089","American Indian or Alaska Native","1002-5",70
,"Shasta County, CA","06089","Asian","A",95
,"Shasta County, CA","06089","Black or African American","2054-5",23
,"Shasta County, CA","06089","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Shasta County, CA","06089","White","2106-3",1760
,"Shasta County, CA","06089","More than one race","M",94
,"Shasta County, CA","06089","Unknown or Not Stated","UNK",0
,"Shasta County, CA","06089","Not Available","NA",0
,"Shasta County, CA","06089","Not Reported","NR",0
,"Solano County, CA","06095","American Indian or Alaska Native","1002-5",15
,"Solano County, CA","06095","Asian","A",763
,"Solano County, CA","06095","Black or African American","2054-5",606
,"Solano County, CA","06095","Native Hawaiian or Other Pacific Islander","NHOPI",68
,"Solano County, CA","06095","White","2106-3",3312
,"Solano County, CA","06095","More than one race","M",495
,"Solano County, CA","06095","Unknown or Not Stated","UNK",0
,"Solano County, CA","06095","Not Available","NA",0
,"Solano County, CA","06095","Not Reported","NR",0
,"Sonoma County, CA","06097","American Indian or Alaska Native","1002-5",36
,"Sonoma County, CA","06097","Asian","A",263
,"Sonoma County, CA","06097","Black or African American","2054-5",62
,"Sonoma County, CA","06097","Native Hawaiian or Other Pacific Islander","NHOPI",19
,"Sonoma County, CA","06097","White","2106-3",4415
,"Sonoma County, CA","06097","More than one race","M",167
,"Sonoma County, CA","06097","Unknown or Not Stated","UNK",0
,"Sonoma County, CA","06097","Not Available","NA",0
,"Sonoma County, CA","06097","Not Reported","NR",0
,"Stanislaus County, CA","06099","American Indian or Alaska Native","1002-5",32
,"Stanislaus County, CA","06099","Asian","A",424
,"Stanislaus County, CA","06099","Black or African American","2054-5",174
,"Stanislaus County, CA","06099","Native Hawaiian or Other Pacific Islander","NHOPI",34
,"Stanislaus County, CA","06099","White","2106-3",6859
,"Stanislaus County, CA","06099","More than one race","M",339
,"Stanislaus County, CA","06099","Unknown or Not Stated","UNK",0
,"Stanislaus County, CA","06099","Not Available","NA",0
,"Stanislaus County, CA","06099","Not Reported","NR",0
,"Tulare County, CA","06107","American Indian or Alaska Native","1002-5",71
,"Tulare County, CA","06107","Asian","A",211
,"Tulare County, CA","06107","Black or African American","2054-5",81
,"Tulare County, CA","06107","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Tulare County, CA","06107","White","2106-3",6663
,"Tulare County, CA","06107","More than one race","M",114
,"Tulare County, CA","06107","Unknown or Not Stated","UNK",0
,"Tulare County, CA","06107","Not Available","NA",0
,"Tulare County, CA","06107","Not Reported","NR",0
,"Ventura County, CA","06111","American Indian or Alaska Native","1002-5",28
,"Ventura County, CA","06111","Asian","A",651
,"Ventura County, CA","06111","Black or African American","2054-5",102
,"Ventura County, CA","06111","Native Hawaiian or Other Pacific Islander","NHOPI",20
,"Ventura County, CA","06111","White","2106-3",8528
,"Ventura County, CA","06111","More than one race","M",263
,"Ventura County, CA","06111","Unknown or Not Stated","UNK",0
,"Ventura County, CA","06111","Not Available","NA",0
,"Ventura County, CA","06111","Not Reported","NR",0
,"Yolo County, CA","06113","American Indian or Alaska Native","1002-5",18
,"Yolo County, CA","06113","Asian","A",307
,"Yolo County, CA","06113","Black or African American","2054-5",62
,"Yolo County, CA","06113","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Yolo County, CA","06113","White","2106-3",1947
,"Yolo County, CA","06113","More than one race","M",78
,"Yolo County, CA","06113","Unknown or Not Stated","UNK",0
,"Yolo County, CA","06113","Not Available","NA",0
,"Yolo County, CA","06113","Not Reported","NR",0
,"Unidentified Counties, CA","06999","American Indian or Alaska Native","1002-5",272
,"Unidentified Counties, CA","06999","Asian","A",444
,"Unidentified Counties, CA","06999","Black or African American","2054-5",110
,"Unidentified Counties, CA","06999","Native Hawaiian or Other Pacific Islander","NHOPI",25
,"Unidentified Counties, CA","06999","White","2106-3",9027
,"Unidentified Counties, CA","06999","More than one race","M",634
,"Unidentified Counties, CA","06999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, CA","06999","Not Available","NA",0
,"Unidentified Counties, CA","06999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: California (06)"
"Year: 2016"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 3:34:54 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 3:34:54 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
