"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Monroe County, PA","42089","15-19 years","15-19",62
,"Monroe County, PA","42089","20-24 years","20-24",317
,"Monroe County, PA","42089","25-29 years","25-29",440
,"Monroe County, PA","42089","30-34 years","30-34",394
,"Monroe County, PA","42089","35-39 years","35-39",217
,"Monroe County, PA","42089","40-44 years","40-44",43
,"Monroe County, PA","42089","45-49 years","45-49",Suppressed
,"Monroe County, PA","42089","50 years and over","50+",0
,"Montgomery County, PA","42091","Under 15 years","15",0
,"Montgomery County, PA","42091","15-19 years","15-19",160
,"Montgomery County, PA","42091","20-24 years","20-24",793
,"Montgomery County, PA","42091","25-29 years","25-29",2161
,"Montgomery County, PA","42091","30-34 years","30-34",3554
,"Montgomery County, PA","42091","35-39 years","35-39",1708
,"Montgomery County, PA","42091","40-44 years","40-44",289
,"Montgomery County, PA","42091","45-49 years","45-49",28
,"Montgomery County, PA","42091","50 years and over","50+",Suppressed
,"Northampton County, PA","42095","Under 15 years","15",Suppressed
,"Northampton County, PA","42095","15-19 years","15-19",109
,"Northampton County, PA","42095","20-24 years","20-24",502
,"Northampton County, PA","42095","25-29 years","25-29",804
,"Northampton County, PA","42095","30-34 years","30-34",892
,"Northampton County, PA","42095","35-39 years","35-39",449
,"Northampton County, PA","42095","40-44 years","40-44",66
,"Northampton County, PA","42095","45-49 years","45-49",Suppressed
,"Northampton County, PA","42095","50 years and over","50+",0
,"Philadelphia County, PA","42101","Under 15 years","15",15
,"Philadelphia County, PA","42101","15-19 years","15-19",1308
,"Philadelphia County, PA","42101","20-24 years","20-24",4658
,"Philadelphia County, PA","42101","25-29 years","25-29",6191
,"Philadelphia County, PA","42101","30-34 years","30-34",5896
,"Philadelphia County, PA","42101","35-39 years","35-39",2819
,"Philadelphia County, PA","42101","40-44 years","40-44",584
,"Philadelphia County, PA","42101","45-49 years","45-49",31
,"Philadelphia County, PA","42101","50 years and over","50+",Suppressed
,"Schuylkill County, PA","42107","Under 15 years","15",0
,"Schuylkill County, PA","42107","15-19 years","15-19",91
,"Schuylkill County, PA","42107","20-24 years","20-24",318
,"Schuylkill County, PA","42107","25-29 years","25-29",415
,"Schuylkill County, PA","42107","30-34 years","30-34",391
,"Schuylkill County, PA","42107","35-39 years","35-39",118
,"Schuylkill County, PA","42107","40-44 years","40-44",29
,"Schuylkill County, PA","42107","45-49 years","45-49",Suppressed
,"Schuylkill County, PA","42107","50 years and over","50+",0
,"Washington County, PA","42125","Under 15 years","15",0
,"Washington County, PA","42125","15-19 years","15-19",94
,"Washington County, PA","42125","20-24 years","20-24",354
,"Washington County, PA","42125","25-29 years","25-29",665
,"Washington County, PA","42125","30-34 years","30-34",640
,"Washington County, PA","42125","35-39 years","35-39",243
,"Washington County, PA","42125","40-44 years","40-44",42
,"Washington County, PA","42125","45-49 years","45-49",Suppressed
,"Washington County, PA","42125","50 years and over","50+",Suppressed
,"Westmoreland County, PA","42129","Under 15 years","15",Suppressed
,"Westmoreland County, PA","42129","15-19 years","15-19",110
,"Westmoreland County, PA","42129","20-24 years","20-24",516
,"Westmoreland County, PA","42129","25-29 years","25-29",915
