"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alameda County, CA","06001","Female","F",9559
,"Alameda County, CA","06001","Male","M",10014
,"Butte County, CA","06007","Female","F",1267
,"Butte County, CA","06007","Male","M",1223
,"Contra Costa County, CA","06013","Female","F",6117
,"Contra Costa County, CA","06013","Male","M",6223
,"El Dorado County, CA","06017","Female","F",765
,"El Dorado County, CA","06017","Male","M",836
,"Fresno County, CA","06019","Female","F",7474
,"Fresno County, CA","06019","Male","M",7655
,"Humboldt County, CA","06023","Female","F",755
,"Humboldt County, CA","06023","Male","M",727
,"Imperial County, CA","06025","Female","F",1473
,"Imperial County, CA","06025","Male","M",1466
,"Kern County, CA","06029","Female","F",6686
,"Kern County, CA","06029","Male","M",7042
,"Kings County, CA","06031","Female","F",1072
,"Kings County, CA","06031","Male","M",1176
,"Los Angeles County, CA","06037","Female","F",60069
,"Los Angeles County, CA","06037","Male","M",63023
,"Madera County, CA","06039","Female","F",1113
,"Madera County, CA","06039","Male","M",1242
,"Marin County, CA","06041","Female","F",1095
,"Marin County, CA","06041","Male","M",1157
,"Merced County, CA","06047","Female","F",1958
,"Merced County, CA","06047","Male","M",2159
,"Monterey County, CA","06053","Female","F",3018
,"Monterey County, CA","06053","Male","M",3201
,"Napa County, CA","06055","Female","F",673
,"Napa County, CA","06055","Male","M",733
,"Orange County, CA","06059","Female","F",18526
,"Orange County, CA","06059","Male","M",19580
,"Placer County, CA","06061","Female","F",1791
,"Placer County, CA","06061","Male","M",1941
,"Riverside County, CA","06065","Female","F",14843
,"Riverside County, CA","06065","Male","M",15818
,"Sacramento County, CA","06067","Female","F",9525
,"Sacramento County, CA","06067","Male","M",10063
,"San Bernardino County, CA","06071","Female","F",15173
,"San Bernardino County, CA","06071","Male","M",15859
,"San Diego County, CA","06073","Female","F",20884
,"San Diego County, CA","06073","Male","M",21836
,"San Francisco County, CA","06075","Female","F",4433
,"San Francisco County, CA","06075","Male","M",4629
,"San Joaquin County, CA","06077","Female","F",4998
,"San Joaquin County, CA","06077","Male","M",5270
,"San Luis Obispo County, CA","06079","Female","F",1270
,"San Luis Obispo County, CA","06079","Male","M",1311
,"San Mateo County, CA","06081","Female","F",4301
,"San Mateo County, CA","06081","Male","M",4659
,"Santa Barbara County, CA","06083","Female","F",2730
,"Santa Barbara County, CA","06083","Male","M",2771
,"Santa Clara County, CA","06085","Female","F",11200
,"Santa Clara County, CA","06085","Male","M",11842
,"Santa Cruz County, CA","06087","Female","F",1400
,"Santa Cruz County, CA","06087","Male","M",1399
,"Shasta County, CA","06089","Female","F",1000
,"Shasta County, CA","06089","Male","M",1048
,"Solano County, CA","06095","Female","F",2552
,"Solano County, CA","06095","Male","M",2707
,"Sonoma County, CA","06097","Female","F",2419
,"Sonoma County, CA","06097","Male","M",2543
,"Stanislaus County, CA","06099","Female","F",3825
,"Stanislaus County, CA","06099","Male","M",4037
,"Tulare County, CA","06107","Female","F",3498
,"Tulare County, CA","06107","Male","M",3648
,"Ventura County, CA","06111","Female","F",4640
,"Ventura County, CA","06111","Male","M",4952
,"Yolo County, CA","06113","Female","F",1167
,"Yolo County, CA","06113","Male","M",1256
,"Unidentified Counties, CA","06999","Female","F",5139
,"Unidentified Counties, CA","06999","Male","M",5373
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: California (06)"
"Year: 2016"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 2:40:35 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 2:40:35 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
