"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",5972
,"Alabama","01","No","2",53009
,"Alabama","01","Unknown or Not Stated","9",170
,"Alaska","02","Yes","1",1262
,"Alaska","02","No","2",9665
,"Alaska","02","Unknown or Not Stated","9",282
,"Arizona","04","Yes","1",4076
,"Arizona","04","No","2",80343
,"Arizona","04","Unknown or Not Stated","9",101
,"Arkansas","05","Yes","1",5224
,"Arkansas","05","No","2",32478
,"Arkansas","05","Unknown or Not Stated","9",572
,"California","06","Yes","1",7741
,"California","06","No","2",478228
,"California","06","Unknown or Not Stated","9",2858
,"Colorado","08","Yes","1",4111
,"Colorado","08","No","2",62318
,"Colorado","08","Unknown or Not Stated","9",184
,"Connecticut","09","Yes","1",1747
,"Connecticut","09","No","2",34197
,"Connecticut","09","Unknown or Not Stated","9",71
,"Delaware","10","Yes","1",998
,"Delaware","10","No","2",9987
,"Delaware","10","Unknown or Not Stated","9",Suppressed
,"District of Columbia","11","Yes","1",259
,"District of Columbia","11","No","2",9537
,"District of Columbia","11","Unknown or Not Stated","9",62
,"Florida","12","Yes","1",11454
,"Florida","12","No","2",212655
,"Florida","12","Unknown or Not Stated","9",913
,"Georgia","13","Yes","1",6848
,"Georgia","13","No","2",122719
,"Georgia","13","Unknown or Not Stated","9",475
,"Hawaii","15","Yes","1",642
,"Hawaii","15","No","2",16993
,"Hawaii","15","Unknown or Not Stated","9",424
,"Idaho","16","Yes","1",1954
,"Idaho","16","No","2",20419
,"Idaho","16","Unknown or Not Stated","9",109
,"Illinois","17","Yes","1",9891
,"Illinois","17","No","2",143895
,"Illinois","17","Unknown or Not Stated","9",659
,"Indiana","18","Yes","1",11212
,"Indiana","18","No","2",71841
,"Indiana","18","Unknown or Not Stated","9",38
,"Iowa","19","Yes","1",5065
,"Iowa","19","No","2",34310
,"Iowa","19","Unknown or Not Stated","9",28
,"Kansas","20","Yes","1",3877
,"Kansas","20","No","2",34088
,"Kansas","20","Unknown or Not Stated","9",88
,"Kentucky","21","Yes","1",10183
,"Kentucky","21","No","2",45089
,"Kentucky","21","Unknown or Not Stated","9",177
,"Louisiana","22","Yes","1",4287
,"Louisiana","22","No","2",58309
,"Louisiana","22","Unknown or Not Stated","9",582
,"Maine","23","Yes","1",1789
,"Maine","23","No","2",10901
,"Maine","23","Unknown or Not Stated","9",15
,"Maryland","24","Yes","1",4299
,"Maryland","24","No","2",68539
,"Maryland","24","Unknown or Not Stated","9",298
,"Massachusetts","25","Yes","1",3702
,"Massachusetts","25","No","2",67583
,"Massachusetts","25","Unknown or Not Stated","9",32
,"Michigan","26","Yes","1",13126
,"Michigan","26","No","2",99097
,"Michigan","26","Unknown or Not Stated","9",1092
,"Minnesota","27","Yes","1",6146
,"Minnesota","27","No","2",63121
,"Minnesota","27","Unknown or Not Stated","9",482
,"Mississippi","28","Yes","1",3792
,"Mississippi","28","No","2",34069
,"Mississippi","28","Unknown or Not Stated","9",67
,"Missouri","29","Yes","1",11294
,"Missouri","29","No","2",62763
,"Missouri","29","Unknown or Not Stated","9",648
,"Montana","30","Yes","1",2021
,"Montana","30","No","2",10200
,"Montana","30","Unknown or Not Stated","9",61
,"Nebraska","31","Yes","1",2616
,"Nebraska","31","No","2",23959
,"Nebraska","31","Unknown or Not Stated","9",14
,"Nevada","32","Yes","1",1440
,"Nevada","32","No","2",34524
,"Nevada","32","Unknown or Not Stated","9",296
,"New Hampshire","33","Yes","1",1342
,"New Hampshire","33","No","2",10710
,"New Hampshire","33","Unknown or Not Stated","9",215
,"New Jersey","34","Yes","1",3952
,"New Jersey","34","No","2",98050
,"New Jersey","34","Unknown or Not Stated","9",645
,"New Mexico","35","Yes","1",1596
,"New Mexico","35","No","2",22966
