"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Muskegon County, MI","26121","15-19 years","15-19",158
,"Muskegon County, MI","26121","20-24 years","20-24",599
,"Muskegon County, MI","26121","25-29 years","25-29",692
,"Muskegon County, MI","26121","30-34 years","30-34",490
,"Muskegon County, MI","26121","35-39 years","35-39",153
,"Muskegon County, MI","26121","40-44 years","40-44",33
,"Muskegon County, MI","26121","45-49 years","45-49",0
,"Muskegon County, MI","26121","50 years and over","50+",0
,"Oakland County, MI","26125","Under 15 years","15",Suppressed
,"Oakland County, MI","26125","15-19 years","15-19",331
,"Oakland County, MI","26125","20-24 years","20-24",1703
,"Oakland County, MI","26125","25-29 years","25-29",3679
,"Oakland County, MI","26125","30-34 years","30-34",5066
,"Oakland County, MI","26125","35-39 years","35-39",2403
,"Oakland County, MI","26125","40-44 years","40-44",442
,"Oakland County, MI","26125","45-49 years","45-49",38
,"Oakland County, MI","26125","50 years and over","50+",Suppressed
,"Ottawa County, MI","26139","Under 15 years","15",Suppressed
,"Ottawa County, MI","26139","15-19 years","15-19",116
,"Ottawa County, MI","26139","20-24 years","20-24",553
,"Ottawa County, MI","26139","25-29 years","25-29",1226
,"Ottawa County, MI","26139","30-34 years","30-34",1114
,"Ottawa County, MI","26139","35-39 years","35-39",386
,"Ottawa County, MI","26139","40-44 years","40-44",42
,"Ottawa County, MI","26139","45-49 years","45-49",Suppressed
,"Ottawa County, MI","26139","50 years and over","50+",0
,"Saginaw County, MI","26145","Under 15 years","15",Suppressed
,"Saginaw County, MI","26145","15-19 years","15-19",168
,"Saginaw County, MI","26145","20-24 years","20-24",585
,"Saginaw County, MI","26145","25-29 years","25-29",685
,"Saginaw County, MI","26145","30-34 years","30-34",501
,"Saginaw County, MI","26145","35-39 years","35-39",217
,"Saginaw County, MI","26145","40-44 years","40-44",27
,"Saginaw County, MI","26145","45-49 years","45-49",Suppressed
,"Saginaw County, MI","26145","50 years and over","50+",0
,"St. Clair County, MI","26147","Under 15 years","15",Suppressed
,"St. Clair County, MI","26147","15-19 years","15-19",94
,"St. Clair County, MI","26147","20-24 years","20-24",396
,"St. Clair County, MI","26147","25-29 years","25-29",512
,"St. Clair County, MI","26147","30-34 years","30-34",402
,"St. Clair County, MI","26147","35-39 years","35-39",145
,"St. Clair County, MI","26147","40-44 years","40-44",38
,"St. Clair County, MI","26147","45-49 years","45-49",Suppressed
,"St. Clair County, MI","26147","50 years and over","50+",0
,"Washtenaw County, MI","26161","Under 15 years","15",0
,"Washtenaw County, MI","26161","15-19 years","15-19",111
,"Washtenaw County, MI","26161","20-24 years","20-24",441
,"Washtenaw County, MI","26161","25-29 years","25-29",966
,"Washtenaw County, MI","26161","30-34 years","30-34",1319
,"Washtenaw County, MI","26161","35-39 years","35-39",717
,"Washtenaw County, MI","26161","40-44 years","40-44",125
,"Washtenaw County, MI","26161","45-49 years","45-49",Suppressed
,"Washtenaw County, MI","26161","50 years and over","50+",Suppressed
,"Wayne County, MI","26163","Under 15 years","15",10
,"Wayne County, MI","26163","15-19 years","15-19",1381
,"Wayne County, MI","26163","20-24 years","20-24",5787
,"Wayne County, MI","26163","25-29 years","25-29",7213
,"Wayne County, MI","26163","30-34 years","30-34",5521
,"Wayne County, MI","26163","35-39 years","35-39",2589
,"Wayne County, MI","26163","40-44 years","40-44",597
,"Wayne County, MI","26163","45-49 years","45-49",47
,"Wayne County, MI","26163","50 years and over","50+",Suppressed
,"Unidentified Counties, MI","26999","Under 15 years","15",Suppressed
,"Unidentified Counties, MI","26999","15-19 years","15-19",1303
,"Unidentified Counties, MI","26999","20-24 years","20-24",5498
,"Unidentified Counties, MI","26999","25-29 years","25-29",7217
,"Unidentified Counties, MI","26999","30-34 years","30-34",5285
,"Unidentified Counties, MI","26999","35-39 years","35-39",2112
,"Unidentified Counties, MI","26999","40-44 years","40-44",360
,"Unidentified Counties, MI","26999","45-49 years","45-49",27
,"Unidentified Counties, MI","26999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Michigan (26)"
"Year: 2016"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 2:05:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 2:05:32 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
