"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Alabama","01","Vaginal","1",38783
,"Alabama","01","Cesarean","2",20362
,"Alabama","01","Unknown or Not Stated","9",Suppressed
,"Alaska","02","Vaginal","1",8632
,"Alaska","02","Cesarean","2",2575
,"Alaska","02","Unknown or Not Stated","9",Suppressed
,"Arizona","04","Vaginal","1",61297
,"Arizona","04","Cesarean","2",23220
,"Arizona","04","Unknown or Not Stated","9",Suppressed
,"Arkansas","05","Vaginal","1",25919
,"Arkansas","05","Cesarean","2",12354
,"Arkansas","05","Unknown or Not Stated","9",Suppressed
,"California","06","Vaginal","1",332874
,"California","06","Cesarean","2",155952
,"California","06","Unknown or Not Stated","9",Suppressed
,"Colorado","08","Vaginal","1",49165
,"Colorado","08","Cesarean","2",17441
,"Colorado","08","Unknown or Not Stated","9",Suppressed
,"Connecticut","09","Vaginal","1",23048
,"Connecticut","09","Cesarean","2",12639
,"Connecticut","09","Unknown or Not Stated","9",328
,"Delaware","10","Vaginal","1",7500
,"Delaware","10","Cesarean","2",3492
,"Delaware","10","Unknown or Not Stated","9",0
,"District of Columbia","11","Vaginal","1",6743
,"District of Columbia","11","Cesarean","2",3115
,"District of Columbia","11","Unknown or Not Stated","9",0
,"Florida","12","Vaginal","1",140715
,"Florida","12","Cesarean","2",84204
,"Florida","12","Unknown or Not Stated","9",103
,"Georgia","13","Vaginal","1",85936
,"Georgia","13","Cesarean","2",43935
,"Georgia","13","Unknown or Not Stated","9",171
,"Hawaii","15","Vaginal","1",13507
,"Hawaii","15","Cesarean","2",4549
,"Hawaii","15","Unknown or Not Stated","9",Suppressed
,"Idaho","16","Vaginal","1",17098
,"Idaho","16","Cesarean","2",5378
,"Idaho","16","Unknown or Not Stated","9",Suppressed
,"Illinois","17","Vaginal","1",106418
,"Illinois","17","Cesarean","2",47965
,"Illinois","17","Unknown or Not Stated","9",62
,"Indiana","18","Vaginal","1",58310
,"Indiana","18","Cesarean","2",24762
,"Indiana","18","Unknown or Not Stated","9",19
,"Iowa","19","Vaginal","1",27558
,"Iowa","19","Cesarean","2",11841
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Vaginal","1",26816
,"Kansas","20","Cesarean","2",11235
,"Kansas","20","Unknown or Not Stated","9",Suppressed
,"Kentucky","21","Vaginal","1",36174
,"Kentucky","21","Cesarean","2",19115
,"Kentucky","21","Unknown or Not Stated","9",160
,"Louisiana","22","Vaginal","1",39464
,"Louisiana","22","Cesarean","2",23713
,"Louisiana","22","Unknown or Not Stated","9",Suppressed
,"Maine","23","Vaginal","1",9037
,"Maine","23","Cesarean","2",3666
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Vaginal","1",48467
,"Maryland","24","Cesarean","2",24606
,"Maryland","24","Unknown or Not Stated","9",63
,"Massachusetts","25","Vaginal","1",48903
,"Massachusetts","25","Cesarean","2",22307
,"Massachusetts","25","Unknown or Not Stated","9",107
,"Michigan","26","Vaginal","1",77065
,"Michigan","26","Cesarean","2",36227
,"Michigan","26","Unknown or Not Stated","9",23
,"Minnesota","27","Vaginal","1",51033
,"Minnesota","27","Cesarean","2",18685
,"Minnesota","27","Unknown or Not Stated","9",31
,"Mississippi","28","Vaginal","1",23431
,"Mississippi","28","Cesarean","2",14495
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Vaginal","1",52109
,"Missouri","29","Cesarean","2",22520
,"Missouri","29","Unknown or Not Stated","9",76
,"Montana","30","Vaginal","1",8702
,"Montana","30","Cesarean","2",3578
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Vaginal","1",18341
,"Nebraska","31","Cesarean","2",8248
,"Nebraska","31","Unknown or Not Stated","9",0
,"Nevada","32","Vaginal","1",23990
,"Nevada","32","Cesarean","2",12270
,"Nevada","32","Unknown or Not Stated","9",0
,"New Hampshire","33","Vaginal","1",8481
,"New Hampshire","33","Cesarean","2",3786
,"New Hampshire","33","Unknown or Not Stated","9",0
,"New Jersey","34","Vaginal","1",65430
,"New Jersey","34","Cesarean","2",37164
,"New Jersey","34","Unknown or Not Stated","9",53
,"New Mexico","35","Vaginal","1",18562
,"New Mexico","35","Cesarean","2",6121
,"New Mexico","35","Unknown or Not Stated","9",Suppressed
,"New York","36","Vaginal","1",154821
,"New York","36","Cesarean","2",78999
,"New York","36","Unknown or Not Stated","9",463
,"North Carolina","37","Vaginal","1",85204
,"North Carolina","37","Cesarean","2",35549
,"North Carolina","37","Unknown or Not Stated","9",26
,"North Dakota","38","Vaginal","1",8338
,"North Dakota","38","Cesarean","2",3045
,"North Dakota","38","Unknown or Not Stated","9",0
,"Ohio","39","Vaginal","1",95520
,"Ohio","39","Cesarean","2",42513
,"Ohio","39","Unknown or Not Stated","9",52
,"Oklahoma","40","Vaginal","1",35775
,"Oklahoma","40","Cesarean","2",16816
,"Oklahoma","40","Unknown or Not Stated","9",Suppressed
,"Oregon","41","Vaginal","1",33150
,"Oregon","41","Cesarean","2",12385
,"Oregon","41","Unknown or Not Stated","9",0
,"Pennsylvania","42","Vaginal","1",97818
,"Pennsylvania","42","Cesarean","2",41560
,"Pennsylvania","42","Unknown or Not Stated","9",31
,"Rhode Island","44","Vaginal","1",7426
,"Rhode Island","44","Cesarean","2",3369
,"Rhode Island","44","Unknown or Not Stated","9",Suppressed
,"South Carolina","45","Vaginal","1",38113
,"South Carolina","45","Cesarean","2",19208
,"South Carolina","45","Unknown or Not Stated","9",21
,"South Dakota","46","Vaginal","1",9165
,"South Dakota","46","Cesarean","2",3110
,"South Dakota","46","Unknown or Not Stated","9",0
,"Tennessee","47","Vaginal","1",54517
,"Tennessee","47","Cesarean","2",26290
,"Tennessee","47","Unknown or Not Stated","9",0
,"Texas","48","Vaginal","1",260679
,"Texas","48","Cesarean","2",136950
,"Texas","48","Unknown or Not Stated","9",418
,"Utah","49","Vaginal","1",39212
,"Utah","49","Cesarean","2",11252
,"Utah","49","Unknown or Not Stated","9",0
,"Vermont","50","Vaginal","1",4277
,"Vermont","50","Cesarean","2",1479
,"Vermont","50","Unknown or Not Stated","9",0
,"Virginia","51","Vaginal","1",68647
,"Virginia","51","Cesarean","2",33740
,"Virginia","51","Unknown or Not Stated","9",73
,"Washington","53","Vaginal","1",65577
,"Washington","53","Cesarean","2",24803
,"Washington","53","Unknown or Not Stated","9",125
,"West Virginia","54","Vaginal","1",12424
,"West Virginia","54","Cesarean","2",6654
,"West Virginia","54","Unknown or Not Stated","9",Suppressed
,"Wisconsin","55","Vaginal","1",49268
,"Wisconsin","55","Cesarean","2",17317
,"Wisconsin","55","Unknown or Not Stated","9",30
,"Wyoming","56","Vaginal","1",5364
,"Wyoming","56","Cesarean","2",2022
,"Wyoming","56","Unknown or Not Stated","9",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; Delivery Method"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:01:28 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:01:28 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
