"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Adams County, CO","08001","Female","F",3229
,"Adams County, CO","08001","Male","M",3443
,"Arapahoe County, CO","08005","Female","F",3820
,"Arapahoe County, CO","08005","Male","M",4090
,"Boulder County, CO","08013","Female","F",1355
,"Boulder County, CO","08013","Male","M",1374
,"Denver County, CO","08031","Female","F",4997
,"Denver County, CO","08031","Male","M",5009
,"Douglas County, CO","08035","Female","F",1680
,"Douglas County, CO","08035","Male","M",1808
,"El Paso County, CO","08041","Female","F",4650
,"El Paso County, CO","08041","Male","M",4840
,"Jefferson County, CO","08059","Female","F",2941
,"Jefferson County, CO","08059","Male","M",3163
,"Larimer County, CO","08069","Female","F",1618
,"Larimer County, CO","08069","Male","M",1757
,"Mesa County, CO","08077","Female","F",854
,"Mesa County, CO","08077","Male","M",916
,"Pueblo County, CO","08101","Female","F",925
,"Pueblo County, CO","08101","Male","M",958
,"Weld County, CO","08123","Female","F",2143
,"Weld County, CO","08123","Male","M",2163
,"Unidentified Counties, CO","08999","Female","F",4375
,"Unidentified Counties, CO","08999","Male","M",4505
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Colorado (08)"
"Year: 2016"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 2:41:45 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 2:41:45 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
