"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",4580
,"Alabama","01","Not Hispanic or Latino","2186-5",54555
,"Alabama","01","Unknown or Not Stated","9",16
,"Alaska","02","Hispanic or Latino","2135-2",811
,"Alaska","02","Not Hispanic or Latino","2186-5",10276
,"Alaska","02","Unknown or Not Stated","9",122
,"Arizona","04","Hispanic or Latino","2135-2",34950
,"Arizona","04","Not Hispanic or Latino","2186-5",48737
,"Arizona","04","Unknown or Not Stated","9",833
,"Arkansas","05","Hispanic or Latino","2135-2",4064
,"Arkansas","05","Not Hispanic or Latino","2186-5",34100
,"Arkansas","05","Unknown or Not Stated","9",110
,"California","06","Hispanic or Latino","2135-2",228982
,"California","06","Not Hispanic or Latino","2186-5",245551
,"California","06","Unknown or Not Stated","9",14294
,"Colorado","08","Hispanic or Latino","2135-2",18513
,"Colorado","08","Not Hispanic or Latino","2186-5",47276
,"Colorado","08","Unknown or Not Stated","9",824
,"Connecticut","09","Hispanic or Latino","2135-2",8622
,"Connecticut","09","Not Hispanic or Latino","2186-5",27302
,"Connecticut","09","Unknown or Not Stated","9",91
,"Delaware","10","Hispanic or Latino","2135-2",1432
,"Delaware","10","Not Hispanic or Latino","2186-5",9541
,"Delaware","10","Unknown or Not Stated","9",19
,"District of Columbia","11","Hispanic or Latino","2135-2",1348
,"District of Columbia","11","Not Hispanic or Latino","2186-5",8494
,"District of Columbia","11","Unknown or Not Stated","9",16
,"Florida","12","Hispanic or Latino","2135-2",65895
,"Florida","12","Not Hispanic or Latino","2186-5",158314
,"Florida","12","Unknown or Not Stated","9",813
,"Georgia","13","Hispanic or Latino","2135-2",17957
,"Georgia","13","Not Hispanic or Latino","2186-5",110733
,"Georgia","13","Unknown or Not Stated","9",1352
,"Hawaii","15","Hispanic or Latino","2135-2",2766
,"Hawaii","15","Not Hispanic or Latino","2186-5",15228
,"Hawaii","15","Unknown or Not Stated","9",65
,"Idaho","16","Hispanic or Latino","2135-2",3614
,"Idaho","16","Not Hispanic or Latino","2186-5",18786
,"Idaho","16","Unknown or Not Stated","9",82
,"Illinois","17","Hispanic or Latino","2135-2",32635
,"Illinois","17","Not Hispanic or Latino","2186-5",120003
,"Illinois","17","Unknown or Not Stated","9",1807
,"Indiana","18","Hispanic or Latino","2135-2",7442
,"Indiana","18","Not Hispanic or Latino","2186-5",75613
,"Indiana","18","Unknown or Not Stated","9",36
,"Iowa","19","Hispanic or Latino","2135-2",3473
,"Iowa","19","Not Hispanic or Latino","2186-5",35927
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Hispanic or Latino","2135-2",6298
,"Kansas","20","Not Hispanic or Latino","2186-5",31699
,"Kansas","20","Unknown or Not Stated","9",56
,"Kentucky","21","Hispanic or Latino","2135-2",3137
,"Kentucky","21","Not Hispanic or Latino","2186-5",52208
,"Kentucky","21","Unknown or Not Stated","9",104
,"Louisiana","22","Hispanic or Latino","2135-2",4697
,"Louisiana","22","Not Hispanic or Latino","2186-5",58432
,"Louisiana","22","Unknown or Not Stated","9",49
,"Maine","23","Hispanic or Latino","2135-2",238
,"Maine","23","Not Hispanic or Latino","2186-5",12458
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Hispanic or Latino","2135-2",11872
,"Maryland","24","Not Hispanic or Latino","2186-5",61052
,"Maryland","24","Unknown or Not Stated","9",212
,"Massachusetts","25","Hispanic or Latino","2135-2",13181
,"Massachusetts","25","Not Hispanic or Latino","2186-5",56888
,"Massachusetts","25","Unknown or Not Stated","9",1248
,"Michigan","26","Hispanic or Latino","2135-2",7485
,"Michigan","26","Not Hispanic or Latino","2186-5",105667
,"Michigan","26","Unknown or Not Stated","9",163
,"Minnesota","27","Hispanic or Latino","2135-2",4871
,"Minnesota","27","Not Hispanic or Latino","2186-5",64463
,"Minnesota","27","Unknown or Not Stated","9",415
,"Mississippi","28","Hispanic or Latino","2135-2",1664
,"Mississippi","28","Not Hispanic or Latino","2186-5",36258
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Hispanic or Latino","2135-2",4136
,"Missouri","29","Not Hispanic or Latino","2186-5",70252
,"Missouri","29","Unknown or Not Stated","9",317
,"Montana","30","Hispanic or Latino","2135-2",548
,"Montana","30","Not Hispanic or Latino","2186-5",11691
,"Montana","30","Unknown or Not Stated","9",43
,"Nebraska","31","Hispanic or Latino","2135-2",4282
,"Nebraska","31","Not Hispanic or Latino","2186-5",22293
,"Nebraska","31","Unknown or Not Stated","9",14
,"Nevada","32","Hispanic or Latino","2135-2",13391
,"Nevada","32","Not Hispanic or Latino","2186-5",22776
,"Nevada","32","Unknown or Not Stated","9",93
,"New Hampshire","33","Hispanic or Latino","2135-2",697
,"New Hampshire","33","Not Hispanic or Latino","2186-5",11471
,"New Hampshire","33","Unknown or Not Stated","9",99
,"New Jersey","34","Hispanic or Latino","2135-2",28083
,"New Jersey","34","Not Hispanic or Latino","2186-5",73132
,"New Jersey","34","Unknown or Not Stated","9",1432
,"New Mexico","35","Hispanic or Latino","2135-2",13639
,"New Mexico","35","Not Hispanic or Latino","2186-5",10985
,"New Mexico","35","Unknown or Not Stated","9",68
,"New York","36","Hispanic or Latino","2135-2",54222
,"New York","36","Not Hispanic or Latino","2186-5",175794
,"New York","36","Unknown or Not Stated","9",4267
,"North Carolina","37","Hispanic or Latino","2135-2",18362
,"North Carolina","37","Not Hispanic or Latino","2186-5",102320
,"North Carolina","37","Unknown or Not Stated","9",97
,"North Dakota","38","Hispanic or Latino","2135-2",584
,"North Dakota","38","Not Hispanic or Latino","2186-5",10585
,"North Dakota","38","Unknown or Not Stated","9",214
,"Ohio","39","Hispanic or Latino","2135-2",7420
,"Ohio","39","Not Hispanic or Latino","2186-5",130247
,"Ohio","39","Unknown or Not Stated","9",418
,"Oklahoma","40","Hispanic or Latino","2135-2",7544
,"Oklahoma","40","Not Hispanic or Latino","2186-5",44977
,"Oklahoma","40","Unknown or Not Stated","9",71
,"Oregon","41","Hispanic or Latino","2135-2",8467
,"Oregon","41","Not Hispanic or Latino","2186-5",36781
,"Oregon","41","Unknown or Not Stated","9",287
,"Pennsylvania","42","Hispanic or Latino","2135-2",15348
,"Pennsylvania","42","Not Hispanic or Latino","2186-5",122615
,"Pennsylvania","42","Unknown or Not Stated","9",1446
,"Rhode Island","44","Hispanic or Latino","2135-2",2684
,"Rhode Island","44","Not Hispanic or Latino","2186-5",8040
,"Rhode Island","44","Unknown or Not Stated","9",74
,"South Carolina","45","Hispanic or Latino","2135-2",5135
,"South Carolina","45","Not Hispanic or Latino","2186-5",52046
,"South Carolina","45","Unknown or Not Stated","9",161
,"South Dakota","46","Hispanic or Latino","2135-2",634
,"South Dakota","46","Not Hispanic or Latino","2186-5",11634
,"South Dakota","46","Unknown or Not Stated","9",Suppressed
,"Tennessee","47","Hispanic or Latino","2135-2",7631
,"Tennessee","47","Not Hispanic or Latino","2186-5",73091
,"Tennessee","47","Unknown or Not Stated","9",85
,"Texas","48","Hispanic or Latino","2135-2",188393
,"Texas","48","Not Hispanic or Latino","2186-5",209361
,"Texas","48","Unknown or Not Stated","9",293
,"Utah","49","Hispanic or Latino","2135-2",7966
,"Utah","49","Not Hispanic or Latino","2186-5",41326
,"Utah","49","Unknown or Not Stated","9",1172
,"Vermont","50","Hispanic or Latino","2135-2",136
,"Vermont","50","Not Hispanic or Latino","2186-5",5511
,"Vermont","50","Unknown or Not Stated","9",109
,"Virginia","51","Hispanic or Latino","2135-2",14230
,"Virginia","51","Not Hispanic or Latino","2186-5",87915
,"Virginia","51","Unknown or Not Stated","9",315
,"Washington","53","Hispanic or Latino","2135-2",16533
,"Washington","53","Not Hispanic or Latino","2186-5",72091
,"Washington","53","Unknown or Not Stated","9",1881
,"West Virginia","54","Hispanic or Latino","2135-2",378
,"West Virginia","54","Not Hispanic or Latino","2186-5",18540
,"West Virginia","54","Unknown or Not Stated","9",161
,"Wisconsin","55","Hispanic or Latino","2135-2",6504
,"Wisconsin","55","Not Hispanic or Latino","2186-5",59834
,"Wisconsin","55","Unknown or Not Stated","9",277
,"Wyoming","56","Hispanic or Latino","2135-2",973
,"Wyoming","56","Not Hispanic or Latino","2186-5",6267
,"Wyoming","56","Unknown or Not Stated","9",146
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 4:48:08 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 4:48:08 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
