"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Allen County, IN","18003","Under 15 years","15",Suppressed
,"Allen County, IN","18003","15-19 years","15-19",274
,"Allen County, IN","18003","20-24 years","20-24",1205
,"Allen County, IN","18003","25-29 years","25-29",1721
,"Allen County, IN","18003","30-34 years","30-34",1248
,"Allen County, IN","18003","35-39 years","35-39",590
,"Allen County, IN","18003","40-44 years","40-44",104
,"Allen County, IN","18003","45-49 years","45-49",Suppressed
,"Allen County, IN","18003","50 years and over","50+",0
,"Clark County, IN","18019","Under 15 years","15",Suppressed
,"Clark County, IN","18019","15-19 years","15-19",92
,"Clark County, IN","18019","20-24 years","20-24",336
,"Clark County, IN","18019","25-29 years","25-29",491
,"Clark County, IN","18019","30-34 years","30-34",377
,"Clark County, IN","18019","35-39 years","35-39",126
,"Clark County, IN","18019","40-44 years","40-44",22
,"Clark County, IN","18019","45-49 years","45-49",Suppressed
,"Clark County, IN","18019","50 years and over","50+",0
,"Delaware County, IN","18035","Under 15 years","15",Suppressed
,"Delaware County, IN","18035","15-19 years","15-19",79
,"Delaware County, IN","18035","20-24 years","20-24",373
,"Delaware County, IN","18035","25-29 years","25-29",360
,"Delaware County, IN","18035","30-34 years","30-34",241
,"Delaware County, IN","18035","35-39 years","35-39",99
,"Delaware County, IN","18035","40-44 years","40-44",21
,"Delaware County, IN","18035","45-49 years","45-49",0
,"Delaware County, IN","18035","50 years and over","50+",0
,"Elkhart County, IN","18039","Under 15 years","15",Suppressed
,"Elkhart County, IN","18039","15-19 years","15-19",228
,"Elkhart County, IN","18039","20-24 years","20-24",855
,"Elkhart County, IN","18039","25-29 years","25-29",1056
,"Elkhart County, IN","18039","30-34 years","30-34",663
,"Elkhart County, IN","18039","35-39 years","35-39",270
,"Elkhart County, IN","18039","40-44 years","40-44",51
,"Elkhart County, IN","18039","45-49 years","45-49",Suppressed
,"Elkhart County, IN","18039","50 years and over","50+",0
,"Hamilton County, IN","18057","Under 15 years","15",Suppressed
,"Hamilton County, IN","18057","15-19 years","15-19",54
,"Hamilton County, IN","18057","20-24 years","20-24",279
,"Hamilton County, IN","18057","25-29 years","25-29",1017
,"Hamilton County, IN","18057","30-34 years","30-34",1585
,"Hamilton County, IN","18057","35-39 years","35-39",733
,"Hamilton County, IN","18057","40-44 years","40-44",119
,"Hamilton County, IN","18057","45-49 years","45-49",Suppressed
,"Hamilton County, IN","18057","50 years and over","50+",Suppressed
,"Hendricks County, IN","18063","Under 15 years","15",0
,"Hendricks County, IN","18063","15-19 years","15-19",60
,"Hendricks County, IN","18063","20-24 years","20-24",252
,"Hendricks County, IN","18063","25-29 years","25-29",569
,"Hendricks County, IN","18063","30-34 years","30-34",599
,"Hendricks County, IN","18063","35-39 years","35-39",248
,"Hendricks County, IN","18063","40-44 years","40-44",30
,"Hendricks County, IN","18063","45-49 years","45-49",Suppressed
,"Hendricks County, IN","18063","50 years and over","50+",0
,"Johnson County, IN","18081","Under 15 years","15",Suppressed
,"Johnson County, IN","18081","15-19 years","15-19",85
,"Johnson County, IN","18081","20-24 years","20-24",411
,"Johnson County, IN","18081","25-29 years","25-29",611
,"Johnson County, IN","18081","30-34 years","30-34",530
,"Johnson County, IN","18081","35-39 years","35-39",195
,"Johnson County, IN","18081","40-44 years","40-44",35
,"Johnson County, IN","18081","45-49 years","45-49",Suppressed
,"Johnson County, IN","18081","50 years and over","50+",0
,"Lake County, IN","18089","Under 15 years","15",Suppressed
,"Lake County, IN","18089","15-19 years","15-19",384
,"Lake County, IN","18089","20-24 years","20-24",1307
,"Lake County, IN","18089","25-29 years","25-29",1710
,"Lake County, IN","18089","30-34 years","30-34",1400
,"Lake County, IN","18089","35-39 years","35-39",691
,"Lake County, IN","18089","40-44 years","40-44",157
,"Lake County, IN","18089","45-49 years","45-49",Suppressed
,"Lake County, IN","18089","50 years and over","50+",Suppressed
,"La Porte County, IN","18091","Under 15 years","15",Suppressed
,"La Porte County, IN","18091","15-19 years","15-19",114
,"La Porte County, IN","18091","20-24 years","20-24",354
,"La Porte County, IN","18091","25-29 years","25-29",427
,"La Porte County, IN","18091","30-34 years","30-34",274
,"La Porte County, IN","18091","35-39 years","35-39",112
,"La Porte County, IN","18091","40-44 years","40-44",23
,"La Porte County, IN","18091","45-49 years","45-49",0
,"La Porte County, IN","18091","50 years and over","50+",0
,"Madison County, IN","18095","Under 15 years","15",Suppressed
,"Madison County, IN","18095","15-19 years","15-19",138
,"Madison County, IN","18095","20-24 years","20-24",429
,"Madison County, IN","18095","25-29 years","25-29",466
,"Madison County, IN","18095","30-34 years","30-34",329
,"Madison County, IN","18095","35-39 years","35-39",124
,"Madison County, IN","18095","40-44 years","40-44",17
,"Madison County, IN","18095","45-49 years","45-49",Suppressed
,"Madison County, IN","18095","50 years and over","50+",0
,"Marion County, IN","18097","Under 15 years","15",12
,"Marion County, IN","18097","15-19 years","15-19",905
,"Marion County, IN","18097","20-24 years","20-24",3455
,"Marion County, IN","18097","25-29 years","25-29",4290
,"Marion County, IN","18097","30-34 years","30-34",3661
,"Marion County, IN","18097","35-39 years","35-39",1626
,"Marion County, IN","18097","40-44 years","40-44",328
,"Marion County, IN","18097","45-49 years","45-49",16
,"Marion County, IN","18097","50 years and over","50+",Suppressed
,"Monroe County, IN","18105","Under 15 years","15",Suppressed
,"Monroe County, IN","18105","15-19 years","15-19",43
,"Monroe County, IN","18105","20-24 years","20-24",209
,"Monroe County, IN","18105","25-29 years","25-29",446
,"Monroe County, IN","18105","30-34 years","30-34",391
,"Monroe County, IN","18105","35-39 years","35-39",180
,"Monroe County, IN","18105","40-44 years","40-44",28
,"Monroe County, IN","18105","45-49 years","45-49",Suppressed
,"Monroe County, IN","18105","50 years and over","50+",0
,"Porter County, IN","18127","Under 15 years","15",0
