"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Seminole County, FL","12117","15-19 years","15-19",167
,"Seminole County, FL","12117","20-24 years","20-24",776
,"Seminole County, FL","12117","25-29 years","25-29",1322
,"Seminole County, FL","12117","30-34 years","30-34",1533
,"Seminole County, FL","12117","35-39 years","35-39",788
,"Seminole County, FL","12117","40-44 years","40-44",159
,"Seminole County, FL","12117","45-49 years","45-49",Suppressed
,"Seminole County, FL","12117","50 years and over","50+",0
,"Volusia County, FL","12127","Under 15 years","15",Suppressed
,"Volusia County, FL","12127","15-19 years","15-19",285
,"Volusia County, FL","12127","20-24 years","20-24",1197
,"Volusia County, FL","12127","25-29 years","25-29",1643
,"Volusia County, FL","12127","30-34 years","30-34",1220
,"Volusia County, FL","12127","35-39 years","35-39",572
,"Volusia County, FL","12127","40-44 years","40-44",107
,"Volusia County, FL","12127","45-49 years","45-49",Suppressed
,"Volusia County, FL","12127","50 years and over","50+",0
,"Unidentified Counties, FL","12999","Under 15 years","15",10
,"Unidentified Counties, FL","12999","15-19 years","15-19",1099
,"Unidentified Counties, FL","12999","20-24 years","20-24",3726
,"Unidentified Counties, FL","12999","25-29 years","25-29",4001
,"Unidentified Counties, FL","12999","30-34 years","30-34",2843
,"Unidentified Counties, FL","12999","35-39 years","35-39",1225
,"Unidentified Counties, FL","12999","40-44 years","40-44",260
,"Unidentified Counties, FL","12999","45-49 years","45-49",17
,"Unidentified Counties, FL","12999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Florida (12)"
"Year: 2016"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 1:51:53 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 1:51:53 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
