"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alachua County, FL","12001","Hispanic or Latino","2135-2",209
,"Alachua County, FL","12001","Not Hispanic or Latino","2186-5",2652
,"Alachua County, FL","12001","Unknown or Not Stated","9",Suppressed
,"Bay County, FL","12005","Hispanic or Latino","2135-2",221
,"Bay County, FL","12005","Not Hispanic or Latino","2186-5",2115
,"Bay County, FL","12005","Unknown or Not Stated","9",Suppressed
,"Brevard County, FL","12009","Hispanic or Latino","2135-2",674
,"Brevard County, FL","12009","Not Hispanic or Latino","2186-5",4592
,"Brevard County, FL","12009","Unknown or Not Stated","9",Suppressed
,"Broward County, FL","12011","Hispanic or Latino","2135-2",7145
,"Broward County, FL","12011","Not Hispanic or Latino","2186-5",15355
,"Broward County, FL","12011","Unknown or Not Stated","9",63
,"Charlotte County, FL","12015","Hispanic or Latino","2135-2",93
,"Charlotte County, FL","12015","Not Hispanic or Latino","2186-5",939
,"Charlotte County, FL","12015","Unknown or Not Stated","9",Suppressed
,"Citrus County, FL","12017","Hispanic or Latino","2135-2",69
,"Citrus County, FL","12017","Not Hispanic or Latino","2186-5",988
,"Citrus County, FL","12017","Unknown or Not Stated","9",Suppressed
,"Clay County, FL","12019","Hispanic or Latino","2135-2",215
,"Clay County, FL","12019","Not Hispanic or Latino","2186-5",1979
,"Clay County, FL","12019","Unknown or Not Stated","9",15
,"Collier County, FL","12021","Hispanic or Latino","2135-2",1570
,"Collier County, FL","12021","Not Hispanic or Latino","2186-5",1750
,"Collier County, FL","12021","Unknown or Not Stated","9",Suppressed
,"Duval County, FL","12031","Hispanic or Latino","2135-2",1537
,"Duval County, FL","12031","Not Hispanic or Latino","2186-5",11653
,"Duval County, FL","12031","Unknown or Not Stated","9",102
,"Escambia County, FL","12033","Hispanic or Latino","2135-2",225
,"Escambia County, FL","12033","Not Hispanic or Latino","2186-5",3739
,"Escambia County, FL","12033","Unknown or Not Stated","9",Suppressed
,"Hernando County, FL","12053","Hispanic or Latino","2135-2",190
,"Hernando County, FL","12053","Not Hispanic or Latino","2186-5",1389
,"Hernando County, FL","12053","Unknown or Not Stated","9",Suppressed
,"Hillsborough County, FL","12057","Hispanic or Latino","2135-2",5306
,"Hillsborough County, FL","12057","Not Hispanic or Latino","2186-5",11972
,"Hillsborough County, FL","12057","Unknown or Not Stated","9",47
,"Indian River County, FL","12061","Hispanic or Latino","2135-2",288
,"Indian River County, FL","12061","Not Hispanic or Latino","2186-5",956
,"Indian River County, FL","12061","Unknown or Not Stated","9",Suppressed
,"Lake County, FL","12069","Hispanic or Latino","2135-2",662
,"Lake County, FL","12069","Not Hispanic or Latino","2186-5",2600
,"Lake County, FL","12069","Unknown or Not Stated","9",Suppressed
,"Lee County, FL","12071","Hispanic or Latino","2135-2",2224
,"Lee County, FL","12071","Not Hispanic or Latino","2186-5",4522
,"Lee County, FL","12071","Unknown or Not Stated","9",Suppressed
,"Leon County, FL","12073","Hispanic or Latino","2135-2",154
,"Leon County, FL","12073","Not Hispanic or Latino","2186-5",2803
,"Leon County, FL","12073","Unknown or Not Stated","9",32
,"Manatee County, FL","12081","Hispanic or Latino","2135-2",958
,"Manatee County, FL","12081","Not Hispanic or Latino","2186-5",2477
,"Manatee County, FL","12081","Unknown or Not Stated","9",10
,"Marion County, FL","12083","Hispanic or Latino","2135-2",502
,"Marion County, FL","12083","Not Hispanic or Latino","2186-5",2967
,"Marion County, FL","12083","Unknown or Not Stated","9",Suppressed
,"Martin County, FL","12085","Hispanic or Latino","2135-2",401
,"Martin County, FL","12085","Not Hispanic or Latino","2186-5",870
,"Martin County, FL","12085","Unknown or Not Stated","9",Suppressed
,"Miami-Dade County, FL","12086","Hispanic or Latino","2135-2",20628
,"Miami-Dade County, FL","12086","Not Hispanic or Latino","2186-5",11874
,"Miami-Dade County, FL","12086","Unknown or Not Stated","9",195
,"Okaloosa County, FL","12091","Hispanic or Latino","2135-2",299
,"Okaloosa County, FL","12091","Not Hispanic or Latino","2186-5",2476
,"Okaloosa County, FL","12091","Unknown or Not Stated","9",Suppressed
,"Orange County, FL","12095","Hispanic or Latino","2135-2",5644
,"Orange County, FL","12095","Not Hispanic or Latino","2186-5",10988
,"Orange County, FL","12095","Unknown or Not Stated","9",21
,"Osceola County, FL","12097","Hispanic or Latino","2135-2",2413
,"Osceola County, FL","12097","Not Hispanic or Latino","2186-5",1907
,"Osceola County, FL","12097","Unknown or Not Stated","9",Suppressed
,"Palm Beach County, FL","12099","Hispanic or Latino","2135-2",4736
,"Palm Beach County, FL","12099","Not Hispanic or Latino","2186-5",10185
,"Palm Beach County, FL","12099","Unknown or Not Stated","9",44
,"Pasco County, FL","12101","Hispanic or Latino","2135-2",911
,"Pasco County, FL","12101","Not Hispanic or Latino","2186-5",4189
,"Pasco County, FL","12101","Unknown or Not Stated","9",Suppressed
,"Pinellas County, FL","12103","Hispanic or Latino","2135-2",1089
,"Pinellas County, FL","12103","Not Hispanic or Latino","2186-5",7305
,"Pinellas County, FL","12103","Unknown or Not Stated","9",86
,"Polk County, FL","12105","Hispanic or Latino","2135-2",2130
,"Polk County, FL","12105","Not Hispanic or Latino","2186-5",5658
,"Polk County, FL","12105","Unknown or Not Stated","9",16
,"St. Johns County, FL","12109","Hispanic or Latino","2135-2",129
,"St. Johns County, FL","12109","Not Hispanic or Latino","2186-5",1983
,"St. Johns County, FL","12109","Unknown or Not Stated","9",Suppressed
,"St. Lucie County, FL","12111","Hispanic or Latino","2135-2",693
,"St. Lucie County, FL","12111","Not Hispanic or Latino","2186-5",2300
,"St. Lucie County, FL","12111","Unknown or Not Stated","9",Suppressed
,"Santa Rosa County, FL","12113","Hispanic or Latino","2135-2",96
,"Santa Rosa County, FL","12113","Not Hispanic or Latino","2186-5",1808
,"Santa Rosa County, FL","12113","Unknown or Not Stated","9",Suppressed
,"Sarasota County, FL","12115","Hispanic or Latino","2135-2",314
,"Sarasota County, FL","12115","Not Hispanic or Latino","2186-5",2607
,"Sarasota County, FL","12115","Unknown or Not Stated","9",Suppressed
,"Seminole County, FL","12117","Hispanic or Latino","2135-2",1117
,"Seminole County, FL","12117","Not Hispanic or Latino","2186-5",3627
,"Seminole County, FL","12117","Unknown or Not Stated","9",Suppressed
,"Volusia County, FL","12127","Hispanic or Latino","2135-2",833
,"Volusia County, FL","12127","Not Hispanic or Latino","2186-5",4171
,"Volusia County, FL","12127","Unknown or Not Stated","9",28
,"Unidentified Counties, FL","12999","Hispanic or Latino","2135-2",2220
,"Unidentified Counties, FL","12999","Not Hispanic or Latino","2186-5",10918
,"Unidentified Counties, FL","12999","Unknown or Not Stated","9",44
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Florida (12)"
"Year: 2016"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 7:51:37 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 7:51:37 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
