"Notes","State of Residence","State of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alabama","01","Female","F",28860
,"Alabama","01","Male","M",30291
,"Alaska","02","Female","F",5444
,"Alaska","02","Male","M",5765
,"Arizona","04","Female","F",41514
,"Arizona","04","Male","M",43006
,"Arkansas","05","Female","F",18499
,"Arkansas","05","Male","M",19775
,"California","06","Female","F",238408
,"California","06","Male","M",250419
,"Colorado","08","Female","F",32587
,"Colorado","08","Male","M",34026
,"Connecticut","09","Female","F",17838
,"Connecticut","09","Male","M",18177
,"Delaware","10","Female","F",5358
,"Delaware","10","Male","M",5634
,"District of Columbia","11","Female","F",4737
,"District of Columbia","11","Male","M",5121
,"Florida","12","Female","F",109853
,"Florida","12","Male","M",115169
,"Georgia","13","Female","F",63962
,"Georgia","13","Male","M",66080
,"Hawaii","15","Female","F",8564
,"Hawaii","15","Male","M",9495
,"Idaho","16","Female","F",10999
,"Idaho","16","Male","M",11483
,"Illinois","17","Female","F",75509
,"Illinois","17","Male","M",78936
,"Indiana","18","Female","F",40255
,"Indiana","18","Male","M",42836
,"Iowa","19","Female","F",19398
,"Iowa","19","Male","M",20005
,"Kansas","20","Female","F",18470
,"Kansas","20","Male","M",19583
,"Kentucky","21","Female","F",26998
,"Kentucky","21","Male","M",28451
,"Louisiana","22","Female","F",31066
,"Louisiana","22","Male","M",32112
,"Maine","23","Female","F",6183
,"Maine","23","Male","M",6522
,"Maryland","24","Female","F",35754
,"Maryland","24","Male","M",37382
,"Massachusetts","25","Female","F",34907
,"Massachusetts","25","Male","M",36410
,"Michigan","26","Female","F",55310
,"Michigan","26","Male","M",58005
,"Minnesota","27","Female","F",34119
,"Minnesota","27","Male","M",35630
,"Mississippi","28","Female","F",18685
,"Mississippi","28","Male","M",19243
,"Missouri","29","Female","F",36418
,"Missouri","29","Male","M",38287
,"Montana","30","Female","F",5978
,"Montana","30","Male","M",6304
,"Nebraska","31","Female","F",13079
,"Nebraska","31","Male","M",13510
,"Nevada","32","Female","F",17778
,"Nevada","32","Male","M",18482
,"New Hampshire","33","Female","F",5855
,"New Hampshire","33","Male","M",6412
,"New Jersey","34","Female","F",50081
,"New Jersey","34","Male","M",52566
,"New Mexico","35","Female","F",12096
,"New Mexico","35","Male","M",12596
,"New York","36","Female","F",114466
,"New York","36","Male","M",119817
,"North Carolina","37","Female","F",58748
,"North Carolina","37","Male","M",62031
,"North Dakota","38","Female","F",5538
,"North Dakota","38","Male","M",5845
,"Ohio","39","Female","F",67449
,"Ohio","39","Male","M",70636
,"Oklahoma","40","Female","F",25753
,"Oklahoma","40","Male","M",26839
,"Oregon","41","Female","F",22153
,"Oregon","41","Male","M",23382
,"Pennsylvania","42","Female","F",67849
,"Pennsylvania","42","Male","M",71560
,"Rhode Island","44","Female","F",5281
,"Rhode Island","44","Male","M",5517
,"South Carolina","45","Female","F",28044
,"South Carolina","45","Male","M",29298
,"South Dakota","46","Female","F",5981
,"South Dakota","46","Male","M",6294
,"Tennessee","47","Female","F",39377
,"Tennessee","47","Male","M",41430
,"Texas","48","Female","F",194708
,"Texas","48","Male","M",203339
,"Utah","49","Female","F",24694
,"Utah","49","Male","M",25770
,"Vermont","50","Female","F",2800
,"Vermont","50","Male","M",2956
,"Virginia","51","Female","F",50401
,"Virginia","51","Male","M",52059
,"Washington","53","Female","F",44278
,"Washington","53","Male","M",46227
,"West Virginia","54","Female","F",9419
,"West Virginia","54","Male","M",9660
,"Wisconsin","55","Female","F",32594
,"Wisconsin","55","Male","M",34021
,"Wyoming","56","Female","F",3597
,"Wyoming","56","Male","M",3789
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 4:45:54 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 4:45:54 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
