"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",56878
,"Alabama","01","Twin","2",2182
,"Alabama","01","Triplet or higher","3",91
,"Alaska","02","Single","1",10832
,"Alaska","02","Twin","2",374
,"Alaska","02","Triplet or higher","3",Suppressed
,"Arizona","04","Single","1",81864
,"Arizona","04","Twin","2",2583
,"Arizona","04","Triplet or higher","3",73
,"Arkansas","05","Single","1",37154
,"Arkansas","05","Twin","2",1093
,"Arkansas","05","Triplet or higher","3",27
,"California","06","Single","1",473330
,"California","06","Twin","2",15068
,"California","06","Triplet or higher","3",429
,"Colorado","08","Single","1",64499
,"Colorado","08","Twin","2",2046
,"Colorado","08","Triplet or higher","3",68
,"Connecticut","09","Single","1",34453
,"Connecticut","09","Twin","2",1511
,"Connecticut","09","Triplet or higher","3",51
,"Delaware","10","Single","1",10667
,"Delaware","10","Twin","2",325
,"Delaware","10","Triplet or higher","3",0
,"District of Columbia","11","Single","1",9470
,"District of Columbia","11","Twin","2",388
,"District of Columbia","11","Triplet or higher","3",0
,"Florida","12","Single","1",217688
,"Florida","12","Twin","2",7162
,"Florida","12","Triplet or higher","3",172
,"Georgia","13","Single","1",125619
,"Georgia","13","Twin","2",4271
,"Georgia","13","Triplet or higher","3",152
,"Hawaii","15","Single","1",17435
,"Hawaii","15","Twin","2",590
,"Hawaii","15","Triplet or higher","3",34
,"Idaho","16","Single","1",21739
,"Idaho","16","Twin","2",715
,"Idaho","16","Triplet or higher","3",28
,"Illinois","17","Single","1",148504
,"Illinois","17","Twin","2",5772
,"Illinois","17","Triplet or higher","3",169
,"Indiana","18","Single","1",80234
,"Indiana","18","Twin","2",2744
,"Indiana","18","Triplet or higher","3",113
,"Iowa","19","Single","1",38044
,"Iowa","19","Twin","2",1310
,"Iowa","19","Triplet or higher","3",49
,"Kansas","20","Single","1",36905
,"Kansas","20","Twin","2",1111
,"Kansas","20","Triplet or higher","3",37
,"Kentucky","21","Single","1",53436
,"Kentucky","21","Twin","2",1938
,"Kentucky","21","Triplet or higher","3",75
,"Louisiana","22","Single","1",60929
,"Louisiana","22","Twin","2",2157
,"Louisiana","22","Triplet or higher","3",92
,"Maine","23","Single","1",12306
,"Maine","23","Twin","2",384
,"Maine","23","Triplet or higher","3",15
,"Maryland","24","Single","1",70585
,"Maryland","24","Twin","2",2475
,"Maryland","24","Triplet or higher","3",76
,"Massachusetts","25","Single","1",68656
,"Massachusetts","25","Twin","2",2571
,"Massachusetts","25","Triplet or higher","3",90
,"Michigan","26","Single","1",108940
,"Michigan","26","Twin","2",4239
,"Michigan","26","Triplet or higher","3",136
,"Minnesota","27","Single","1",67296
,"Minnesota","27","Twin","2",2401
,"Minnesota","27","Triplet or higher","3",52
