"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Maryland","2022","--","6,163,981","--","--","--"
"Cut/Pierce","Maryland","2021","--","6,175,045","--","--","--"
"Cut/Pierce","Maryland","2020","--","6,173,689","--","--","--"
"Cut/Pierce","Maryland","2018","--","6,042,153","--","--","--"
"Cut/Pierce","Massachusetts","2022","--","6,982,740","--","--","--"
"Cut/Pierce","Massachusetts","2021","--","6,991,951","--","--","--"
"Cut/Pierce","Massachusetts","2020","--","6,997,713","--","--","--"
"Cut/Pierce","Massachusetts","2019","--","6,894,883","--","--","--"
"Cut/Pierce","Michigan","2023","--","10,037,261","--","--","--"
"Cut/Pierce","Michigan","2022","--","10,033,281","--","--","--"
"Cut/Pierce","Michigan","2021","--","10,038,117","--","--","--"
"Cut/Pierce","Michigan","2020","--","10,070,627","--","--","--"
"Cut/Pierce","Michigan","2019","--","9,984,795","--","--","--"
"Cut/Pierce","Michigan","2018","--","9,987,286","--","--","--"
"Cut/Pierce","Minnesota","2023","--","5,737,915","--","--","--"
"Cut/Pierce","Minnesota","2022","--","5,714,300","--","--","--"
"Cut/Pierce","Minnesota","2021","--","5,717,968","--","--","--"
"Cut/Pierce","Minnesota","2020","--","5,710,578","--","--","--"
"Cut/Pierce","Minnesota","2019","--","5,640,053","--","--","--"
"Cut/Pierce","Minnesota","2018","--","5,608,762","--","--","--"
"Cut/Pierce","Mississippi","2023","--","2,939,690","--","--","--"
"Cut/Pierce","Mississippi","2022","--","2,938,928","--","--","--"
"Cut/Pierce","Mississippi","2021","--","2,949,582","--","--","--"
"Cut/Pierce","Mississippi","2020","--","2,958,409","--","--","--"
"Cut/Pierce","Mississippi","2019","--","2,978,227","--","--","--"
"Cut/Pierce","Mississippi","2018","--","2,982,879","--","--","--"
"Cut/Pierce","Missouri","2023","--","6,196,156","--","--","--"
"Cut/Pierce","Missouri","2022","--","6,177,168","--","--","--"
"Cut/Pierce","Missouri","2021","12**","6,170,393","0.19**","0.17**","88"
"Cut/Pierce","Missouri","2020","--","6,154,426","--","--","--"
"Cut/Pierce","Missouri","2019","--","6,140,475","--","--","--"
"Cut/Pierce","Missouri","2018","--","6,125,986","--","--","--"
"Cut/Pierce","Montana","2023","--","1,132,812","--","--","--"
"Cut/Pierce","Montana","2022","--","1,122,878","--","--","--"
"Cut/Pierce","Montana","2020","--","1,087,211","--","--","--"
"Cut/Pierce","Nebraska","2023","--","1,978,379","--","--","--"
"Cut/Pierce","Nebraska","2022","--","1,968,060","--","--","--"
"Cut/Pierce","Nebraska","2021","--","1,964,253","--","--","--"
"Cut/Pierce","Nebraska","2019","--","1,932,571","--","--","--"
"Cut/Pierce","Nebraska","2018","--","1,925,512","--","--","--"
"Cut/Pierce","Nevada","2023","--","3,194,176","--","--","--"
"Cut/Pierce","Nevada","2021","--","3,146,632","--","--","--"
"Cut/Pierce","Nevada","2019","--","3,090,771","--","--","--"
"Cut/Pierce","Nevada","2018","--","3,030,725","--","--","--"
"Cut/Pierce","New Hampshire","2022","--","1,399,003","--","--","--"
"Cut/Pierce","New Hampshire","2021","--","1,387,494","--","--","--"
"Cut/Pierce","New Hampshire","2020","--","1,378,702","--","--","--"
"Cut/Pierce","New Jersey","2023","--","9,290,841","--","--","--"
"Cut/Pierce","New Jersey","2021","--","9,269,175","--","--","--"
"Cut/Pierce","New Jersey","2020","--","9,272,392","--","--","--"
"Cut/Pierce","New Jersey","2019","--","8,891,258","--","--","--"
"Cut/Pierce","New Jersey","2018","--","8,891,730","--","--","--"
"Cut/Pierce","New Mexico","2023","--","2,114,371","--","--","--"
"Cut/Pierce","New York","2023","--","19,571,216","--","--","--"
"Cut/Pierce","New York","2022","--","19,673,200","--","--","--"
"Cut/Pierce","New York","2021","--","19,854,526","--","--","--"
"Cut/Pierce","New York","2020","--","20,104,710","--","--","--"
"Cut/Pierce","New York","2019","--","19,463,131","--","--","--"
"Cut/Pierce","New York","2018","--","19,544,098","--","--","--"
"Cut/Pierce","North Carolina","2023","14**","10,835,491","0.13**","0.11**","53"
"Cut/Pierce","North Carolina","2022","11**","10,695,965","0.10**","0.09**","44"
"Cut/Pierce","North Carolina","2021","10**","10,567,100","0.10**","0.09**","126"
"Cut/Pierce","North Carolina","2020","--","10,453,812","--","--","--"
"Cut/Pierce","North Carolina","2019","--","10,501,384","--","--","--"
"Cut/Pierce","North Carolina","2018","--","10,391,358","--","--","--"
"Cut/Pierce","North Dakota","2022","--","778,912","--","--","--"
"Cut/Pierce","Ohio","2023","13**","11,785,935","0.11**","0.09**","73"
"Cut/Pierce","Ohio","2022","14**","11,759,697","0.12**","0.11**","218"
"Cut/Pierce","Ohio","2021","--","11,765,227","--","--","--"
"Cut/Pierce","Ohio","2020","--","11,798,292","--","--","--"
"Cut/Pierce","Ohio","2019","--","11,696,507","--","--","--"
"Cut/Pierce","Ohio","2018","--","11,680,892","--","--","--"
"Cut/Pierce","Oklahoma","2023","--","4,053,824","--","--","--"
"Cut/Pierce","Oklahoma","2022","--","4,019,271","--","--","--"
"Cut/Pierce","Oklahoma","2020","--","3,965,234","--","--","--"
"Cut/Pierce","Oklahoma","2019","--","3,960,676","--","--","--"
"Cut/Pierce","Oklahoma","2018","--","3,943,488","--","--","--"
"Cut/Pierce","Oregon","2023","--","4,233,358","--","--","--"
"Cut/Pierce","Oregon","2022","--","4,239,379","--","--","--"
"Cut/Pierce","Oregon","2019","--","4,216,116","--","--","--"
"Cut/Pierce","Oregon","2018","--","4,183,538","--","--","--"
"Cut/Pierce","Pennsylvania","2023","--","12,961,683","--","--","--"
"Cut/Pierce","Pennsylvania","2022","--","12,972,091","--","--","--"
"Cut/Pierce","Pennsylvania","2021","--","13,013,614","--","--","--"
"Cut/Pierce","Pennsylvania","2020","--","12,995,477","--","--","--"
"Cut/Pierce","Pennsylvania","2019","10**","12,798,883","0.08**","0.06**","93"
"Cut/Pierce","Pennsylvania","2018","--","12,809,107","--","--","--"
"Cut/Pierce","Rhode Island","2022","--","1,093,842","--","--","--"
"Cut/Pierce","Rhode Island","2018","--","1,059,338","--","--","--"
"Cut/Pierce","South Carolina","2023","--","5,373,555","--","--","--"
"Cut/Pierce","South Carolina","2022","--","5,282,955","--","--","--"
"Cut/Pierce","South Carolina","2021","--","5,193,848","--","--","--"
"Cut/Pierce","South Carolina","2020","--","5,132,151","--","--","--"
"Cut/Pierce","South Carolina","2018","--","5,091,702","--","--","--"
"Cut/Pierce","South Dakota","2023","--","919,318","--","--","--"
"Cut/Pierce","South Dakota","2022","--","909,869","--","--","--"
"Cut/Pierce","South Dakota","2021","--","896,299","--","--","--"
"Cut/Pierce","Tennessee","2023","--","7,126,489","--","--","--"
"Cut/Pierce","Tennessee","2022","11**","7,048,976","0.16**","0.12**","91"
"Cut/Pierce","Tennessee","2021","--","6,963,709","--","--","--"
"Cut/Pierce","Tennessee","2020","--","6,926,091","--","--","--"
"Cut/Pierce","Tennessee","2019","--","6,830,325","--","--","--"
"Cut/Pierce","Tennessee","2018","10**","6,778,180","0.15**","0.14**","137"
"Cut/Pierce","Texas","2023","16**","30,503,301","0.05**","0.05**","228"
"Cut/Pierce","Texas","2022","--","30,029,848","--","--","--"
"Cut/Pierce","Texas","2021","13**","29,561,286","0.04**","0.04**","192"
"Cut/Pierce","Texas","2020","12**","29,234,361","0.04**","0.04**","136"
"Cut/Pierce","Texas","2019","10**","28,986,794","0.03**","0.04**","198"
"Cut/Pierce","Texas","2018","--","28,624,564","--","--","--"
"Cut/Pierce","Utah","2023","--","3,417,734","--","--","--"
"Cut/Pierce","Utah","2022","--","3,381,236","--","--","--"
"Cut/Pierce","Utah","2021","--","3,339,284","--","--","--"
"Cut/Pierce","Vermont","2023","--","647,464","--","--","--"
"Cut/Pierce","Vermont","2022","--","647,110","--","--","--"
"Cut/Pierce","Vermont","2020","--","642,936","--","--","--"
"Cut/Pierce","Vermont","2019","--","624,046","--","--","--"
"Cut/Pierce","Vermont","2018","--","624,802","--","--","--"
"Cut/Pierce","Virginia","2023","--","8,715,698","--","--","--"
"Cut/Pierce","Virginia","2022","--","8,679,099","--","--","--"
"Cut/Pierce","Virginia","2021","--","8,657,348","--","--","--"
"Cut/Pierce","Virginia","2020","--","8,637,193","--","--","--"
"Cut/Pierce","Virginia","2019","--","8,556,642","--","--","--"
"Cut/Pierce","Virginia","2018","--","8,510,920","--","--","--"
"Cut/Pierce","Washington","2023","--","7,812,880","--","--","--"
"Cut/Pierce","Washington","2022","--","7,784,477","--","--","--"
"Cut/Pierce","Washington","2021","--","7,741,433","--","--","--"
"Cut/Pierce","Washington","2020","--","7,724,566","--","--","--"
"Cut/Pierce","Washington","2019","--","7,614,024","--","--","--"
"Cut/Pierce","Washington","2018","--","7,526,793","--","--","--"
"Cut/Pierce","West Virginia","2023","--","1,770,071","--","--","--"
"Cut/Pierce","West Virginia","2022","--","1,774,035","--","--","--"
"Cut/Pierce","West Virginia","2021","--","1,785,249","--","--","--"
"Cut/Pierce","West Virginia","2020","--","1,791,562","--","--","--"
"Cut/Pierce","West Virginia","2019","--","1,795,263","--","--","--"
"Cut/Pierce","West Virginia","2018","--","1,805,953","--","--","--"
"Cut/Pierce","Wisconsin","2023","--","5,910,955","--","--","--"
"Cut/Pierce","Wisconsin","2022","--","5,890,543","--","--","--"
"Cut/Pierce","Wisconsin","2021","--","5,879,978","--","--","--"
"Cut/Pierce","Wisconsin","2020","--","5,896,700","--","--","--"
"Cut/Pierce","Wisconsin","2019","--","5,824,581","--","--","--"
"Cut/Pierce","Wisconsin","2018","--","5,809,319","--","--","--"
"Cut/Pierce","Wyoming","2022","--","581,629","--","--","--"
"Drowning (includes water transport)","Alabama","2023","80","5,108,468","1.57","1.59","2,451"
"Drowning (includes water transport)","Alabama","2022","90","5,073,903","1.77","1.75","2,454"
"Drowning (includes water transport)","Alabama","2021","82","5,050,380","1.62","1.58","1,924"
"Drowning (includes water transport)","Alabama","2020","72","5,031,864","1.43","1.42","1,727"
"Drowning (includes water transport)","Alabama","2019","92","4,907,965","1.88","1.87","2,693"
"Drowning (includes water transport)","Alabama","2018","70","4,891,628","1.43","1.41","2,033"
"Drowning (includes water transport)","Alaska","2023","32","733,406","4.36","4.09","644"
"Drowning (includes water transport)","Alaska","2022","29","733,276","3.96","3.98","479"
"Drowning (includes water transport)","Alaska","2021","32","734,923","4.35","4.54","748"
"Drowning (includes water transport)","Alaska","2020","32","732,964","4.37","4.17","752"
"Drowning (includes water transport)","Alaska","2019","28","733,603","3.82","3.72","705"
"Drowning (includes water transport)","Alaska","2018","39","736,624","5.29","4.92","638"
"Drowning (includes water transport)","Arizona","2023","122","7,431,344","1.64","1.54","3,023"
"Drowning (includes water transport)","Arizona","2022","134","7,365,684","1.82","1.83","3,189"
"Drowning (includes water transport)","Arizona","2021","118","7,272,487","1.62","1.66","3,575"
"Drowning (includes water transport)","Arizona","2020","102","7,186,683","1.42","1.39","2,236"
"Drowning (includes water transport)","Arizona","2019","104","7,291,843","1.43","1.31","2,097"
"Drowning (includes water transport)","Arizona","2018","97","7,164,228","1.35","1.37","2,862"
"Drowning (includes water transport)","Arkansas","2023","62","3,067,732","2.02","2.15","1,893"
"Drowning (includes water transport)","Arkansas","2022","65","3,046,404","2.13","2.17","1,868"
"Drowning (includes water transport)","Arkansas","2021","61","3,028,443","2.01","1.99","1,766"
"Drowning (includes water transport)","Arkansas","2020","63","3,014,348","2.09","2.19","1,832"
"Drowning (includes water transport)","Arkansas","2019","55","3,020,985","1.82","1.83","1,463"
"Drowning (includes water transport)","Arkansas","2018","46","3,012,161","1.53","1.56","1,486"
"Drowning (includes water transport)","California","2023","519","38,965,193","1.33","1.26","10,626"
"Drowning (includes water transport)","California","2022","459","39,040,616","1.18","1.14","10,041"
"Drowning (includes water transport)","California","2021","466","39,145,060","1.19","1.17","10,356"
"Drowning (includes water transport)","California","2020","450","39,503,200","1.14","1.12","11,224"
"Drowning (includes water transport)","California","2019","449","39,437,610","1.14","1.12","10,717"
"Drowning (includes water transport)","California","2018","436","39,437,463","1.11","1.07","10,068"
"Drowning (includes water transport)","Colorado","2023","81","5,877,610","1.38","1.33","1,913"
"Drowning (includes water transport)","Colorado","2022","93","5,841,039","1.59","1.51","1,989"
"Drowning (includes water transport)","Colorado","2021","90","5,811,596","1.55","1.49","1,960"
"Drowning (includes water transport)","Colorado","2020","86","5,785,219","1.49","1.40","1,910"
"Drowning (includes water transport)","Colorado","2019","68","5,758,486","1.18","1.14","1,534"
"Drowning (includes water transport)","Colorado","2018","82","5,697,155","1.44","1.44","2,143"
"Drowning (includes water transport)","Connecticut","2023","18**","3,617,176","0.50**","0.52**","507"
"Drowning (includes water transport)","Connecticut","2022","29","3,608,706","0.80","0.82","854"
"Drowning (includes water transport)","Connecticut","2021","29","3,603,691","0.81","0.76","694"
"Drowning (includes water transport)","Connecticut","2020","23","3,577,586","0.64","0.62","558"
"Drowning (includes water transport)","Connecticut","2019","29","3,566,022","0.81","0.75","568"
"Drowning (includes water transport)","Connecticut","2018","31","3,574,561","0.87","0.94","994"
"Drowning (includes water transport)","Delaware","2023","--","1,031,890","--","--","--"
"Drowning (includes water transport)","Delaware","2022","14**","1,019,459","1.37**","1.42**","413"
"Drowning (includes water transport)","Delaware","2021","10**","1,004,881","1.00**","1.05**","260"
"Drowning (includes water transport)","Delaware","2020","--","991,862","--","--","--"
"Drowning (includes water transport)","Delaware","2019","--","976,668","--","--","--"
"Drowning (includes water transport)","Delaware","2018","11**","966,985","1.14**","1.08**","256"
"Drowning (includes water transport)","District of Columbia","2023","--","678,972","--","--","--"
"Drowning (includes water transport)","District of Columbia","2022","--","670,949","--","--","--"
"Drowning (includes water transport)","District of Columbia","2021","--","669,037","--","--","--"
"Drowning (includes water transport)","District of Columbia","2020","--","670,839","--","--","--"
"Drowning (includes water transport)","District of Columbia","2019","--","708,253","--","--","--"
"Drowning (includes water transport)","District of Columbia","2018","--","704,147","--","--","--"
"Drowning (includes water transport)","Florida","2023","497","22,610,726","2.20","2.16","12,098"
"Drowning (includes water transport)","Florida","2022","484","22,245,521","2.18","2.11","11,335"
"Drowning (includes water transport)","Florida","2021","510","21,830,708","2.34","2.23","11,469"
"Drowning (includes water transport)","Florida","2020","502","21,591,299","2.33","2.22","11,321"
"Drowning (includes water transport)","Florida","2019","414","21,492,056","1.93","1.80","9,072"
"Drowning (includes water transport)","Florida","2018","432","21,254,926","2.03","2.01","11,020"
"Drowning (includes water transport)","Georgia","2023","176","11,029,227","1.60","1.60","4,986"
"Drowning (includes water transport)","Georgia","2022","156","10,913,150","1.43","1.41","4,131"
"Drowning (includes water transport)","Georgia","2021","155","10,790,385","1.44","1.44","4,396"
"Drowning (includes water transport)","Georgia","2020","144","10,732,390","1.34","1.33","4,065"
