"Age Group","Mechanism","Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"0 to 4","Cut/Pierce","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Cut/Pierce","2023","Montana","--","57,574","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Alabama","13**","293,105","4.44**","--","816"
"0 to 4","Drowning (includes water transport)","2023","Arizona","19**","393,531","4.83**","--","1,202"
"0 to 4","Drowning (includes water transport)","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","California","45","2,097,790","2.15","--","2,829"
"0 to 4","Drowning (includes water transport)","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Delaware","--","54,471","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","District of Columbia","--","38,586","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Florida","74","1,124,756","6.58","--","4,665"
"0 to 4","Drowning (includes water transport)","2023","Georgia","23","635,832","3.62","--","1,444"
"0 to 4","Drowning (includes water transport)","2023","Hawaii","--","77,650","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Illinois","14**","664,874","2.11**","--","883"
"0 to 4","Drowning (includes water transport)","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Louisiana","13**","279,427","4.65**","--","817"
"0 to 4","Drowning (includes water transport)","2023","Maryland","10**","349,713","2.86**","--","631"
"0 to 4","Drowning (includes water transport)","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Montana","--","57,574","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Nevada","--","171,440","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","New Hampshire","--","62,585","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","New Jersey","11**","519,070","2.12**","--","691"
"0 to 4","Drowning (includes water transport)","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","New York","11**","1,038,816","1.06**","--","690"
"0 to 4","Drowning (includes water transport)","2023","North Carolina","15**","606,455","2.47**","--","953"
"0 to 4","Drowning (includes water transport)","2023","Ohio","22","658,693","3.34","--","1,385"
"0 to 4","Drowning (includes water transport)","2023","Oklahoma","14**","244,277","5.73**","--","889"
"0 to 4","Drowning (includes water transport)","2023","Pennsylvania","13**","665,907","1.95**","--","821"
"0 to 4","Drowning (includes water transport)","2023","Rhode Island","--","52,210","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","South Carolina","14**","291,612","4.80**","--","882"
"0 to 4","Drowning (includes water transport)","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Tennessee","20**","411,380","4.86**","--","1,256"
"0 to 4","Drowning (includes water transport)","2023","Texas","66","1,936,893","3.41","--","4,158"
"0 to 4","Drowning (includes water transport)","2023","Utah","--","231,295","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Vermont","--","27,348","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Washington","--","421,127","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Wyoming","--","30,785","--","--","--"
"0 to 4","Fall","2023","California","--","2,097,790","--","--","--"
"0 to 4","Fall","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Fall","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Fall","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Fall","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Fall","2023","Maine","--","61,645","--","--","--"
"0 to 4","Fall","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Fall","2023","New Hampshire","--","62,585","--","--","--"
"0 to 4","Fall","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Fall","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Fall","2023","North Dakota","--","49,307","--","--","--"
"0 to 4","Fall","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Fall","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Fall","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Fire/Flame","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Fire/Flame","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Fire/Flame","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Fire/Flame","2023","California","--","2,097,790","--","--","--"
"0 to 4","Fire/Flame","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Fire/Flame","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Fire/Flame","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Fire/Flame","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Fire/Flame","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Fire/Flame","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Fire/Flame","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Fire/Flame","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Fire/Flame","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Fire/Flame","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Fire/Flame","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Fire/Flame","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Fire/Flame","2023","Nevada","--","171,440","--","--","--"
"0 to 4","Fire/Flame","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Fire/Flame","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Fire/Flame","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Fire/Flame","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Fire/Flame","2023","North Dakota","--","49,307","--","--","--"
"0 to 4","Fire/Flame","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Fire/Flame","2023","Oklahoma","--","244,277","--","--","--"
"0 to 4","Fire/Flame","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Fire/Flame","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Fire/Flame","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Fire/Flame","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Fire/Flame","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Fire/Flame","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Fire/Flame","2023","Wyoming","--","30,785","--","--","--"
"0 to 4","Hot object/Substance","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Hot object/Substance","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Firearm","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Firearm","2023","California","--","2,097,790","--","--","--"
"0 to 4","Firearm","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Firearm","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Firearm","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Firearm","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Firearm","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Firearm","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Firearm","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Firearm","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Firearm","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Firearm","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Firearm","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Firearm","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Firearm","2023","Oklahoma","--","244,277","--","--","--"
"0 to 4","Firearm","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Firearm","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Firearm","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Firearm","2023","Wyoming","--","30,785","--","--","--"
"0 to 4","Machinery","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Machinery","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Machinery","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Machinery","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Machinery","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Machinery","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Machinery","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Machinery","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Machinery","2023","Utah","--","231,295","--","--","--"
"0 to 4","Machinery","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Natural/Environmental","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Natural/Environmental","2023","Alaska","--","45,857","--","--","--"
"0 to 4","Natural/Environmental","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Natural/Environmental","2023","California","--","2,097,790","--","--","--"
"0 to 4","Natural/Environmental","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Natural/Environmental","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Natural/Environmental","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Natural/Environmental","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Natural/Environmental","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Natural/Environmental","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Natural/Environmental","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Natural/Environmental","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Natural/Environmental","2023","Montana","--","57,574","--","--","--"
"0 to 4","Natural/Environmental","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Natural/Environmental","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Natural/Environmental","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Natural/Environmental","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Natural/Environmental","2023","Oregon","--","202,332","--","--","--"
"0 to 4","Natural/Environmental","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Natural/Environmental","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Natural/Environmental","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Natural/Environmental","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Natural/Environmental","2023","Utah","--","231,295","--","--","--"
"0 to 4","Natural/Environmental","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Natural/Environmental","2023","Washington","--","421,127","--","--","--"
"0 to 4","Natural/Environmental","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Drug Poisoning","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Drug Poisoning","2023","Alaska","--","45,857","--","--","--"
"0 to 4","Drug Poisoning","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Drug Poisoning","2023","California","--","2,097,790","--","--","--"
"0 to 4","Drug Poisoning","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Drug Poisoning","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Drug Poisoning","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Drug Poisoning","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Drug Poisoning","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Drug Poisoning","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Drug Poisoning","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Drug Poisoning","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Drug Poisoning","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Drug Poisoning","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Drug Poisoning","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Drug Poisoning","2023","Montana","--","57,574","--","--","--"
"0 to 4","Drug Poisoning","2023","Nevada","--","171,440","--","--","--"
"0 to 4","Drug Poisoning","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Drug Poisoning","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Drug Poisoning","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Drug Poisoning","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Drug Poisoning","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Drug Poisoning","2023","Oklahoma","--","244,277","--","--","--"
"0 to 4","Drug Poisoning","2023","Oregon","--","202,332","--","--","--"
"0 to 4","Drug Poisoning","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Drug Poisoning","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Drug Poisoning","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Drug Poisoning","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Drug Poisoning","2023","Washington","--","421,127","--","--","--"
"0 to 4","Drug Poisoning","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Drug Poisoning","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Non-Drug Poisoning","2023","California","--","2,097,790","--","--","--"
"0 to 4","Non-Drug Poisoning","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Non-Drug Poisoning","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Non-Drug Poisoning","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Non-Drug Poisoning","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Non-Drug Poisoning","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Struck by / against","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Struck by / against","2023","California","--","2,097,790","--","--","--"
"0 to 4","Struck by / against","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Struck by / against","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Struck by / against","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Struck by / against","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Struck by / against","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Struck by / against","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Struck by / against","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Struck by / against","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Struck by / against","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Struck by / against","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Struck by / against","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Struck by / against","2023","Washington","--","421,127","--","--","--"
"0 to 4","Struck by / against","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Suffocation","2023","Alabama","17**","293,105","5.80**","--","1,097"
"0 to 4","Suffocation","2023","Alaska","--","45,857","--","--","--"
"0 to 4","Suffocation","2023","Arizona","15**","393,531","3.81**","--","972"
"0 to 4","Suffocation","2023","Arkansas","16**","180,834","8.85**","--","1,030"
"0 to 4","Suffocation","2023","California","42","2,097,790","2.00","--","2,719"
"0 to 4","Suffocation","2023","Colorado","27","308,959","8.74","--","1,751"
"0 to 4","Suffocation","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Suffocation","2023","Delaware","--","54,471","--","--","--"
"0 to 4","Suffocation","2023","District of Columbia","11**","38,586","28.51**","--","713"
"0 to 4","Suffocation","2023","Florida","102","1,124,756","9.07","--","6,612"
"0 to 4","Suffocation","2023","Georgia","35","635,832","5.51","--","2,268"
"0 to 4","Suffocation","2023","Hawaii","--","77,650","--","--","--"
"0 to 4","Suffocation","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Suffocation","2023","Illinois","39","664,874","5.87","--","2,534"
"0 to 4","Suffocation","2023","Indiana","39","405,723","9.61","--","2,530"
"0 to 4","Suffocation","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Suffocation","2023","Kansas","20**","174,988","11.43**","--","1,299"
"0 to 4","Suffocation","2023","Kentucky","21","263,862","7.96","--","1,364"
"0 to 4","Suffocation","2023","Louisiana","56","279,427","20.04","--","3,632"
"0 to 4","Suffocation","2023","Maine","--","61,645","--","--","--"
"0 to 4","Suffocation","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Suffocation","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Suffocation","2023","Michigan","65","529,962","12.27","--","4,208"
"0 to 4","Suffocation","2023","Minnesota","32","328,430","9.74","--","2,076"
"0 to 4","Suffocation","2023","Mississippi","28","173,870","16.10","--","1,814"
"0 to 4","Suffocation","2023","Missouri","49","351,517","13.94","--","3,178"
"0 to 4","Suffocation","2023","Nebraska","13**","123,659","10.51**","--","844"
"0 to 4","Suffocation","2023","Nevada","19**","171,440","11.08**","--","1,232"
"0 to 4","Suffocation","2023","New Hampshire","--","62,585","--","--","--"
"0 to 4","Suffocation","2023","New Jersey","15**","519,070","2.89**","--","971"
"0 to 4","Suffocation","2023","New Mexico","14**","107,321","13.05**","--","909"
"0 to 4","Suffocation","2023","New York","38","1,038,816","3.66","--","2,459"
"0 to 4","Suffocation","2023","North Carolina","24","606,455","3.96","--","1,545"
"0 to 4","Suffocation","2023","North Dakota","--","49,307","--","--","--"
"0 to 4","Suffocation","2023","Ohio","91","658,693","13.82","--","5,895"
"0 to 4","Suffocation","2023","Oklahoma","23","244,277","9.42","--","1,491"
"0 to 4","Suffocation","2023","Oregon","--","202,332","--","--","--"
"0 to 4","Suffocation","2023","Pennsylvania","31","665,907","4.66","--","2,006"
"0 to 4","Suffocation","2023","Rhode Island","--","52,210","--","--","--"
"0 to 4","Suffocation","2023","South Carolina","34","291,612","11.66","--","2,202"
"0 to 4","Suffocation","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Suffocation","2023","Tennessee","60","411,380","14.59","--","3,894"
"0 to 4","Suffocation","2023","Texas","114","1,936,893","5.89","--","7,394"
"0 to 4","Suffocation","2023","Utah","--","231,295","--","--","--"
"0 to 4","Suffocation","2023","Virginia","22","485,946","4.53","--","1,418"
"0 to 4","Suffocation","2023","Washington","18**","421,127","4.27**","--","1,166"
"0 to 4","Suffocation","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Suffocation","2023","Wisconsin","35","310,374","11.28","--","2,265"
"0 to 4","Suffocation","2023","Wyoming","--","30,785","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Alaska","--","45,857","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","California","36","2,097,790","1.72","--","2,268"
"0 to 4","Motor vehicle, traffic","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Delaware","--","54,471","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Florida","33","1,124,756","2.93","--","2,094"
"0 to 4","Motor vehicle, traffic","2023","Georgia","20**","635,832","3.15**","--","1,262"
"0 to 4","Motor vehicle, traffic","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Kentucky","11**","263,862","4.17**","--","690"
"0 to 4","Motor vehicle, traffic","2023","Louisiana","12**","279,427","4.30**","--","755"
"0 to 4","Motor vehicle, traffic","2023","Maine","--","61,645","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Nevada","--","171,440","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","New Hampshire","--","62,585","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","North Carolina","13**","606,455","2.14**","--","814"
"0 to 4","Motor vehicle, traffic","2023","Ohio","17**","658,693","2.58**","--","1,078"
"0 to 4","Motor vehicle, traffic","2023","Oklahoma","--","244,277","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Oregon","--","202,332","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","South Carolina","15**","291,612","5.14**","--","947"
"0 to 4","Motor vehicle, traffic","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Tennessee","13**","411,380","3.16**","--","821"
"0 to 4","Motor vehicle, traffic","2023","Texas","43","1,936,893","2.22","--","2,714"
"0 to 4","Motor vehicle, traffic","2023","Utah","--","231,295","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Washington","--","421,127","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Motor vehicle, traffic","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Pedal cyclist, other","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Pedestrian, other","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Pedestrian, other","2023","California","--","2,097,790","--","--","--"
"0 to 4","Pedestrian, other","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Pedestrian, other","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Pedestrian, other","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Pedestrian, other","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Pedestrian, other","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Pedestrian, other","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Pedestrian, other","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Pedestrian, other","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Pedestrian, other","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Pedestrian, other","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Pedestrian, other","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Pedestrian, other","2023","Montana","--","57,574","--","--","--"
"0 to 4","Pedestrian, other","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Pedestrian, other","2023","Oregon","--","202,332","--","--","--"
"0 to 4","Pedestrian, other","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Pedestrian, other","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Pedestrian, other","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Pedestrian, other","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Pedestrian, other","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Transport, other land","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Transport, other land","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Transport, other land","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Transport, other land","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Transport, other land","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Transport, other land","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Transport, other land","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Transport, other land","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Transport, other land","2023","Oklahoma","--","244,277","--","--","--"
"0 to 4","Transport, other land","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Transport, other land","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Transport, other land","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Transport, other land","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Transport, other (excl. drown by water transp)","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Transport, other (excl. drown by water transp)","2023","Utah","--","231,295","--","--","--"
"0 to 4","Other specified and classifiable","2023","California","--","2,097,790","--","--","--"
"0 to 4","Other specified and classifiable","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Other specified and classifiable","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Other specified and classifiable","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Other specified and classifiable","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Other specified and classifiable","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Other specified and classifiable","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Other specified and classifiable","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Other specified and classifiable","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Other specified and classifiable","2023","Nevada","--","171,440","--","--","--"
"0 to 4","Other specified and classifiable","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Other specified and classifiable","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Other specified and classifiable","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Other specified and classifiable","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Other specified and classifiable","2023","Washington","--","421,127","--","--","--"
"0 to 4","Other specified / NEC","2023","California","--","2,097,790","--","--","--"
"0 to 4","Other specified / NEC","2023","District of Columbia","--","38,586","--","--","--"
"0 to 4","Other specified / NEC","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Other specified / NEC","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Other specified / NEC","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Other specified / NEC","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Other specified / NEC","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Unspecified","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Unspecified","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Unspecified","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Unspecified","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Unspecified","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Unspecified","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Unspecified","2023","North Dakota","--","49,307","--","--","--"
"0 to 4","Unspecified","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Unspecified","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Unspecified","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Unspecified","2023","Virginia","--","485,946","--","--","--"
"5 to 9","","2023","District of Columbia","--","37,493","0.00**","--","--"
"5 to 9","","2023","New Hampshire","--","67,784","0.00**","--","--"
