"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Illinois","2019","101","12,667,017","0.80","0.75","1,901"
"Cut/Pierce","Illinois","2018","109","12,724,685","0.86","0.82","2,358"
"Cut/Pierce","Indiana","2023","49","6,862,199","0.71","0.71","887"
"Cut/Pierce","Indiana","2022","43","6,832,274","0.63","0.63","877"
"Cut/Pierce","Indiana","2021","49","6,813,798","0.72","0.72","1,026"
"Cut/Pierce","Indiana","2020","61","6,789,098","0.90","0.93","1,460"
"Cut/Pierce","Indiana","2019","52","6,731,010","0.77","0.78","1,168"
"Cut/Pierce","Indiana","2018","50","6,698,481","0.75","0.77","1,138"
"Cut/Pierce","Iowa","2023","--","3,207,004","--","--","--"
"Cut/Pierce","Iowa","2022","17**","3,199,693","0.53**","0.49**","275"
"Cut/Pierce","Iowa","2021","14**","3,197,944","0.44**","0.48**","261"
"Cut/Pierce","Iowa","2020","--","3,190,904","--","--","--"
"Cut/Pierce","Iowa","2019","--","3,159,596","--","--","--"
"Cut/Pierce","Iowa","2018","16**","3,149,900","0.51**","0.48**","149"
"Cut/Pierce","Kansas","2023","17**","2,940,546","0.58**","0.53**","229"
"Cut/Pierce","Kansas","2022","21","2,936,716","0.72","0.75","431"
"Cut/Pierce","Kansas","2021","20**","2,937,946","0.68**","0.68**","395"
"Cut/Pierce","Kansas","2020","21","2,938,124","0.72","0.73","544"
"Cut/Pierce","Kansas","2019","21","2,912,635","0.72","0.73","439"
"Cut/Pierce","Kansas","2018","18**","2,912,748","0.62**","0.61**","386"
"Cut/Pierce","Kentucky","2023","22","4,526,154","0.49","0.45","322"
"Cut/Pierce","Kentucky","2022","31","4,511,563","0.69","0.68","704"
"Cut/Pierce","Kentucky","2021","26","4,507,600","0.58","0.61","469"
"Cut/Pierce","Kentucky","2020","31","4,508,155","0.69","0.70","666"
"Cut/Pierce","Kentucky","2019","33","4,472,345","0.74","0.75","646"
"Cut/Pierce","Kentucky","2018","32","4,464,273","0.72","0.69","599"
"Cut/Pierce","Louisiana","2023","35","4,573,749","0.77","0.78","846"
"Cut/Pierce","Louisiana","2022","44","4,588,023","0.96","0.92","958"
"Cut/Pierce","Louisiana","2021","55","4,627,047","1.19","1.23","1,451"
"Cut/Pierce","Louisiana","2020","62","4,652,022","1.33","1.37","1,361"
"Cut/Pierce","Louisiana","2019","38","4,658,285","0.82","0.80","773"
"Cut/Pierce","Louisiana","2018","37","4,664,450","0.79","0.78","979"
"Cut/Pierce","Maine","2023","13**","1,395,722","0.93**","0.81**","142"
"Cut/Pierce","Maine","2022","13**","1,389,338","0.94**","0.91**","255"
"Cut/Pierce","Maine","2021","--","1,378,787","--","--","--"
"Cut/Pierce","Maine","2020","--","1,364,517","--","--","--"
"Cut/Pierce","Maine","2019","12**","1,345,770","0.89**","0.77**","151"
"Cut/Pierce","Maine","2018","12**","1,340,123","0.90**","0.80**","227"
"Cut/Pierce","Maryland","2023","61","6,180,253","0.99","1.01","1,469"
"Cut/Pierce","Maryland","2022","51","6,163,981","0.83","0.87","1,396"
"Cut/Pierce","Maryland","2021","49","6,175,045","0.79","0.78","1,242"
"Cut/Pierce","Maryland","2020","60","6,173,689","0.97","1.00","1,541"
"Cut/Pierce","Maryland","2019","47","6,054,954","0.78","0.76","1,043"
