"Mechanism","Age Group","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Firearm","10 to 14","Maryland","2019","--","377,895","--","--","--"
"Firearm","10 to 14","Maryland","2018","--","378,604","--","--","--"
"Firearm","10 to 14","Massachusetts","2023","--","382,761","--","--","--"
"Firearm","10 to 14","Massachusetts","2022","--","388,872","--","--","--"
"Firearm","10 to 14","Massachusetts","2021","--","396,499","--","--","--"
"Firearm","10 to 14","Massachusetts","2019","--","383,290","--","--","--"
"Firearm","10 to 14","Michigan","2023","14**","604,635","2.32**","--","728"
"Firearm","10 to 14","Michigan","2022","17**","614,884","2.77**","--","888"
"Firearm","10 to 14","Michigan","2021","--","626,307","--","--","--"
"Firearm","10 to 14","Michigan","2020","13**","635,612","2.05**","--","685"
"Firearm","10 to 14","Michigan","2019","10**","610,860","1.64**","--","515"
"Firearm","10 to 14","Michigan","2018","12**","619,464","1.94**","--","622"
"Firearm","10 to 14","Minnesota","2023","--","372,675","--","--","--"
"Firearm","10 to 14","Minnesota","2022","--","377,583","--","--","--"
"Firearm","10 to 14","Minnesota","2021","--","383,021","--","--","--"
"Firearm","10 to 14","Minnesota","2019","--","370,226","--","--","--"
"Firearm","10 to 14","Minnesota","2018","--","371,037","--","--","--"
"Firearm","10 to 14","Mississippi","2023","--","192,883","--","--","--"
"Firearm","10 to 14","Mississippi","2022","10**","199,359","5.02**","--","520"
"Firearm","10 to 14","Mississippi","2021","14**","205,809","6.80**","--","724"
"Firearm","10 to 14","Mississippi","2020","11**","210,292","5.23**","--","574"
"Firearm","10 to 14","Mississippi","2019","--","206,319","--","--","--"
"Firearm","10 to 14","Mississippi","2018","--","206,984","--","--","--"
"Firearm","10 to 14","Missouri","2023","--","391,232","--","--","--"
"Firearm","10 to 14","Missouri","2022","14**","397,111","3.53**","--","720"
"Firearm","10 to 14","Missouri","2021","15**","402,425","3.73**","--","777"
"Firearm","10 to 14","Missouri","2020","13**","406,101","3.20**","--","681"
"Firearm","10 to 14","Missouri","2019","12**","391,901","3.06**","--","622"
"Firearm","10 to 14","Missouri","2018","10**","392,745","2.55**","--","522"
"Firearm","10 to 14","Montana","2023","--","68,426","--","--","--"
"Firearm","10 to 14","Montana","2022","--","69,171","--","--","--"
"Firearm","10 to 14","Montana","2021","--","69,229","--","--","--"
"Firearm","10 to 14","Montana","2020","--","68,848","--","--","--"
"Firearm","10 to 14","Montana","2019","--","65,640","--","--","--"
"Firearm","10 to 14","Montana","2018","--","65,325","--","--","--"
"Firearm","10 to 14","Nebraska","2023","--","136,625","--","--","--"
"Firearm","10 to 14","Nebraska","2022","--","137,922","--","--","--"
"Firearm","10 to 14","Nebraska","2021","--","139,559","--","--","--"
"Firearm","10 to 14","Nebraska","2020","--","140,816","--","--","--"
"Firearm","10 to 14","Nebraska","2019","--","133,910","--","--","--"
"Firearm","10 to 14","Nevada","2023","--","197,957","--","--","--"
"Firearm","10 to 14","Nevada","2022","--","202,277","--","--","--"
"Firearm","10 to 14","Nevada","2021","--","204,906","--","--","--"
"Firearm","10 to 14","Nevada","2020","--","205,867","--","--","--"
"Firearm","10 to 14","Nevada","2019","--","199,786","--","--","--"
"Firearm","10 to 14","Nevada","2018","--","197,347","--","--","--"
"Firearm","10 to 14","New Hampshire","2023","--","73,205","--","--","--"
"Firearm","10 to 14","New Hampshire","2021","--","76,239","--","--","--"
"Firearm","10 to 14","New Hampshire","2020","--","77,324","--","--","--"
"Firearm","10 to 14","New Hampshire","2018","--","76,195","--","--","--"
"Firearm","10 to 14","New Jersey","2023","--","572,245","--","--","--"
"Firearm","10 to 14","New Jersey","2022","--","580,749","--","--","--"
"Firearm","10 to 14","New Jersey","2021","--","590,167","--","--","--"
"Firearm","10 to 14","New Jersey","2019","--","552,588","--","--","--"
"Firearm","10 to 14","New Jersey","2018","--","558,429","--","--","--"
"Firearm","10 to 14","New Mexico","2023","--","133,814","--","--","--"
"Firearm","10 to 14","New Mexico","2022","--","137,771","--","--","--"
"Firearm","10 to 14","New Mexico","2021","--","141,227","--","--","--"
"Firearm","10 to 14","New Mexico","2020","--","143,817","--","--","--"
"Firearm","10 to 14","New Mexico","2019","--","139,872","--","--","--"
"Firearm","10 to 14","New Mexico","2018","--","140,253","--","--","--"
"Firearm","10 to 14","New York","2023","10**","1,120,494","0.89**","--","521"
"Firearm","10 to 14","New York","2022","11**","1,142,058","0.96**","--","571"
"Firearm","10 to 14","New York","2021","--","1,163,805","--","--","--"
"Firearm","10 to 14","New York","2020","--","1,182,020","--","--","--"
"Firearm","10 to 14","New York","2019","--","1,100,706","--","--","--"
"Firearm","10 to 14","New York","2018","--","1,118,063","--","--","--"
"Firearm","10 to 14","North Carolina","2023","20**","662,550","3.02**","--","1,031"
"Firearm","10 to 14","North Carolina","2022","19**","671,956","2.83**","--","984"
"Firearm","10 to 14","North Carolina","2021","19**","679,907","2.79**","--","988"
"Firearm","10 to 14","North Carolina","2020","23","686,245","3.35","--","1,199"
"Firearm","10 to 14","North Carolina","2019","13**","666,861","1.95**","--","673"
"Firearm","10 to 14","North Carolina","2018","13**","665,002","1.96**","--","671"
"Firearm","10 to 14","North Dakota","2023","--","51,206","--","--","--"
"Firearm","10 to 14","North Dakota","2021","--","51,267","--","--","--"
"Firearm","10 to 14","North Dakota","2020","--","51,666","--","--","--"
"Firearm","10 to 14","North Dakota","2019","--","48,681","--","--","--"
"Firearm","10 to 14","North Dakota","2018","--","47,745","--","--","--"
"Firearm","10 to 14","Ohio","2023","29","732,950","3.96","--","1,500"
"Firearm","10 to 14","Ohio","2022","27","742,262","3.64","--","1,409"
"Firearm","10 to 14","Ohio","2021","30","753,899","3.98","--","1,556"
"Firearm","10 to 14","Ohio","2020","28","764,158","3.66","--","1,457"
"Firearm","10 to 14","Ohio","2019","19**","732,625","2.59**","--","980"
"Firearm","10 to 14","Ohio","2018","16**","738,020","2.17**","--","833"
"Firearm","10 to 14","Oklahoma","2023","12**","278,120","4.32**","--","623"
"Firearm","10 to 14","Oklahoma","2022","--","279,592","--","--","--"
"Firearm","10 to 14","Oklahoma","2021","14**","280,560","4.99**","--","724"
"Firearm","10 to 14","Oklahoma","2020","13**","280,471","4.64**","--","667"
"Firearm","10 to 14","Oklahoma","2019","10**","270,241","3.70**","--","528"
"Firearm","10 to 14","Oklahoma","2018","10**","269,861","3.71**","--","519"
"Firearm","10 to 14","Oregon","2023","--","243,152","--","--","--"
"Firearm","10 to 14","Oregon","2022","--","249,781","--","--","--"
"Firearm","10 to 14","Oregon","2021","--","256,057","--","--","--"
"Firearm","10 to 14","Oregon","2020","--","259,096","--","--","--"
"Firearm","10 to 14","Oregon","2019","--","249,098","--","--","--"
"Firearm","10 to 14","Oregon","2018","--","248,809","--","--","--"
"Firearm","10 to 14","Pennsylvania","2023","12**","753,881","1.59**","--","623"
"Firearm","10 to 14","Pennsylvania","2022","21","766,101","2.74","--","1,091"
"Firearm","10 to 14","Pennsylvania","2021","24","779,231","3.08","--","1,256"
"Firearm","10 to 14","Pennsylvania","2020","12**","788,016","1.52**","--","618"
"Firearm","10 to 14","Pennsylvania","2019","15**","749,709","2.00**","--","787"
"Firearm","10 to 14","Pennsylvania","2018","15**","755,709","1.99**","--","773"
"Firearm","10 to 14","South Carolina","2023","16**","327,903","4.88**","--","825"
"Firearm","10 to 14","South Carolina","2022","17**","331,138","5.13**","--","885"
"Firearm","10 to 14","South Carolina","2021","14**","333,337","4.20**","--","727"
"Firearm","10 to 14","South Carolina","2020","11**","335,126","3.28**","--","571"
"Firearm","10 to 14","South Carolina","2019","11**","324,648","3.39**","--","579"
"Firearm","10 to 14","South Carolina","2018","11**","320,206","3.44**","--","570"
"Firearm","10 to 14","South Dakota","2023","--","62,707","--","--","--"
"Firearm","10 to 14","South Dakota","2022","--","63,170","--","--","--"
"Firearm","10 to 14","South Dakota","2018","--","60,602","--","--","--"
"Firearm","10 to 14","Tennessee","2023","15**","441,736","3.40**","--","773"
"Firearm","10 to 14","Tennessee","2022","13**","446,660","2.91**","--","677"
"Firearm","10 to 14","Tennessee","2021","12**","450,110","2.67**","--","628"
"Firearm","10 to 14","Tennessee","2020","16**","453,810","3.53**","--","839"
"Firearm","10 to 14","Tennessee","2019","10**","431,661","2.32**","--","518"
"Firearm","10 to 14","Tennessee","2018","13**","430,857","3.02**","--","676"
"Firearm","10 to 14","Texas","2023","45","2,158,268","2.09","--","2,341"
"Firearm","10 to 14","Texas","2022","64","2,168,788","2.95","--","3,373"
"Firearm","10 to 14","Texas","2021","47","2,176,127","2.16","--","2,438"
"Firearm","10 to 14","Texas","2020","37","2,181,277","1.70","--","1,925"
"Firearm","10 to 14","Texas","2019","35","2,106,468","1.66","--","1,836"
"Firearm","10 to 14","Texas","2018","36","2,092,916","1.72","--","1,868"
"Firearm","10 to 14","Utah","2023","--","271,784","--","--","--"
"Firearm","10 to 14","Utah","2022","--","276,484","--","--","--"
"Firearm","10 to 14","Utah","2021","--","281,019","--","--","--"
"Firearm","10 to 14","Utah","2020","--","281,972","--","--","--"
"Firearm","10 to 14","Utah","2019","--","268,386","--","--","--"
"Firearm","10 to 14","Utah","2018","--","267,112","--","--","--"
"Firearm","10 to 14","Vermont","2023","--","33,552","--","--","--"
"Firearm","10 to 14","Vermont","2022","--","34,252","--","--","--"
"Firearm","10 to 14","Vermont","2021","--","34,805","--","--","--"
"Firearm","10 to 14","Vermont","2020","--","35,313","--","--","--"
"Firearm","10 to 14","Virginia","2023","10**","533,403","1.88**","--","522"
"Firearm","10 to 14","Virginia","2022","10**","540,135","1.85**","--","516"
"Firearm","10 to 14","Virginia","2021","12**","547,102","2.19**","--","627"
"Firearm","10 to 14","Virginia","2020","16**","552,292","2.90**","--","840"
"Firearm","10 to 14","Virginia","2019","--","527,441","--","--","--"
"Firearm","10 to 14","Virginia","2018","--","529,185","--","--","--"
"Firearm","10 to 14","Washington","2023","10**","471,988","2.12**","--","524"
"Firearm","10 to 14","Washington","2022","--","479,712","--","--","--"
"Firearm","10 to 14","Washington","2021","--","487,928","--","--","--"
"Firearm","10 to 14","Washington","2020","--","491,429","--","--","--"
"Firearm","10 to 14","Washington","2019","--","466,521","--","--","--"
"Firearm","10 to 14","Washington","2018","--","462,546","--","--","--"
"Firearm","10 to 14","West Virginia","2023","--","102,617","--","--","--"
"Firearm","10 to 14","West Virginia","2022","--","104,144","--","--","--"
"Firearm","10 to 14","West Virginia","2021","--","105,610","--","--","--"
"Firearm","10 to 14","West Virginia","2020","--","106,704","--","--","--"
"Firearm","10 to 14","West Virginia","2019","--","103,335","--","--","--"
"Firearm","10 to 14","West Virginia","2018","--","104,414","--","--","--"
"Firearm","10 to 14","Wisconsin","2023","--","361,106","--","--","--"
"Firearm","10 to 14","Wisconsin","2022","11**","368,747","2.98**","--","568"
"Firearm","10 to 14","Wisconsin","2021","--","377,123","--","--","--"
"Firearm","10 to 14","Wisconsin","2020","--","383,578","--","--","--"
"Firearm","10 to 14","Wisconsin","2019","--","367,332","--","--","--"
"Firearm","10 to 14","Wisconsin","2018","--","369,838","--","--","--"
"Firearm","10 to 14","Wyoming","2022","--","39,109","--","--","--"
"Firearm","10 to 14","Wyoming","2021","--","40,060","--","--","--"
"Firearm","10 to 14","Wyoming","2020","--","40,662","--","--","--"
"Firearm","10 to 14","Wyoming","2019","--","39,486","--","--","--"
"Firearm","15 to 19","Alabama","2023","101","344,879","29.29","--","4,800"
"Firearm","15 to 19","Alabama","2022","92","338,558","27.17","--","4,361"
"Firearm","15 to 19","Alabama","2021","110","334,190","32.92","--","5,219"
"Firearm","15 to 19","Alabama","2020","82","329,900","24.86","--","3,865"
"Firearm","15 to 19","Alabama","2019","70","313,884","22.30","--","3,297"
"Firearm","15 to 19","Alabama","2018","75","316,229","23.72","--","3,541"
"Firearm","15 to 19","Alaska","2023","--","45,874","--","--","--"
"Firearm","15 to 19","Alaska","2022","12**","45,512","26.37**","--","568"
"Firearm","15 to 19","Alaska","2021","15**","45,889","32.69**","--","720"
"Firearm","15 to 19","Alaska","2020","10**","45,827","21.82**","--","477"
"Firearm","15 to 19","Alaska","2019","21","45,072","46.59","--","990"
"Firearm","15 to 19","Alaska","2018","15**","45,823","32.74**","--","710"
"Firearm","15 to 19","Arizona","2023","101","496,686","20.34","--","4,811"
"Firearm","15 to 19","Arizona","2022","100","488,905","20.45","--","4,744"
"Firearm","15 to 19","Arizona","2021","89","473,198","18.81","--","4,220"
"Firearm","15 to 19","Arizona","2020","82","472,909","17.34","--","3,902"
"Firearm","15 to 19","Arizona","2019","59","479,565","12.30","--","2,787"
"Firearm","15 to 19","Arizona","2018","55","473,941","11.61","--","2,622"
"Firearm","15 to 19","Arkansas","2023","64","209,658","30.53","--","3,059"
"Firearm","15 to 19","Arkansas","2022","64","206,289","31.02","--","3,038"
"Firearm","15 to 19","Arkansas","2021","49","203,085","24.13","--","2,324"
"Firearm","15 to 19","Arkansas","2020","59","200,498","29.43","--","2,805"
"Firearm","15 to 19","Arkansas","2019","40","197,377","20.27","--","1,885"
"Firearm","15 to 19","Arkansas","2018","38","197,941","19.20","--","1,795"
"Firearm","15 to 19","California","2023","242","2,608,439","9.28","--","11,526"
"Firearm","15 to 19","California","2022","229","2,585,568","8.86","--","10,889"
"Firearm","15 to 19","California","2021","251","2,512,322","9.99","--","11,905"
"Firearm","15 to 19","California","2020","249","2,573,929","9.67","--","11,797"
"Firearm","15 to 19","California","2019","207","2,532,005","8.18","--","9,811"
"Firearm","15 to 19","California","2018","175","2,543,076","6.88","--","8,297"
"Firearm","15 to 19","Colorado","2023","63","378,651","16.64","--","3,019"
"Firearm","15 to 19","Colorado","2022","77","377,084","20.42","--","3,659"
"Firearm","15 to 19","Colorado","2021","64","372,365","17.19","--","3,043"
"Firearm","15 to 19","Colorado","2020","63","375,456","16.78","--","3,010"
"Firearm","15 to 19","Colorado","2019","63","365,699","17.23","--","2,998"
"Firearm","15 to 19","Colorado","2018","59","361,983","16.30","--","2,800"
"Firearm","15 to 19","Connecticut","2023","13**","238,693","5.45**","--","617"
"Firearm","15 to 19","Connecticut","2022","17**","239,122","7.11**","--","815"
"Firearm","15 to 19","Connecticut","2021","18**","239,453","7.52**","--","851"
"Firearm","15 to 19","Connecticut","2020","14**","234,396","5.97**","--","663"
"Firearm","15 to 19","Connecticut","2019","10**","238,247","4.20**","--","478"
"Firearm","15 to 19","Connecticut","2018","--","241,369","--","--","--"
"Firearm","15 to 19","Delaware","2023","--","65,539","--","--","--"
"Firearm","15 to 19","Delaware","2022","--","64,460","--","--","--"
"Firearm","15 to 19","Delaware","2021","14**","63,416","22.08**","--","653"
"Firearm","15 to 19","Delaware","2020","13**","62,447","20.82**","--","619"
"Firearm","15 to 19","Delaware","2019","10**","60,428","16.55**","--","471"
"Firearm","15 to 19","Delaware","2018","--","60,300","--","--","--"
"Firearm","15 to 19","District of Columbia","2023","33","37,732","87.46","--","1,565"
"Firearm","15 to 19","District of Columbia","2022","23","36,030","63.84","--","1,108"
"Firearm","15 to 19","District of Columbia","2021","12**","36,167","33.18**","--","573"
"Firearm","15 to 19","District of Columbia","2020","22","28,021","78.51","--","1,039"
"Firearm","15 to 19","District of Columbia","2019","19**","36,458","52.12**","--","899"
"Firearm","15 to 19","District of Columbia","2018","15**","36,790","40.77**","--","714"
"Firearm","15 to 19","Florida","2023","181","1,311,854","13.80","--","8,605"
"Firearm","15 to 19","Florida","2022","203","1,281,499","15.84","--","9,632"
"Firearm","15 to 19","Florida","2021","189","1,253,440","15.08","--","8,985"
"Firearm","15 to 19","Florida","2020","207","1,232,720","16.79","--","9,829"
"Firearm","15 to 19","Florida","2019","162","1,204,158","13.45","--","7,687"
"Firearm","15 to 19","Florida","2018","149","1,204,406","12.37","--","7,054"
"Firearm","15 to 19","Georgia","2023","183","773,868","23.65","--","8,713"
"Firearm","15 to 19","Georgia","2022","214","761,221","28.11","--","10,185"
"Firearm","15 to 19","Georgia","2021","196","747,789","26.21","--","9,307"
"Firearm","15 to 19","Georgia","2020","166","746,520","22.24","--","7,847"
"Firearm","15 to 19","Georgia","2019","138","733,527","18.81","--","6,539"
"Firearm","15 to 19","Georgia","2018","116","727,383","15.95","--","5,500"
"Firearm","15 to 19","Hawaii","2023","--","77,928","--","--","--"
"Firearm","15 to 19","Hawaii","2022","--","77,577","--","--","--"
"Firearm","15 to 19","Hawaii","2021","--","77,749","--","--","--"
"Firearm","15 to 19","Hawaii","2019","--","75,716","--","--","--"
"Firearm","15 to 19","Hawaii","2018","--","76,069","--","--","--"
"Firearm","15 to 19","Idaho","2023","23","150,978","15.23","--","1,115"
"Firearm","15 to 19","Idaho","2022","16**","148,046","10.81**","--","760"
"Firearm","15 to 19","Idaho","2021","14**","145,350","9.63**","--","664"
"Firearm","15 to 19","Idaho","2020","21","141,176","14.88","--","1,003"
"Firearm","15 to 19","Idaho","2019","11**","125,338","8.78**","--","518"
"Firearm","15 to 19","Idaho","2018","16**","123,285","12.98**","--","768"
"Firearm","15 to 19","Illinois","2023","185","831,508","22.25","--","8,811"
"Firearm","15 to 19","Illinois","2022","180","831,743","21.64","--","8,561"
"Firearm","15 to 19","Illinois","2021","210","837,508","25.07","--","9,977"
"Firearm","15 to 19","Illinois","2020","168","841,466","19.97","--","7,983"
"Firearm","15 to 19","Illinois","2019","148","823,417","17.97","--","7,036"
"Firearm","15 to 19","Illinois","2018","123","828,384","14.85","--","5,852"
"Firearm","15 to 19","Indiana","2023","103","473,594","21.75","--","4,904"
"Firearm","15 to 19","Indiana","2022","93","468,962","19.83","--","4,411"
"Firearm","15 to 19","Indiana","2021","109","466,720","23.35","--","5,162"
"Firearm","15 to 19","Indiana","2020","127","464,354","27.35","--","5,999"
"Firearm","15 to 19","Indiana","2019","82","457,046","17.94","--","3,892"
"Firearm","15 to 19","Indiana","2018","84","457,165","18.37","--","3,968"
"Firearm","15 to 19","Iowa","2023","23","226,641","10.15","--","1,107"
"Firearm","15 to 19","Iowa","2022","22","223,937","9.82","--","1,045"
"Firearm","15 to 19","Iowa","2021","28","222,385","12.59","--","1,332"
"Firearm","15 to 19","Iowa","2020","28","219,901","12.73","--","1,338"
"Firearm","15 to 19","Iowa","2019","20**","212,919","9.39**","--","955"
"Firearm","15 to 19","Iowa","2018","19**","212,460","8.94**","--","900"
"Firearm","15 to 19","Kansas","2023","37","210,573","17.57","--","1,761"
"Firearm","15 to 19","Kansas","2022","30","208,946","14.36","--","1,435"
"Firearm","15 to 19","Kansas","2021","49","207,988","23.56","--","2,339"
"Firearm","15 to 19","Kansas","2020","56","206,861","27.07","--","2,644"
"Firearm","15 to 19","Kansas","2019","36","200,561","17.95","--","1,715"
"Firearm","15 to 19","Kansas","2018","30","200,993","14.93","--","1,429"
"Firearm","15 to 19","Kentucky","2023","61","294,384","20.72","--","2,906"
"Firearm","15 to 19","Kentucky","2022","52","291,045","17.87","--","2,461"
"Firearm","15 to 19","Kentucky","2021","69","288,899","23.88","--","3,278"
"Firearm","15 to 19","Kentucky","2020","74","290,410","25.48","--","3,515"
"Firearm","15 to 19","Kentucky","2019","48","286,587","16.75","--","2,284"
"Firearm","15 to 19","Kentucky","2018","45","286,685","15.70","--","2,133"
"Firearm","15 to 19","Louisiana","2023","147","307,295","47.84","--","6,991"
"Firearm","15 to 19","Louisiana","2022","129","303,906","42.45","--","6,142"
"Firearm","15 to 19","Louisiana","2021","159","303,050","52.47","--","7,550"
"Firearm","15 to 19","Louisiana","2020","121","303,050","39.93","--","5,722"
"Firearm","15 to 19","Louisiana","2019","86","294,649","29.19","--","4,087"
"Firearm","15 to 19","Louisiana","2018","74","296,684","24.94","--","3,516"
"Firearm","15 to 19","Maine","2023","--","81,175","--","--","--"
"Firearm","15 to 19","Maine","2022","--","81,000","--","--","--"
"Firearm","15 to 19","Maine","2021","--","79,845","--","--","--"
"Firearm","15 to 19","Maine","2020","--","78,758","--","--","--"
"Firearm","15 to 19","Maine","2019","--","77,465","--","--","--"
"Firearm","15 to 19","Maine","2018","--","78,110","--","--","--"
"Firearm","15 to 19","Maryland","2023","80","398,626","20.07","--","3,800"
"Firearm","15 to 19","Maryland","2022","74","392,978","18.83","--","3,511"
"Firearm","15 to 19","Maryland","2021","67","391,294","17.12","--","3,188"
"Firearm","15 to 19","Maryland","2020","63","389,957","16.16","--","2,964"
"Firearm","15 to 19","Maryland","2019","56","380,590","14.71","--","2,643"
"Firearm","15 to 19","Maryland","2018","56","381,315","14.69","--","2,652"
"Firearm","15 to 19","Massachusetts","2023","18**","452,152","3.98**","--","849"
"Firearm","15 to 19","Massachusetts","2022","19**","452,262","4.20**","--","906"
"Firearm","15 to 19","Massachusetts","2021","10**","456,130","2.19**","--","476"
"Firearm","15 to 19","Massachusetts","2020","21","449,621","4.67","--","997"
"Firearm","15 to 19","Massachusetts","2019","14**","451,206","3.10**","--","656"
"Firearm","15 to 19","Massachusetts","2018","13**","453,425","2.87**","--","616"
"Firearm","15 to 19","Michigan","2023","107","647,110","16.54","--","5,086"
"Firearm","15 to 19","Michigan","2022","96","645,047","14.88","--","4,551"
"Firearm","15 to 19","Michigan","2021","96","639,054","15.02","--","4,554"
"Firearm","15 to 19","Michigan","2020","91","656,937","13.85","--","4,306"
"Firearm","15 to 19","Michigan","2019","66","644,542","10.24","--","3,145"
"Firearm","15 to 19","Michigan","2018","74","652,633","11.34","--","3,501"
"Firearm","15 to 19","Minnesota","2023","23","384,467","5.98","--","1,108"
"Firearm","15 to 19","Minnesota","2022","31","376,789","8.23","--","1,486"
"Firearm","15 to 19","Minnesota","2021","32","376,357","8.50","--","1,517"
"Firearm","15 to 19","Minnesota","2020","39","372,740","10.46","--","1,855"
"Firearm","15 to 19","Minnesota","2019","28","361,036","7.76","--","1,328"
"Firearm","15 to 19","Minnesota","2018","40","357,623","11.19","--","1,899"
"Firearm","15 to 19","Mississippi","2023","87","212,430","40.96","--","4,154"
"Firearm","15 to 19","Mississippi","2022","85","209,121","40.65","--","4,041"
"Firearm","15 to 19","Mississippi","2021","77","206,546","37.28","--","3,660"
"Firearm","15 to 19","Mississippi","2020","63","205,396","30.67","--","2,995"
"Firearm","15 to 19","Mississippi","2019","48","201,644","23.80","--","2,284"
"Firearm","15 to 19","Mississippi","2018","59","203,095","29.05","--","2,783"
"Firearm","15 to 19","Missouri","2023","107","408,991","26.16","--","5,116"
"Firearm","15 to 19","Missouri","2022","130","404,635","32.13","--","6,151"
"Firearm","15 to 19","Missouri","2021","110","402,091","27.36","--","5,228"
"Firearm","15 to 19","Missouri","2020","100","398,788","25.08","--","4,749"
"Firearm","15 to 19","Missouri","2019","92","390,341","23.57","--","4,371"
"Firearm","15 to 19","Missouri","2018","95","391,346","24.28","--","4,539"
"Firearm","15 to 19","Montana","2023","11**","70,607","15.58**","--","527"
"Firearm","15 to 19","Montana","2022","24","69,311","34.63","--","1,134"
"Firearm","15 to 19","Montana","2021","22","67,855","32.42","--","1,045"
"Firearm","15 to 19","Montana","2020","11**","66,216","16.61**","--","529"
"Firearm","15 to 19","Montana","2019","15**","64,205","23.36**","--","723"
"Firearm","15 to 19","Montana","2018","--","63,864","--","--","--"
"Firearm","15 to 19","Nebraska","2023","19**","141,156","13.46**","--","903"
"Firearm","15 to 19","Nebraska","2022","22","138,980","15.83","--","1,036"
"Firearm","15 to 19","Nebraska","2021","16**","137,076","11.67**","--","765"
"Firearm","15 to 19","Nebraska","2020","14**","136,811","10.23**","--","673"
"Firearm","15 to 19","Nebraska","2019","11**","132,354","8.31**","--","520"
"Firearm","15 to 19","Nebraska","2018","10**","131,374","7.61**","--","469"
"Firearm","15 to 19","Nevada","2023","40","195,757","20.43","--","1,903"
"Firearm","15 to 19","Nevada","2022","34","193,015","17.62","--","1,604"
"Firearm","15 to 19","Nevada","2021","34","189,329","17.96","--","1,616"
"Firearm","15 to 19","Nevada","2020","40","186,708","21.42","--","1,904"
"Firearm","15 to 19","Nevada","2019","26","183,294","14.19","--","1,222"
"Firearm","15 to 19","Nevada","2018","34","181,004","18.78","--","1,613"
"Firearm","15 to 19","New Hampshire","2023","--","83,141","--","--","--"
"Firearm","15 to 19","New Hampshire","2022","--","83,953","--","--","--"
"Firearm","15 to 19","New Hampshire","2021","--","83,013","--","--","--"
"Firearm","15 to 19","New Hampshire","2020","--","85,792","--","--","--"
"Firearm","15 to 19","New Hampshire","2019","--","84,052","--","--","--"
"Firearm","15 to 19","New Hampshire","2018","--","84,782","--","--","--"
"Firearm","15 to 19","New Jersey","2023","30","585,843","5.12","--","1,422"
"Firearm","15 to 19","New Jersey","2022","35","582,810","6.01","--","1,659"
"Firearm","15 to 19","New Jersey","2021","39","583,102","6.69","--","1,853"
"Firearm","15 to 19","New Jersey","2020","28","586,181","4.78","--","1,324"
"Firearm","15 to 19","New Jersey","2019","34","552,643","6.15","--","1,610"
"Firearm","15 to 19","New Jersey","2018","25","555,479","4.50","--","1,185"
"Firearm","15 to 19","New Mexico","2023","59","144,463","40.84","--","2,804"
"Firearm","15 to 19","New Mexico","2022","43","143,367","29.99","--","2,056"
"Firearm","15 to 19","New Mexico","2021","37","142,352","25.99","--","1,756"
"Firearm","15 to 19","New Mexico","2020","32","141,934","22.55","--","1,522"
"Firearm","15 to 19","New Mexico","2019","31","139,182","22.27","--","1,473"
"Firearm","15 to 19","New Mexico","2018","30","139,337","21.53","--","1,429"
"Firearm","15 to 19","New York","2023","64","1,198,301","5.34","--","3,054"
"Firearm","15 to 19","New York","2022","81","1,204,897","6.72","--","3,837"
"Firearm","15 to 19","New York","2021","84","1,219,259","6.89","--","4,007"
"Firearm","15 to 19","New York","2020","74","1,217,618","6.08","--","3,487"
"Firearm","15 to 19","New York","2019","43","1,173,331","3.67","--","2,052"
"Firearm","15 to 19","New York","2018","55","1,187,736","4.63","--","2,610"
"Firearm","15 to 19","North Carolina","2023","148","723,674","20.45","--","7,012"
"Firearm","15 to 19","North Carolina","2022","161","713,354","22.57","--","7,654"
"Firearm","15 to 19","North Carolina","2021","176","706,870","24.90","--","8,364"
"Firearm","15 to 19","North Carolina","2020","133","691,439","19.24","--","6,329"
"Firearm","15 to 19","North Carolina","2019","89","690,253","12.89","--","4,207"
"Firearm","15 to 19","North Carolina","2018","92","687,067","13.39","--","4,365"
"Firearm","15 to 19","North Dakota","2023","10**","55,743","17.94**","--","479"
"Firearm","15 to 19","North Dakota","2022","--","54,461","--","--","--"
"Firearm","15 to 19","North Dakota","2021","--","53,091","--","--","--"
"Firearm","15 to 19","North Dakota","2020","--","50,578","--","--","--"
"Firearm","15 to 19","North Dakota","2019","--","47,494","--","--","--"
"Firearm","15 to 19","North Dakota","2018","--","47,352","--","--","--"
"Firearm","15 to 19","Ohio","2023","134","768,073","17.45","--","6,412"
"Firearm","15 to 19","Ohio","2022","155","760,432","20.38","--","7,360"
"Firearm","15 to 19","Ohio","2021","162","751,645","21.55","--","7,668"
"Firearm","15 to 19","Ohio","2020","136","767,640","17.72","--","6,451"
"Firearm","15 to 19","Ohio","2019","114","756,422","15.07","--","5,397"
"Firearm","15 to 19","Ohio","2018","112","760,648","14.72","--","5,314"
"Firearm","15 to 19","Oklahoma","2023","56","285,539","19.61","--","2,680"
"Firearm","15 to 19","Oklahoma","2022","51","279,940","18.22","--","2,427"
"Firearm","15 to 19","Oklahoma","2021","51","276,070","18.47","--","2,437"
"Firearm","15 to 19","Oklahoma","2020","57","272,421","20.92","--","2,709"
"Firearm","15 to 19","Oklahoma","2019","47","264,552","17.77","--","2,229"
"Firearm","15 to 19","Oklahoma","2018","40","263,774","15.16","--","1,921"
"Firearm","15 to 19","Oregon","2023","35","255,011","13.73","--","1,645"
"Firearm","15 to 19","Oregon","2022","30","253,129","11.85","--","1,422"
