"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Missouri","29","Vaginal","1",50895
,"Missouri","29","Cesarean","2",21920
,"Missouri","29","Unknown or Not Stated","9",219
,"Montana","30","Vaginal","1",8416
,"Montana","30","Cesarean","2",3357
,"Montana","30","Unknown or Not Stated","9",26
,"Nebraska","31","Vaginal","1",17969
,"Nebraska","31","Cesarean","2",7852
,"Nebraska","31","Unknown or Not Stated","9",0
,"Nevada","32","Vaginal","1",23549
,"Nevada","32","Cesarean","2",12207
,"Nevada","32","Unknown or Not Stated","9",0
,"New Hampshire","33","Vaginal","1",8356
,"New Hampshire","33","Cesarean","2",3758
,"New Hampshire","33","Unknown or Not Stated","9",Suppressed
,"New Jersey","34","Vaginal","1",64839
,"New Jersey","34","Cesarean","2",36371
,"New Jersey","34","Unknown or Not Stated","9",40
,"New Mexico","35","Vaginal","1",17899
,"New Mexico","35","Cesarean","2",5867
,"New Mexico","35","Unknown or Not Stated","9",Suppressed
,"New York","36","Vaginal","1",151118
,"New York","36","Cesarean","2",78082
,"New York","36","Unknown or Not Stated","9",537
,"North Carolina","37","Vaginal","1",84828
,"North Carolina","37","Cesarean","2",35271
,"North Carolina","37","Unknown or Not Stated","9",26
,"North Dakota","38","Vaginal","1",7698
,"North Dakota","38","Cesarean","2",3039
,"North Dakota","38","Unknown or Not Stated","9",0
,"Ohio","39","Vaginal","1",95397
,"Ohio","39","Cesarean","2",41376
,"Ohio","39","Unknown or Not Stated","9",59
,"Oklahoma","40","Vaginal","1",34058
,"Oklahoma","40","Cesarean","2",16156
,"Oklahoma","40","Unknown or Not Stated","9",0
,"Oregon","41","Vaginal","1",31373
,"Oregon","41","Cesarean","2",12258
,"Oregon","41","Unknown or Not Stated","9",0
,"Pennsylvania","42","Vaginal","1",95657
,"Pennsylvania","42","Cesarean","2",42051
,"Pennsylvania","42","Unknown or Not Stated","9",37
,"Rhode Island","44","Vaginal","1",7281
,"Rhode Island","44","Cesarean","2",3354
,"Rhode Island","44","Unknown or Not Stated","9",Suppressed
,"South Carolina","45","Vaginal","1",37890
,"South Carolina","45","Cesarean","2",19130
,"South Carolina","45","Unknown or Not Stated","9",Suppressed
,"South Dakota","46","Vaginal","1",9160
,"South Dakota","46","Cesarean","2",2974
,"South Dakota","46","Unknown or Not Stated","9",0
,"Tennessee","47","Vaginal","1",54791
,"Tennessee","47","Cesarean","2",26218
,"Tennessee","47","Unknown or Not Stated","9",Suppressed
,"Texas","48","Vaginal","1",248208
,"Texas","48","Cesarean","2",133566
,"Texas","48","Unknown or Not Stated","9",276
,"Utah","49","Vaginal","1",37514
,"Utah","49","Cesarean","2",11071
,"Utah","49","Unknown or Not Stated","9",0
,"Vermont","50","Vaginal","1",4199
,"Vermont","50","Cesarean","2",1456
,"Vermont","50","Unknown or Not Stated","9",0
,"Virginia","51","Vaginal","1",67708
,"Virginia","51","Cesarean","2",32682
,"Virginia","51","Unknown or Not Stated","9",Suppressed
,"Washington","53","Vaginal","1",63216
,"Washington","53","Cesarean","2",24190
,"Washington","53","Unknown or Not Stated","9",156
,"West Virginia","54","Vaginal","1",12092
,"West Virginia","54","Cesarean","2",6582
,"West Virginia","54","Unknown or Not Stated","9",Suppressed
,"Wisconsin","55","Vaginal","1",47812
,"Wisconsin","55","Cesarean","2",17129
,"Wisconsin","55","Unknown or Not Stated","9",34
,"Wyoming","56","Vaginal","1",5083
,"Wyoming","56","Cesarean","2",1820
,"Wyoming","56","Unknown or Not Stated","9",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2017"
"Group By: State of Residence; Delivery Method"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:19:02 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:19:02 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
