"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Newport News city, VA","51700","Not Reported","NR",0
,"Norfolk city, VA","51710","American Indian or Alaska Native","1002-5",18
,"Norfolk city, VA","51710","Asian","A",118
,"Norfolk city, VA","51710","Black or African American","2054-5",1583
,"Norfolk city, VA","51710","Native Hawaiian or Other Pacific Islander","NHOPI",29
,"Norfolk city, VA","51710","White","2106-3",1554
,"Norfolk city, VA","51710","More than one race","M",108
,"Norfolk city, VA","51710","Unknown or Not Stated","UNK",0
,"Norfolk city, VA","51710","Not Available","NA",0
,"Norfolk city, VA","51710","Not Reported","NR",0
,"Richmond city, VA","51760","American Indian or Alaska Native","1002-5",Suppressed
,"Richmond city, VA","51760","Asian","A",63
,"Richmond city, VA","51760","Black or African American","2054-5",1659
,"Richmond city, VA","51760","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Richmond city, VA","51760","White","2106-3",1271
,"Richmond city, VA","51760","More than one race","M",34
,"Richmond city, VA","51760","Unknown or Not Stated","UNK",0
,"Richmond city, VA","51760","Not Available","NA",0
,"Richmond city, VA","51760","Not Reported","NR",0
,"Virginia Beach city, VA","51810","American Indian or Alaska Native","1002-5",26
,"Virginia Beach city, VA","51810","Asian","A",386
,"Virginia Beach city, VA","51810","Black or African American","2054-5",1287
,"Virginia Beach city, VA","51810","Native Hawaiian or Other Pacific Islander","NHOPI",21
,"Virginia Beach city, VA","51810","White","2106-3",3796
,"Virginia Beach city, VA","51810","More than one race","M",194
,"Virginia Beach city, VA","51810","Unknown or Not Stated","UNK",0
,"Virginia Beach city, VA","51810","Not Available","NA",0
,"Virginia Beach city, VA","51810","Not Reported","NR",0
,"Unidentified Counties, VA","51999","American Indian or Alaska Native","1002-5",64
,"Unidentified Counties, VA","51999","Asian","A",1032
,"Unidentified Counties, VA","51999","Black or African American","2054-5",7511
,"Unidentified Counties, VA","51999","Native Hawaiian or Other Pacific Islander","NHOPI",64
,"Unidentified Counties, VA","51999","White","2106-3",29201
,"Unidentified Counties, VA","51999","More than one race","M",423
,"Unidentified Counties, VA","51999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, VA","51999","Not Available","NA",0
,"Unidentified Counties, VA","51999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Virginia (51)"
"Year: 2017"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 11:18:01 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 11:18:01 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
