"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alachua County, FL","12001","Female","F",1392
,"Alachua County, FL","12001","Male","M",1432
,"Bay County, FL","12005","Female","F",1100
,"Bay County, FL","12005","Male","M",1215
,"Brevard County, FL","12009","Female","F",2603
,"Brevard County, FL","12009","Male","M",2598
,"Broward County, FL","12011","Female","F",11047
,"Broward County, FL","12011","Male","M",11275
,"Charlotte County, FL","12015","Female","F",531
,"Charlotte County, FL","12015","Male","M",529
,"Citrus County, FL","12017","Female","F",510
,"Citrus County, FL","12017","Male","M",598
,"Clay County, FL","12019","Female","F",1073
,"Clay County, FL","12019","Male","M",1124
,"Collier County, FL","12021","Female","F",1540
,"Collier County, FL","12021","Male","M",1642
,"Duval County, FL","12031","Female","F",6505
,"Duval County, FL","12031","Male","M",6677
,"Escambia County, FL","12033","Female","F",1933
,"Escambia County, FL","12033","Male","M",2021
,"Hernando County, FL","12053","Female","F",730
,"Hernando County, FL","12053","Male","M",822
,"Hillsborough County, FL","12057","Female","F",8594
,"Hillsborough County, FL","12057","Male","M",8822
,"Indian River County, FL","12061","Female","F",575
,"Indian River County, FL","12061","Male","M",702
,"Lake County, FL","12069","Female","F",1561
,"Lake County, FL","12069","Male","M",1704
,"Lee County, FL","12071","Female","F",3251
,"Lee County, FL","12071","Male","M",3430
,"Leon County, FL","12073","Female","F",1525
,"Leon County, FL","12073","Male","M",1607
,"Manatee County, FL","12081","Female","F",1693
,"Manatee County, FL","12081","Male","M",1783
,"Marion County, FL","12083","Female","F",1739
,"Marion County, FL","12083","Male","M",1757
,"Martin County, FL","12085","Female","F",598
,"Martin County, FL","12085","Male","M",673
,"Miami-Dade County, FL","12086","Female","F",15475
,"Miami-Dade County, FL","12086","Male","M",16343
,"Okaloosa County, FL","12091","Female","F",1317
,"Okaloosa County, FL","12091","Male","M",1365
,"Orange County, FL","12095","Female","F",8170
,"Orange County, FL","12095","Male","M",8720
,"Osceola County, FL","12097","Female","F",2140
,"Osceola County, FL","12097","Male","M",2246
,"Palm Beach County, FL","12099","Female","F",7395
,"Palm Beach County, FL","12099","Male","M",7655
,"Pasco County, FL","12101","Female","F",2609
,"Pasco County, FL","12101","Male","M",2531
,"Pinellas County, FL","12103","Female","F",3991
,"Pinellas County, FL","12103","Male","M",4239
,"Polk County, FL","12105","Female","F",3830
,"Polk County, FL","12105","Male","M",4019
,"St. Johns County, FL","12109","Female","F",1050
,"St. Johns County, FL","12109","Male","M",1085
,"St. Lucie County, FL","12111","Female","F",1522
,"St. Lucie County, FL","12111","Male","M",1497
,"Santa Rosa County, FL","12113","Female","F",913
,"Santa Rosa County, FL","12113","Male","M",1011
,"Sarasota County, FL","12115","Female","F",1365
,"Sarasota County, FL","12115","Male","M",1459
,"Seminole County, FL","12117","Female","F",2352
,"Seminole County, FL","12117","Male","M",2422
,"Volusia County, FL","12127","Female","F",2440
,"Volusia County, FL","12127","Male","M",2546
,"Unidentified Counties, FL","12999","Female","F",6324
,"Unidentified Counties, FL","12999","Male","M",6688
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Florida (12)"
"Year: 2017"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 9:42:20 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 9:42:20 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
