"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",4546
,"Alabama","01","Not Hispanic or Latino","2186-5",54371
,"Alabama","01","Unknown or Not Stated","9",24
,"Alaska","02","Hispanic or Latino","2135-2",799
,"Alaska","02","Not Hispanic or Latino","2186-5",9516
,"Alaska","02","Unknown or Not Stated","9",130
,"Arizona","04","Hispanic or Latino","2135-2",34377
,"Arizona","04","Not Hispanic or Latino","2186-5",47017
,"Arizona","04","Unknown or Not Stated","9",478
,"Arkansas","05","Hispanic or Latino","2135-2",4048
,"Arkansas","05","Not Hispanic or Latino","2186-5",33319
,"Arkansas","05","Unknown or Not Stated","9",153
,"California","06","Hispanic or Latino","2135-2",220122
,"California","06","Not Hispanic or Latino","2186-5",237935
,"California","06","Unknown or Not Stated","9",13601
,"Colorado","08","Hispanic or Latino","2135-2",18125
,"Colorado","08","Not Hispanic or Latino","2186-5",45291
,"Colorado","08","Unknown or Not Stated","9",966
,"Connecticut","09","Hispanic or Latino","2135-2",8833
,"Connecticut","09","Not Hispanic or Latino","2186-5",26348
,"Connecticut","09","Unknown or Not Stated","9",40
,"Delaware","10","Hispanic or Latino","2135-2",1748
,"Delaware","10","Not Hispanic or Latino","2186-5",9093
,"Delaware","10","Unknown or Not Stated","9",14
,"District of Columbia","11","Hispanic or Latino","2135-2",1336
,"District of Columbia","11","Not Hispanic or Latino","2186-5",8218
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Hispanic or Latino","2135-2",67049
,"Florida","12","Not Hispanic or Latino","2186-5",155964
,"Florida","12","Unknown or Not Stated","9",617
,"Georgia","13","Hispanic or Latino","2135-2",17954
,"Georgia","13","Not Hispanic or Latino","2186-5",110069
,"Georgia","13","Unknown or Not Stated","9",1220
,"Hawaii","15","Hispanic or Latino","2135-2",2672
,"Hawaii","15","Not Hispanic or Latino","2186-5",14793
,"Hawaii","15","Unknown or Not Stated","9",52
,"Idaho","16","Hispanic or Latino","2135-2",3598
,"Idaho","16","Not Hispanic or Latino","2186-5",18505
,"Idaho","16","Unknown or Not Stated","9",78
