"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Alabama","01","499 grams or less","01",108
,"Alabama","01","500 - 999 grams","02",432
,"Alabama","01","1000 - 1499 grams","03",579
,"Alabama","01","1500 - 1999 grams","04",1182
,"Alabama","01","2000 - 2499 grams","05",3737
,"Alabama","01","2500 - 2999 grams","06",12557
,"Alabama","01","3000 - 3499 grams","07",23027
,"Alabama","01","3500 - 3999 grams","08",13537
,"Alabama","01","4000 - 4499 grams","09",3227
,"Alabama","01","4500 - 4999 grams","10",483
,"Alabama","01","5000 - 8165 grams","11",33
,"Alabama","01","Unknown or Not Stated","12",39
,"Alaska","02","499 grams or less","01",12
,"Alaska","02","500 - 999 grams","02",34
,"Alaska","02","1000 - 1499 grams","03",58
,"Alaska","02","1500 - 1999 grams","04",137
,"Alaska","02","2000 - 2499 grams","05",406
,"Alaska","02","2500 - 2999 grams","06",1465
,"Alaska","02","3000 - 3499 grams","07",3688
,"Alaska","02","3500 - 3999 grams","08",3293
,"Alaska","02","4000 - 4499 grams","09",1160
,"Alaska","02","4500 - 4999 grams","10",173
,"Alaska","02","5000 - 8165 grams","11",18
,"Alaska","02","Unknown or Not Stated","12",Suppressed
,"Arizona","04","499 grams or less","01",102
,"Arizona","04","500 - 999 grams","02",354
,"Arizona","04","1000 - 1499 grams","03",496
,"Arizona","04","1500 - 1999 grams","04",1108
,"Arizona","04","2000 - 2499 grams","05",4059
,"Arizona","04","2500 - 2999 grams","06",14881
,"Arizona","04","3000 - 3499 grams","07",32338
,"Arizona","04","3500 - 3999 grams","08",22161
,"Arizona","04","4000 - 4499 grams","09",5445
,"Arizona","04","4500 - 4999 grams","10",770
,"Arizona","04","5000 - 8165 grams","11",104
,"Arizona","04","Unknown or Not Stated","12",54
,"Arkansas","05","499 grams or less","01",47
,"Arkansas","05","500 - 999 grams","02",228
,"Arkansas","05","1000 - 1499 grams","03",323
,"Arkansas","05","1500 - 1999 grams","04",658
,"Arkansas","05","2000 - 2499 grams","05",2221
,"Arkansas","05","2500 - 2999 grams","06",7463
,"Arkansas","05","3000 - 3499 grams","07",14654
,"Arkansas","05","3500 - 3999 grams","08",9286
,"Arkansas","05","4000 - 4499 grams","09",2230
,"Arkansas","05","4500 - 4999 grams","10",346
,"Arkansas","05","5000 - 8165 grams","11",42
,"Arkansas","05","Unknown or Not Stated","12",22
,"California","06","499 grams or less","01",419
,"California","06","500 - 999 grams","02",1899
,"California","06","1000 - 1499 grams","03",2873
,"California","06","1500 - 1999 grams","04",6226
,"California","06","2000 - 2499 grams","05",21034
,"California","06","2500 - 2999 grams","06",85897
,"California","06","3000 - 3499 grams","07",187952
,"California","06","3500 - 3999 grams","08",127576
,"California","06","4000 - 4499 grams","09",32400
,"California","06","4500 - 4999 grams","10",4658
,"California","06","5000 - 8165 grams","11",612
,"California","06","Unknown or Not Stated","12",112
,"Colorado","08","499 grams or less","01",64
,"Colorado","08","500 - 999 grams","02",293
,"Colorado","08","1000 - 1499 grams","03",422
,"Colorado","08","1500 - 1999 grams","04",1103
,"Colorado","08","2000 - 2499 grams","05",3966
,"Colorado","08","2500 - 2999 grams","06",14102
,"Colorado","08","3000 - 3499 grams","07",26468
,"Colorado","08","3500 - 3999 grams","08",14766
,"Colorado","08","4000 - 4499 grams","09",2823
,"Colorado","08","4500 - 4999 grams","10",313
,"Colorado","08","5000 - 8165 grams","11",30
,"Colorado","08","Unknown or Not Stated","12",32
,"Connecticut","09","499 grams or less","01",47
,"Connecticut","09","500 - 999 grams","02",185
,"Connecticut","09","1000 - 1499 grams","03",281
,"Connecticut","09","1500 - 1999 grams","04",567
,"Connecticut","09","2000 - 2499 grams","05",1765
,"Connecticut","09","2500 - 2999 grams","06",6229
,"Connecticut","09","3000 - 3499 grams","07",13479
,"Connecticut","09","3500 - 3999 grams","08",9686
,"Connecticut","09","4000 - 4499 grams","09",2585
,"Connecticut","09","4500 - 4999 grams","10",357
,"Connecticut","09","5000 - 8165 grams","11",28
,"Connecticut","09","Unknown or Not Stated","12",12
,"Delaware","10","499 grams or less","01",24
,"Delaware","10","500 - 999 grams","02",57
,"Delaware","10","1000 - 1499 grams","03",88
,"Delaware","10","1500 - 1999 grams","04",162
,"Delaware","10","2000 - 2499 grams","05",650
,"Delaware","10","2500 - 2999 grams","06",2049
,"Delaware","10","3000 - 3499 grams","07",4009
,"Delaware","10","3500 - 3999 grams","08",2885
,"Delaware","10","4000 - 4499 grams","09",813
,"Delaware","10","4500 - 4999 grams","10",105
,"Delaware","10","5000 - 8165 grams","11",11
,"Delaware","10","Unknown or Not Stated","12",Suppressed
,"District of Columbia","11","499 grams or less","01",21
,"District of Columbia","11","500 - 999 grams","02",84
,"District of Columbia","11","1000 - 1499 grams","03",101
,"District of Columbia","11","1500 - 1999 grams","04",228
,"District of Columbia","11","2000 - 2499 grams","05",567
,"District of Columbia","11","2500 - 2999 grams","06",1943
,"District of Columbia","11","3000 - 3499 grams","07",3571
,"District of Columbia","11","3500 - 3999 grams","08",2366
,"District of Columbia","11","4000 - 4499 grams","09",593
,"District of Columbia","11","4500 - 4999 grams","10",77
,"District of Columbia","11","5000 - 8165 grams","11",Suppressed
,"District of Columbia","11","Unknown or Not Stated","12",Suppressed
,"Florida","12","499 grams or less","01",359
,"Florida","12","500 - 999 grams","02",1265
,"Florida","12","1000 - 1499 grams","03",1809
,"Florida","12","1500 - 1999 grams","04",3853
,"Florida","12","2000 - 2499 grams","05",12367
,"Florida","12","2500 - 2999 grams","06",44132
,"Florida","12","3000 - 3499 grams","07",88450
,"Florida","12","3500 - 3999 grams","08",56109
,"Florida","12","4000 - 4499 grams","09",13209
,"Florida","12","4500 - 4999 grams","10",1813
,"Florida","12","5000 - 8165 grams","11",195
,"Florida","12","Unknown or Not Stated","12",69
,"Georgia","13","499 grams or less","01",241
,"Georgia","13","500 - 999 grams","02",911
,"Georgia","13","1000 - 1499 grams","03",1167
,"Georgia","13","1500 - 1999 grams","04",2416
,"Georgia","13","2000 - 2499 grams","05",8037
,"Georgia","13","2500 - 2999 grams","06",27142
,"Georgia","13","3000 - 3499 grams","07",49786
,"Georgia","13","3500 - 3999 grams","08",30773
,"Georgia","13","4000 - 4499 grams","09",7451
,"Georgia","13","4500 - 4999 grams","10",1032
,"Georgia","13","5000 - 8165 grams","11",116
,"Georgia","13","Unknown or Not Stated","12",171
,"Hawaii","15","499 grams or less","01",25
,"Hawaii","15","500 - 999 grams","02",79
,"Hawaii","15","1000 - 1499 grams","03",120
,"Hawaii","15","1500 - 1999 grams","04",303
,"Hawaii","15","2000 - 2499 grams","05",964
,"Hawaii","15","2500 - 2999 grams","06",3750
,"Hawaii","15","3000 - 3499 grams","07",6777
,"Hawaii","15","3500 - 3999 grams","08",4255
,"Hawaii","15","4000 - 4499 grams","09",1055
,"Hawaii","15","4500 - 4999 grams","10",156
,"Hawaii","15","5000 - 8165 grams","11",24
,"Hawaii","15","Unknown or Not Stated","12",Suppressed
,"Idaho","16","499 grams or less","01",22
,"Idaho","16","500 - 999 grams","02",85
,"Idaho","16","1000 - 1499 grams","03",124
,"Idaho","16","1500 - 1999 grams","04",290
,"Idaho","16","2000 - 2499 grams","05",1024
,"Idaho","16","2500 - 2999 grams","06",3803
,"Idaho","16","3000 - 3499 grams","07",8685
,"Idaho","16","3500 - 3999 grams","08",6281
,"Idaho","16","4000 - 4499 grams","09",1628
,"Idaho","16","4500 - 4999 grams","10",202
,"Idaho","16","5000 - 8165 grams","11",25
,"Idaho","16","Unknown or Not Stated","12",12
