"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",5643
,"Alabama","01","No","2",53097
,"Alabama","01","Unknown or Not Stated","9",201
,"Alaska","02","Yes","1",1091
,"Alaska","02","No","2",9130
,"Alaska","02","Unknown or Not Stated","9",224
,"Arizona","04","Yes","1",3910
,"Arizona","04","No","2",77774
,"Arizona","04","Unknown or Not Stated","9",188
,"Arkansas","05","Yes","1",5042
,"Arkansas","05","No","2",31682
,"Arkansas","05","Unknown or Not Stated","9",796
,"California","06","Yes","1",6753
,"California","06","No","2",462330
,"California","06","Unknown or Not Stated","9",2575
,"Colorado","08","Yes","1",3940
,"Colorado","08","No","2",60253
,"Colorado","08","Unknown or Not Stated","9",189
,"Connecticut","09","Yes","1",1595
,"Connecticut","09","No","2",33583
,"Connecticut","09","Unknown or Not Stated","9",43
,"Delaware","10","Yes","1",986
,"Delaware","10","No","2",9862
,"Delaware","10","Unknown or Not Stated","9",Suppressed
,"District of Columbia","11","Yes","1",252
,"District of Columbia","11","No","2",9249
,"District of Columbia","11","Unknown or Not Stated","9",59
,"Florida","12","Yes","1",10639
,"Florida","12","No","2",211286
,"Florida","12","Unknown or Not Stated","9",1705
,"Georgia","13","Yes","1",6172
,"Georgia","13","No","2",122807
,"Georgia","13","Unknown or Not Stated","9",264
,"Hawaii","15","Yes","1",682
,"Hawaii","15","No","2",16563
,"Hawaii","15","Unknown or Not Stated","9",272
,"Idaho","16","Yes","1",1937
,"Idaho","16","No","2",20195
,"Idaho","16","Unknown or Not Stated","9",49
,"Illinois","17","Yes","1",9466
,"Illinois","17","No","2",139415
,"Illinois","17","Unknown or Not Stated","9",509
,"Indiana","18","Yes","1",11098
,"Indiana","18","No","2",71034
,"Indiana","18","Unknown or Not Stated","9",38
,"Iowa","19","Yes","1",4761
,"Iowa","19","No","2",33658
,"Iowa","19","Unknown or Not Stated","9",11
,"Kansas","20","Yes","1",3683
,"Kansas","20","No","2",32751
,"Kansas","20","Unknown or Not Stated","9",85
,"Kentucky","21","Yes","1",9737
,"Kentucky","21","No","2",44576
,"Kentucky","21","Unknown or Not Stated","9",439
,"Louisiana","22","Yes","1",3927
,"Louisiana","22","No","2",56581
,"Louisiana","22","Unknown or Not Stated","9",510
,"Maine","23","Yes","1",1614
,"Maine","23","No","2",10677
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Yes","1",3932
,"Maryland","24","No","2",67392
,"Maryland","24","Unknown or Not Stated","9",317
,"Massachusetts","25","Yes","1",3354
,"Massachusetts","25","No","2",67324
,"Massachusetts","25","Unknown or Not Stated","9",24
,"Michigan","26","Yes","1",12453
,"Michigan","26","No","2",98039
,"Michigan","26","Unknown or Not Stated","9",934
,"Minnesota","27","Yes","1",5548
,"Minnesota","27","No","2",62583
,"Minnesota","27","Unknown or Not Stated","9",464
,"Mississippi","28","Yes","1",3326
,"Mississippi","28","No","2",33967
,"Mississippi","28","Unknown or Not Stated","9",64
,"Missouri","29","Yes","1",10457
,"Missouri","29","No","2",61859
,"Missouri","29","Unknown or Not Stated","9",718
,"Montana","30","Yes","1",1761
,"Montana","30","No","2",9969
,"Montana","30","Unknown or Not Stated","9",69
,"Nebraska","31","Yes","1",2470
,"Nebraska","31","No","2",23333
,"Nebraska","31","Unknown or Not Stated","9",18
,"Nevada","32","Yes","1",1491
,"Nevada","32","No","2",33971
,"Nevada","32","Unknown or Not Stated","9",294
,"New Hampshire","33","Yes","1",1353
,"New Hampshire","33","No","2",10669
,"New Hampshire","33","Unknown or Not Stated","9",94
,"New Jersey","34","Yes","1",3690
,"New Jersey","34","No","2",97095
,"New Jersey","34","Unknown or Not Stated","9",465
,"New Mexico","35","Yes","1",1502
,"New Mexico","35","No","2",22164
,"New Mexico","35","Unknown or Not Stated","9",101
,"New York","36","Yes","1",10348
,"New York","36","No","2",219143
,"New York","36","Unknown or Not Stated","9",246
,"North Carolina","37","Yes","1",10403
,"North Carolina","37","No","2",109697
,"North Carolina","37","Unknown or Not Stated","9",25
,"North Dakota","38","Yes","1",1272
,"North Dakota","38","No","2",9377
,"North Dakota","38","Unknown or Not Stated","9",88
,"Ohio","39","Yes","1",18917
,"Ohio","39","No","2",117724
,"Ohio","39","Unknown or Not Stated","9",191
,"Oklahoma","40","Yes","1",5614
,"Oklahoma","40","No","2",44528
,"Oklahoma","40","Unknown or Not Stated","9",72
,"Oregon","41","Yes","1",3880
,"Oregon","41","No","2",39575
,"Oregon","41","Unknown or Not Stated","9",176
,"Pennsylvania","42","Yes","1",15026
,"Pennsylvania","42","No","2",120825
,"Pennsylvania","42","Unknown or Not Stated","9",1894
,"Rhode Island","44","Yes","1",625
,"Rhode Island","44","No","2",9791
,"Rhode Island","44","Unknown or Not Stated","9",222
,"South Carolina","45","Yes","1",4793
,"South Carolina","45","No","2",52181
,"South Carolina","45","Unknown or Not Stated","9",55
