"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Atlantic County, NJ","34001","Hispanic or Latino","2135-2",811
,"Atlantic County, NJ","34001","Not Hispanic or Latino","2186-5",1965
,"Atlantic County, NJ","34001","Unknown or Not Stated","9",28
,"Bergen County, NJ","34003","Hispanic or Latino","2135-2",2356
,"Bergen County, NJ","34003","Not Hispanic or Latino","2186-5",6891
,"Bergen County, NJ","34003","Unknown or Not Stated","9",92
,"Burlington County, NJ","34005","Hispanic or Latino","2135-2",500
,"Burlington County, NJ","34005","Not Hispanic or Latino","2186-5",3816
,"Burlington County, NJ","34005","Unknown or Not Stated","9",108
,"Camden County, NJ","34007","Hispanic or Latino","2135-2",1485
,"Camden County, NJ","34007","Not Hispanic or Latino","2186-5",4394
,"Camden County, NJ","34007","Unknown or Not Stated","9",143
,"Cumberland County, NJ","34011","Hispanic or Latino","2135-2",795
,"Cumberland County, NJ","34011","Not Hispanic or Latino","2186-5",1027
,"Cumberland County, NJ","34011","Unknown or Not Stated","9",17
,"Essex County, NJ","34013","Hispanic or Latino","2135-2",3043
,"Essex County, NJ","34013","Not Hispanic or Latino","2186-5",6970
,"Essex County, NJ","34013","Unknown or Not Stated","9",285
,"Gloucester County, NJ","34015","Hispanic or Latino","2135-2",258
,"Gloucester County, NJ","34015","Not Hispanic or Latino","2186-5",2594
,"Gloucester County, NJ","34015","Unknown or Not Stated","9",39
,"Hudson County, NJ","34017","Hispanic or Latino","2135-2",3672
,"Hudson County, NJ","34017","Not Hispanic or Latino","2186-5",6343
,"Hudson County, NJ","34017","Unknown or Not Stated","9",150
,"Hunterdon County, NJ","34019","Hispanic or Latino","2135-2",114
,"Hunterdon County, NJ","34019","Not Hispanic or Latino","2186-5",829
,"Hunterdon County, NJ","34019","Unknown or Not Stated","9",Suppressed
,"Mercer County, NJ","34021","Hispanic or Latino","2135-2",1183
,"Mercer County, NJ","34021","Not Hispanic or Latino","2186-5",2825
,"Mercer County, NJ","34021","Unknown or Not Stated","9",73
,"Middlesex County, NJ","34023","Hispanic or Latino","2135-2",2714
,"Middlesex County, NJ","34023","Not Hispanic or Latino","2186-5",6312
,"Middlesex County, NJ","34023","Unknown or Not Stated","9",97
,"Monmouth County, NJ","34025","Hispanic or Latino","2135-2",1056
,"Monmouth County, NJ","34025","Not Hispanic or Latino","2186-5",4593
,"Monmouth County, NJ","34025","Unknown or Not Stated","9",88
,"Morris County, NJ","34027","Hispanic or Latino","2135-2",896
,"Morris County, NJ","34027","Not Hispanic or Latino","2186-5",3637
,"Morris County, NJ","34027","Unknown or Not Stated","9",103
,"Ocean County, NJ","34029","Hispanic or Latino","2135-2",867
,"Ocean County, NJ","34029","Not Hispanic or Latino","2186-5",7680
,"Ocean County, NJ","34029","Unknown or Not Stated","9",50
,"Passaic County, NJ","34031","Hispanic or Latino","2135-2",3442
,"Passaic County, NJ","34031","Not Hispanic or Latino","2186-5",3294
,"Passaic County, NJ","34031","Unknown or Not Stated","9",54
,"Somerset County, NJ","34035","Hispanic or Latino","2135-2",709
,"Somerset County, NJ","34035","Not Hispanic or Latino","2186-5",2336
,"Somerset County, NJ","34035","Unknown or Not Stated","9",23
,"Sussex County, NJ","34037","Hispanic or Latino","2135-2",152
,"Sussex County, NJ","34037","Not Hispanic or Latino","2186-5",1037
,"Sussex County, NJ","34037","Unknown or Not Stated","9",24
,"Union County, NJ","34039","Hispanic or Latino","2135-2",2945
,"Union County, NJ","34039","Not Hispanic or Latino","2186-5",3806
,"Union County, NJ","34039","Unknown or Not Stated","9",108
,"Warren County, NJ","34041","Hispanic or Latino","2135-2",133
,"Warren County, NJ","34041","Not Hispanic or Latino","2186-5",787
,"Warren County, NJ","34041","Unknown or Not Stated","9",15
,"Unidentified Counties, NJ","34999","Hispanic or Latino","2135-2",223
,"Unidentified Counties, NJ","34999","Not Hispanic or Latino","2186-5",1244
,"Unidentified Counties, NJ","34999","Unknown or Not Stated","9",10
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Jersey (34)"
"Year: 2017"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 11:55:47 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 11:55:47 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
