"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Oklahoma","40","32 - 35 weeks","04",2417
,"Oklahoma","40","36 weeks","05",2305
,"Oklahoma","40","37 - 39 weeks","06",35000
,"Oklahoma","40","40 weeks","07",7883
,"Oklahoma","40","41 weeks","08",1610
,"Oklahoma","40","42 weeks or more","09",102
,"Oklahoma","40","Unknown or Not Stated","10",27
,"Oregon","41","Under 20 weeks","01",11
,"Oregon","41","20 - 27 weeks","02",198
,"Oregon","41","28 - 31 weeks","03",302
,"Oregon","41","32 - 35 weeks","04",1630
,"Oregon","41","36 weeks","05",1499
,"Oregon","41","37 - 39 weeks","06",24787
,"Oregon","41","40 weeks","07",10256
,"Oregon","41","41 weeks","08",4554
,"Oregon","41","42 weeks or more","09",381
,"Oregon","41","Unknown or Not Stated","10",13
,"Pennsylvania","42","Under 20 weeks","01",73
,"Pennsylvania","42","20 - 27 weeks","02",911
,"Pennsylvania","42","28 - 31 weeks","03",1315
,"Pennsylvania","42","32 - 35 weeks","04",5759
,"Pennsylvania","42","36 weeks","05",4911
,"Pennsylvania","42","37 - 39 weeks","06",82271
,"Pennsylvania","42","40 weeks","07",30319
,"Pennsylvania","42","41 weeks","08",11495
,"Pennsylvania","42","42 weeks or more","09",473
,"Pennsylvania","42","Unknown or Not Stated","10",218
,"Rhode Island","44","Under 20 weeks","01",Suppressed
,"Rhode Island","44","20 - 27 weeks","02",75
,"Rhode Island","44","28 - 31 weeks","03",93
,"Rhode Island","44","32 - 35 weeks","04",404
,"Rhode Island","44","36 weeks","05",303
,"Rhode Island","44","37 - 39 weeks","06",6424
,"Rhode Island","44","40 weeks","07",2294
,"Rhode Island","44","41 weeks","08",998
,"Rhode Island","44","42 weeks or more","09",33
,"Rhode Island","44","Unknown or Not Stated","10",Suppressed
,"South Carolina","45","Under 20 weeks","01",18
,"South Carolina","45","20 - 27 weeks","02",450
,"South Carolina","45","28 - 31 weeks","03",625
,"South Carolina","45","32 - 35 weeks","04",2917
,"South Carolina","45","36 weeks","05",2386
,"South Carolina","45","37 - 39 weeks","06",37877
,"South Carolina","45","40 weeks","07",10333
,"South Carolina","45","41 weeks","08",2314
,"South Carolina","45","42 weeks or more","09",83
,"South Carolina","45","Unknown or Not Stated","10",26
,"South Dakota","46","Under 20 weeks","01",Suppressed
,"South Dakota","46","20 - 27 weeks","02",62
,"South Dakota","46","28 - 31 weeks","03",99
,"South Dakota","46","32 - 35 weeks","04",489
,"South Dakota","46","36 weeks","05",468
,"South Dakota","46","37 - 39 weeks","06",7337
,"South Dakota","46","40 weeks","07",2693
,"South Dakota","46","41 weeks","08",903
,"South Dakota","46","42 weeks or more","09",63
,"South Dakota","46","Unknown or Not Stated","10",13
,"Tennessee","47","Under 20 weeks","01",23
,"Tennessee","47","20 - 27 weeks","02",525
,"Tennessee","47","28 - 31 weeks","03",777
,"Tennessee","47","32 - 35 weeks","04",3994
,"Tennessee","47","36 weeks","05",3643
,"Tennessee","47","37 - 39 weeks","06",54157
,"Tennessee","47","40 weeks","07",14356
,"Tennessee","47","41 weeks","08",3170
,"Tennessee","47","42 weeks or more","09",202
,"Tennessee","47","Unknown or Not Stated","10",169
,"Texas","48","Under 20 weeks","01",157
,"Texas","48","20 - 27 weeks","02",2591
,"Texas","48","28 - 31 weeks","03",3647
,"Texas","48","32 - 35 weeks","04",17776
,"Texas","48","36 weeks","05",16232
,"Texas","48","37 - 39 weeks","06",261014
,"Texas","48","40 weeks","07",64967
,"Texas","48","41 weeks","08",14226
,"Texas","48","42 weeks or more","09",1193
,"Texas","48","Unknown or Not Stated","10",247
,"Utah","49","Under 20 weeks","01",17
,"Utah","49","20 - 27 weeks","02",258
,"Utah","49","28 - 31 weeks","03",368
,"Utah","49","32 - 35 weeks","04",1999
,"Utah","49","36 weeks","05",1946
,"Utah","49","37 - 39 weeks","06",33144
,"Utah","49","40 weeks","07",8233
,"Utah","49","41 weeks","08",2512
,"Utah","49","42 weeks or more","09",106
,"Utah","49","Unknown or Not Stated","10",Suppressed
,"Vermont","50","Under 20 weeks","01",Suppressed
,"Vermont","50","20 - 27 weeks","02",29
,"Vermont","50","28 - 31 weeks","03",40
,"Vermont","50","32 - 35 weeks","04",203
,"Vermont","50","36 weeks","05",152
,"Vermont","50","37 - 39 weeks","06",3026
,"Vermont","50","40 weeks","07",1426
,"Vermont","50","41 weeks","08",711
,"Vermont","50","42 weeks or more","09",61
,"Vermont","50","Unknown or Not Stated","10",Suppressed
,"Virginia","51","Under 20 weeks","01",40
,"Virginia","51","20 - 27 weeks","02",708
,"Virginia","51","28 - 31 weeks","03",912
,"Virginia","51","32 - 35 weeks","04",4256
,"Virginia","51","36 weeks","05",3666
,"Virginia","51","37 - 39 weeks","06",62152
,"Virginia","51","40 weeks","07",21414
,"Virginia","51","41 weeks","08",6922
,"Virginia","51","42 weeks or more","09",273
,"Virginia","51","Unknown or Not Stated","10",48
,"Washington","53","Under 20 weeks","01",15
,"Washington","53","20 - 27 weeks","02",361
,"Washington","53","28 - 31 weeks","03",606
,"Washington","53","32 - 35 weeks","04",3338
,"Washington","53","36 weeks","05",3014
,"Washington","53","37 - 39 weeks","06",50882
,"Washington","53","40 weeks","07",19792
,"Washington","53","41 weeks","08",8886
,"Washington","53","42 weeks or more","09",560
,"Washington","53","Unknown or Not Stated","10",108
,"West Virginia","54","Under 20 weeks","01",Suppressed
,"West Virginia","54","20 - 27 weeks","02",126
,"West Virginia","54","28 - 31 weeks","03",213
,"West Virginia","54","32 - 35 weeks","04",965
,"West Virginia","54","36 weeks","05",929
,"West Virginia","54","37 - 39 weeks","06",12703
,"West Virginia","54","40 weeks","07",2900
,"West Virginia","54","41 weeks","08",790
,"West Virginia","54","42 weeks or more","09",31
,"West Virginia","54","Unknown or Not Stated","10",14
,"Wisconsin","55","Under 20 weeks","01",35
,"Wisconsin","55","20 - 27 weeks","02",363
,"Wisconsin","55","28 - 31 weeks","03",540
,"Wisconsin","55","32 - 35 weeks","04",2861
,"Wisconsin","55","36 weeks","05",2461
,"Wisconsin","55","37 - 39 weeks","06",40066
,"Wisconsin","55","40 weeks","07",14178
,"Wisconsin","55","41 weeks","08",4173
,"Wisconsin","55","42 weeks or more","09",240
,"Wisconsin","55","Unknown or Not Stated","10",58
,"Wyoming","56","Under 20 weeks","01",0
,"Wyoming","56","20 - 27 weeks","02",25
,"Wyoming","56","28 - 31 weeks","03",56
,"Wyoming","56","32 - 35 weeks","04",271
,"Wyoming","56","36 weeks","05",264
,"Wyoming","56","37 - 39 weeks","06",4400
,"Wyoming","56","40 weeks","07",1482
,"Wyoming","56","41 weeks","08",368
,"Wyoming","56","42 weeks or more","09",37
,"Wyoming","56","Unknown or Not Stated","10",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2017"
"Group By: State of Residence; OE Gestational Age Recode 10"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:17:58 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:17:58 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
