"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Arlington County, VA","51013","Under 15 years","15",0
,"Arlington County, VA","51013","15-19 years","15-19",35
,"Arlington County, VA","51013","20-24 years","20-24",196
,"Arlington County, VA","51013","25-29 years","25-29",510
,"Arlington County, VA","51013","30-34 years","30-34",1189
,"Arlington County, VA","51013","35-39 years","35-39",844
,"Arlington County, VA","51013","40-44 years","40-44",195
,"Arlington County, VA","51013","45-49 years","45-49",19
,"Arlington County, VA","51013","50 years and over","50+",Suppressed
,"Chesterfield County, VA","51041","Under 15 years","15",0
,"Chesterfield County, VA","51041","15-19 years","15-19",119
,"Chesterfield County, VA","51041","20-24 years","20-24",600
,"Chesterfield County, VA","51041","25-29 years","25-29",1113
,"Chesterfield County, VA","51041","30-34 years","30-34",1243
,"Chesterfield County, VA","51041","35-39 years","35-39",638
,"Chesterfield County, VA","51041","40-44 years","40-44",124
,"Chesterfield County, VA","51041","45-49 years","45-49",Suppressed
,"Chesterfield County, VA","51041","50 years and over","50+",Suppressed
,"Fairfax County, VA","51059","Under 15 years","15",Suppressed
,"Fairfax County, VA","51059","15-19 years","15-19",300
,"Fairfax County, VA","51059","20-24 years","20-24",1311
,"Fairfax County, VA","51059","25-29 years","25-29",3007
,"Fairfax County, VA","51059","30-34 years","30-34",5237
,"Fairfax County, VA","51059","35-39 years","35-39",3502
,"Fairfax County, VA","51059","40-44 years","40-44",783
,"Fairfax County, VA","51059","45-49 years","45-49",65
,"Fairfax County, VA","51059","50 years and over","50+",Suppressed
,"Henrico County, VA","51087","Under 15 years","15",Suppressed
,"Henrico County, VA","51087","15-19 years","15-19",106
,"Henrico County, VA","51087","20-24 years","20-24",561
,"Henrico County, VA","51087","25-29 years","25-29",1095
,"Henrico County, VA","51087","30-34 years","30-34",1353
,"Henrico County, VA","51087","35-39 years","35-39",661
,"Henrico County, VA","51087","40-44 years","40-44",107
,"Henrico County, VA","51087","45-49 years","45-49",11
,"Henrico County, VA","51087","50 years and over","50+",0
,"Loudoun County, VA","51107","Under 15 years","15",0
,"Loudoun County, VA","51107","15-19 years","15-19",72
,"Loudoun County, VA","51107","20-24 years","20-24",356
,"Loudoun County, VA","51107","25-29 years","25-29",1085
,"Loudoun County, VA","51107","30-34 years","30-34",2080
,"Loudoun County, VA","51107","35-39 years","35-39",1203
,"Loudoun County, VA","51107","40-44 years","40-44",242
,"Loudoun County, VA","51107","45-49 years","45-49",26
,"Loudoun County, VA","51107","50 years and over","50+",Suppressed
,"Prince William County, VA","51153","Under 15 years","15",Suppressed
,"Prince William County, VA","51153","15-19 years","15-19",259
,"Prince William County, VA","51153","20-24 years","20-24",1002
,"Prince William County, VA","51153","25-29 years","25-29",1798
,"Prince William County, VA","51153","30-34 years","30-34",2072
,"Prince William County, VA","51153","35-39 years","35-39",1208
,"Prince William County, VA","51153","40-44 years","40-44",311
,"Prince William County, VA","51153","45-49 years","45-49",15
,"Prince William County, VA","51153","50 years and over","50+",Suppressed
,"Spotsylvania County, VA","51177","Under 15 years","15",Suppressed
,"Spotsylvania County, VA","51177","15-19 years","15-19",58
,"Spotsylvania County, VA","51177","20-24 years","20-24",293
,"Spotsylvania County, VA","51177","25-29 years","25-29",494
,"Spotsylvania County, VA","51177","30-34 years","30-34",395
,"Spotsylvania County, VA","51177","35-39 years","35-39",213
,"Spotsylvania County, VA","51177","40-44 years","40-44",47
,"Spotsylvania County, VA","51177","45-49 years","45-49",Suppressed
,"Spotsylvania County, VA","51177","50 years and over","50+",0
,"Stafford County, VA","51179","Under 15 years","15",0
,"Stafford County, VA","51179","15-19 years","15-19",60
,"Stafford County, VA","51179","20-24 years","20-24",297
,"Stafford County, VA","51179","25-29 years","25-29",527
,"Stafford County, VA","51179","30-34 years","30-34",533
,"Stafford County, VA","51179","35-39 years","35-39",271
,"Stafford County, VA","51179","40-44 years","40-44",54
,"Stafford County, VA","51179","45-49 years","45-49",Suppressed
,"Stafford County, VA","51179","50 years and over","50+",Suppressed
,"Alexandria city, VA","51510","Under 15 years","15",0
,"Alexandria city, VA","51510","15-19 years","15-19",52
,"Alexandria city, VA","51510","20-24 years","20-24",231
,"Alexandria city, VA","51510","25-29 years","25-29",550
,"Alexandria city, VA","51510","30-34 years","30-34",999
,"Alexandria city, VA","51510","35-39 years","35-39",672
,"Alexandria city, VA","51510","40-44 years","40-44",131
,"Alexandria city, VA","51510","45-49 years","45-49",12
,"Alexandria city, VA","51510","50 years and over","50+",0
,"Chesapeake city, VA","51550","Under 15 years","15",Suppressed
,"Chesapeake city, VA","51550","15-19 years","15-19",113
,"Chesapeake city, VA","51550","20-24 years","20-24",539
,"Chesapeake city, VA","51550","25-29 years","25-29",951
,"Chesapeake city, VA","51550","30-34 years","30-34",820
,"Chesapeake city, VA","51550","35-39 years","35-39",404
,"Chesapeake city, VA","51550","40-44 years","40-44",74
,"Chesapeake city, VA","51550","45-49 years","45-49",0
,"Chesapeake city, VA","51550","50 years and over","50+",0
,"Hampton city, VA","51650","Under 15 years","15",0
,"Hampton city, VA","51650","15-19 years","15-19",68
,"Hampton city, VA","51650","20-24 years","20-24",480
,"Hampton city, VA","51650","25-29 years","25-29",559
,"Hampton city, VA","51650","30-34 years","30-34",424
,"Hampton city, VA","51650","35-39 years","35-39",183
,"Hampton city, VA","51650","40-44 years","40-44",21
,"Hampton city, VA","51650","45-49 years","45-49",Suppressed
,"Hampton city, VA","51650","50 years and over","50+",0
,"Newport News city, VA","51700","Under 15 years","15",Suppressed
,"Newport News city, VA","51700","15-19 years","15-19",151
,"Newport News city, VA","51700","20-24 years","20-24",723
,"Newport News city, VA","51700","25-29 years","25-29",851
,"Newport News city, VA","51700","30-34 years","30-34",662
,"Newport News city, VA","51700","35-39 years","35-39",274
