"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Allen County, IN","18003","Female","F",2584
,"Allen County, IN","18003","Male","M",2622
,"Clark County, IN","18019","Female","F",728
,"Clark County, IN","18019","Male","M",746
,"Delaware County, IN","18035","Female","F",556
,"Delaware County, IN","18035","Male","M",570
,"Elkhart County, IN","18039","Female","F",1507
,"Elkhart County, IN","18039","Male","M",1580
,"Hamilton County, IN","18057","Female","F",1873
,"Hamilton County, IN","18057","Male","M",1962
,"Hendricks County, IN","18063","Female","F",838
,"Hendricks County, IN","18063","Male","M",882
,"Johnson County, IN","18081","Female","F",899
,"Johnson County, IN","18081","Male","M",915
,"Lake County, IN","18089","Female","F",2793
,"Lake County, IN","18089","Male","M",2808
,"La Porte County, IN","18091","Female","F",592
,"La Porte County, IN","18091","Male","M",680
,"Madison County, IN","18095","Female","F",710
,"Madison County, IN","18095","Male","M",686
,"Marion County, IN","18097","Female","F",7065
,"Marion County, IN","18097","Male","M",7324
,"Monroe County, IN","18105","Female","F",619
,"Monroe County, IN","18105","Male","M",630
,"Porter County, IN","18127","Female","F",798
,"Porter County, IN","18127","Male","M",844
,"St. Joseph County, IN","18141","Female","F",1726
,"St. Joseph County, IN","18141","Male","M",1771
,"Tippecanoe County, IN","18157","Female","F",1072
,"Tippecanoe County, IN","18157","Male","M",1168
,"Vanderburgh County, IN","18163","Female","F",1025
,"Vanderburgh County, IN","18163","Male","M",1103
,"Vigo County, IN","18167","Female","F",635
,"Vigo County, IN","18167","Male","M",589
,"Unidentified Counties, IN","18999","Female","F",14303
,"Unidentified Counties, IN","18999","Male","M",14967
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Indiana (18)"
"Year: 2017"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 9:47:20 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 9:47:20 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
