"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alamance County, NC","37001","Female","F",954
,"Alamance County, NC","37001","Male","M",986
,"Brunswick County, NC","37019","Female","F",471
,"Brunswick County, NC","37019","Male","M",537
,"Buncombe County, NC","37021","Female","F",1149
,"Buncombe County, NC","37021","Male","M",1244
,"Cabarrus County, NC","37025","Female","F",1217
,"Cabarrus County, NC","37025","Male","M",1376
,"Catawba County, NC","37035","Female","F",790
,"Catawba County, NC","37035","Male","M",862
,"Craven County, NC","37049","Female","F",668
,"Craven County, NC","37049","Male","M",718
,"Cumberland County, NC","37051","Female","F",2666
,"Cumberland County, NC","37051","Male","M",2840
,"Davidson County, NC","37057","Female","F",860
,"Davidson County, NC","37057","Male","M",901
,"Durham County, NC","37063","Female","F",2012
,"Durham County, NC","37063","Male","M",2169
,"Forsyth County, NC","37067","Female","F",2220
,"Forsyth County, NC","37067","Male","M",2148
,"Gaston County, NC","37071","Female","F",1196
,"Gaston County, NC","37071","Male","M",1392
,"Guilford County, NC","37081","Female","F",3035
,"Guilford County, NC","37081","Male","M",3183
,"Harnett County, NC","37085","Female","F",899
,"Harnett County, NC","37085","Male","M",987
,"Henderson County, NC","37089","Female","F",514
,"Henderson County, NC","37089","Male","M",526
,"Iredell County, NC","37097","Female","F",906
,"Iredell County, NC","37097","Male","M",952
,"Johnston County, NC","37101","Female","F",1122
,"Johnston County, NC","37101","Male","M",1196
,"Mecklenburg County, NC","37119","Female","F",7153
,"Mecklenburg County, NC","37119","Male","M",7600
,"New Hanover County, NC","37129","Female","F",1104
,"New Hanover County, NC","37129","Male","M",1163
,"Onslow County, NC","37133","Female","F",2012
,"Onslow County, NC","37133","Male","M",2049
,"Orange County, NC","37135","Female","F",554
,"Orange County, NC","37135","Male","M",625
,"Pitt County, NC","37147","Female","F",1022
,"Pitt County, NC","37147","Male","M",1029
,"Randolph County, NC","37151","Female","F",783
,"Randolph County, NC","37151","Male","M",793
,"Robeson County, NC","37155","Female","F",832
,"Robeson County, NC","37155","Male","M",950
,"Rowan County, NC","37159","Female","F",781
,"Rowan County, NC","37159","Male","M",806
,"Union County, NC","37179","Female","F",1211
,"Union County, NC","37179","Male","M",1171
,"Wake County, NC","37183","Female","F",6256
,"Wake County, NC","37183","Male","M",6426
,"Wayne County, NC","37191","Female","F",756
,"Wayne County, NC","37191","Male","M",855
,"Unidentified Counties, NC","37999","Female","F",15491
,"Unidentified Counties, NC","37999","Male","M",16007
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: North Carolina (37)"
"Year: 2017"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 10:08:05 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 10:08:05 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
