"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",56770
,"Alabama","01","Twin","2",2068
,"Alabama","01","Triplet or higher","3",103
,"Alaska","02","Single","1",10142
,"Alaska","02","Twin","2",297
,"Alaska","02","Triplet or higher","3",Suppressed
,"Arizona","04","Single","1",79200
,"Arizona","04","Twin","2",2581
,"Arizona","04","Triplet or higher","3",91
,"Arkansas","05","Single","1",36306
,"Arkansas","05","Twin","2",1193
,"Arkansas","05","Triplet or higher","3",21
,"California","06","Single","1",456782
,"California","06","Twin","2",14495
,"California","06","Triplet or higher","3",381
,"Colorado","08","Single","1",62346
,"Colorado","08","Twin","2",1985
,"Colorado","08","Triplet or higher","3",51
,"Connecticut","09","Single","1",33769
,"Connecticut","09","Twin","2",1426
,"Connecticut","09","Triplet or higher","3",26
,"Delaware","10","Single","1",10473
,"Delaware","10","Twin","2",379
,"Delaware","10","Triplet or higher","3",Suppressed
,"District of Columbia","11","Single","1",9200
,"District of Columbia","11","Twin","2",358
,"District of Columbia","11","Triplet or higher","3",Suppressed
,"Florida","12","Single","1",216180
,"Florida","12","Twin","2",7288
,"Florida","12","Triplet or higher","3",162
,"Georgia","13","Single","1",124669
,"Georgia","13","Twin","2",4456
,"Georgia","13","Triplet or higher","3",118
,"Hawaii","15","Single","1",16908
,"Hawaii","15","Twin","2",597
,"Hawaii","15","Triplet or higher","3",12
,"Idaho","16","Single","1",21478
,"Idaho","16","Twin","2",691
,"Idaho","16","Triplet or higher","3",12
,"Illinois","17","Single","1",143869
,"Illinois","17","Twin","2",5337
,"Illinois","17","Triplet or higher","3",184
,"Indiana","18","Single","1",79380
,"Indiana","18","Twin","2",2660
,"Indiana","18","Triplet or higher","3",130
,"Iowa","19","Single","1",37157
,"Iowa","19","Twin","2",1234
,"Iowa","19","Triplet or higher","3",39
,"Kansas","20","Single","1",35285
,"Kansas","20","Twin","2",1216
,"Kansas","20","Triplet or higher","3",18
,"Kentucky","21","Single","1",52879
,"Kentucky","21","Twin","2",1834
,"Kentucky","21","Triplet or higher","3",39
,"Louisiana","22","Single","1",58853
,"Louisiana","22","Twin","2",2099
,"Louisiana","22","Triplet or higher","3",66
,"Maine","23","Single","1",11911
,"Maine","23","Twin","2",378
,"Maine","23","Triplet or higher","3",Suppressed
,"Maryland","24","Single","1",69103
,"Maryland","24","Twin","2",2457
,"Maryland","24","Triplet or higher","3",81
,"Massachusetts","25","Single","1",68132
,"Massachusetts","25","Twin","2",2523
,"Massachusetts","25","Triplet or higher","3",47
,"Michigan","26","Single","1",107123
,"Michigan","26","Twin","2",4162
,"Michigan","26","Triplet or higher","3",141
,"Minnesota","27","Single","1",66177
,"Minnesota","27","Twin","2",2347
,"Minnesota","27","Triplet or higher","3",71
,"Mississippi","28","Single","1",36089
,"Mississippi","28","Twin","2",1231
,"Mississippi","28","Triplet or higher","3",37
,"Missouri","29","Single","1",70323
,"Missouri","29","Twin","2",2615
,"Missouri","29","Triplet or higher","3",96
,"Montana","30","Single","1",11414
,"Montana","30","Twin","2",382
,"Montana","30","Triplet or higher","3",Suppressed
,"Nebraska","31","Single","1",24816
,"Nebraska","31","Twin","2",953
,"Nebraska","31","Triplet or higher","3",52
,"Nevada","32","Single","1",34623
,"Nevada","32","Twin","2",1100
,"Nevada","32","Triplet or higher","3",33
,"New Hampshire","33","Single","1",11663
,"New Hampshire","33","Twin","2",437
,"New Hampshire","33","Triplet or higher","3",16
,"New Jersey","34","Single","1",97500
,"New Jersey","34","Twin","2",3642
,"New Jersey","34","Triplet or higher","3",108
,"New Mexico","35","Single","1",23142
,"New Mexico","35","Twin","2",600
,"New Mexico","35","Triplet or higher","3",25
,"New York","36","Single","1",221332
,"New York","36","Twin","2",8111
,"New York","36","Triplet or higher","3",294
,"North Carolina","37","Single","1",115762
,"North Carolina","37","Twin","2",4241
,"North Carolina","37","Triplet or higher","3",122
,"North Dakota","38","Single","1",10343
,"North Dakota","38","Twin","2",377
,"North Dakota","38","Triplet or higher","3",17
,"Ohio","39","Single","1",131943
,"Ohio","39","Twin","2",4741
,"Ohio","39","Triplet or higher","3",148
,"Oklahoma","40","Single","1",48651
,"Oklahoma","40","Twin","2",1523
,"Oklahoma","40","Triplet or higher","3",40
,"Oregon","41","Single","1",42073
,"Oregon","41","Twin","2",1515
,"Oregon","41","Triplet or higher","3",43
,"Pennsylvania","42","Single","1",132873
,"Pennsylvania","42","Twin","2",4738
,"Pennsylvania","42","Triplet or higher","3",134
,"Rhode Island","44","Single","1",10267
,"Rhode Island","44","Twin","2",363
,"Rhode Island","44","Triplet or higher","3",Suppressed
,"South Carolina","45","Single","1",55029
,"South Carolina","45","Twin","2",1950
,"South Carolina","45","Triplet or higher","3",50
,"South Dakota","46","Single","1",11693
,"South Dakota","46","Twin","2",427
,"South Dakota","46","Triplet or higher","3",14
,"Tennessee","47","Single","1",78394
,"Tennessee","47","Twin","2",2538
,"Tennessee","47","Triplet or higher","3",84
,"Texas","48","Single","1",369730
,"Texas","48","Twin","2",11926
,"Texas","48","Triplet or higher","3",394
,"Utah","49","Single","1",46831
,"Utah","49","Twin","2",1690
,"Utah","49","Triplet or higher","3",64
,"Vermont","50","Single","1",5474
,"Vermont","50","Twin","2",176
,"Vermont","50","Triplet or higher","3",Suppressed
,"Virginia","51","Single","1",96871
,"Virginia","51","Twin","2",3410
,"Virginia","51","Triplet or higher","3",110
,"Washington","53","Single","1",84864
,"Washington","53","Twin","2",2607
,"Washington","53","Triplet or higher","3",91
,"West Virginia","54","Single","1",18076
,"West Virginia","54","Twin","2",576
,"West Virginia","54","Triplet or higher","3",23
,"Wisconsin","55","Single","1",62671
,"Wisconsin","55","Twin","2",2224
,"Wisconsin","55","Triplet or higher","3",80
,"Wyoming","56","Single","1",6734
,"Wyoming","56","Twin","2",156
,"Wyoming","56","Triplet or higher","3",13
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2017"
"Group By: State of Residence; Plurality"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:20:06 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:20:06 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
