"Notes","State of Residence","State of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alabama","01","Female","F",28874
,"Alabama","01","Male","M",30067
,"Alaska","02","Female","F",5098
,"Alaska","02","Male","M",5347
,"Arizona","04","Female","F",40273
,"Arizona","04","Male","M",41599
,"Arkansas","05","Female","F",18393
,"Arkansas","05","Male","M",19127
,"California","06","Female","F",229760
,"California","06","Male","M",241898
,"Colorado","08","Female","F",31639
,"Colorado","08","Male","M",32743
,"Connecticut","09","Female","F",17159
,"Connecticut","09","Male","M",18062
,"Delaware","10","Female","F",5290
,"Delaware","10","Male","M",5565
,"District of Columbia","11","Female","F",4706
,"District of Columbia","11","Male","M",4854
,"Florida","12","Female","F",109393
,"Florida","12","Male","M",114237
,"Georgia","13","Female","F",63213
,"Georgia","13","Male","M",66030
,"Hawaii","15","Female","F",8379
,"Hawaii","15","Male","M",9138
,"Idaho","16","Female","F",10858
,"Idaho","16","Male","M",11323
,"Illinois","17","Female","F",73096
,"Illinois","17","Male","M",76294
,"Indiana","18","Female","F",40323
,"Indiana","18","Male","M",41847
,"Iowa","19","Female","F",18795
,"Iowa","19","Male","M",19635
,"Kansas","20","Female","F",17627
,"Kansas","20","Male","M",18892
,"Kentucky","21","Female","F",26540
,"Kentucky","21","Male","M",28212
,"Louisiana","22","Female","F",29879
,"Louisiana","22","Male","M",31139
,"Maine","23","Female","F",6075
,"Maine","23","Male","M",6223
,"Maryland","24","Female","F",35204
,"Maryland","24","Male","M",36437
,"Massachusetts","25","Female","F",34603
,"Massachusetts","25","Male","M",36099
,"Michigan","26","Female","F",54547
,"Michigan","26","Male","M",56879
,"Minnesota","27","Female","F",33531
,"Minnesota","27","Male","M",35064
,"Mississippi","28","Female","F",18263
,"Mississippi","28","Male","M",19094
,"Missouri","29","Female","F",35560
,"Missouri","29","Male","M",37474
,"Montana","30","Female","F",5765
,"Montana","30","Male","M",6034
,"Nebraska","31","Female","F",12615
,"Nebraska","31","Male","M",13206
,"Nevada","32","Female","F",17479
,"Nevada","32","Male","M",18277
,"New Hampshire","33","Female","F",5966
,"New Hampshire","33","Male","M",6150
,"New Jersey","34","Female","F",49170
,"New Jersey","34","Male","M",52080
,"New Mexico","35","Female","F",11586
,"New Mexico","35","Male","M",12181
,"New York","36","Female","F",112014
,"New York","36","Male","M",117723
,"North Carolina","37","Female","F",58634
,"North Carolina","37","Male","M",61491
,"North Dakota","38","Female","F",5177
,"North Dakota","38","Male","M",5560
,"Ohio","39","Female","F",66857
,"Ohio","39","Male","M",69975
,"Oklahoma","40","Female","F",24323
,"Oklahoma","40","Male","M",25891
,"Oregon","41","Female","F",21181
,"Oregon","41","Male","M",22450
,"Pennsylvania","42","Female","F",67055
,"Pennsylvania","42","Male","M",70690
,"Rhode Island","44","Female","F",5268
,"Rhode Island","44","Male","M",5370
,"South Carolina","45","Female","F",27719
,"South Carolina","45","Male","M",29310
,"South Dakota","46","Female","F",6016
,"South Dakota","46","Male","M",6118
,"Tennessee","47","Female","F",39349
,"Tennessee","47","Male","M",41667
,"Texas","48","Female","F",187092
,"Texas","48","Male","M",194958
,"Utah","49","Female","F",23449
,"Utah","49","Male","M",25136
,"Vermont","50","Female","F",2784
,"Vermont","50","Male","M",2871
,"Virginia","51","Female","F",49020
,"Virginia","51","Male","M",51371
,"Washington","53","Female","F",42727
,"Washington","53","Male","M",44835
,"West Virginia","54","Female","F",9102
,"West Virginia","54","Male","M",9573
,"Wisconsin","55","Female","F",31780
,"Wisconsin","55","Male","M",33195
,"Wyoming","56","Female","F",3409
,"Wyoming","56","Male","M",3494
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2017"
"Group By: State of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 4:55:44 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 4:55:44 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
