"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Fairfield County, CT","09001","Female","F",4780
,"Fairfield County, CT","09001","Male","M",5124
,"Hartford County, CT","09003","Female","F",4515
,"Hartford County, CT","09003","Male","M",4689
,"Litchfield County, CT","09005","Female","F",669
,"Litchfield County, CT","09005","Male","M",733
,"Middlesex County, CT","09007","Female","F",622
,"Middlesex County, CT","09007","Male","M",633
,"New Haven County, CT","09009","Female","F",4219
,"New Haven County, CT","09009","Male","M",4422
,"New London County, CT","09011","Female","F",1262
,"New London County, CT","09011","Male","M",1341
,"Tolland County, CT","09013","Female","F",551
,"Tolland County, CT","09013","Male","M",588
,"Windham County, CT","09015","Female","F",541
,"Windham County, CT","09015","Male","M",532
,"Unidentified Counties, CT","09999","Female","F",0
,"Unidentified Counties, CT","09999","Male","M",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Connecticut (09)"
"Year: 2017"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 9:39:15 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 9:39:15 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
