"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Anne Arundel County, MD","24003","Female","F",3440
,"Anne Arundel County, MD","24003","Male","M",3458
,"Baltimore County, MD","24005","Female","F",4869
,"Baltimore County, MD","24005","Male","M",4975
,"Carroll County, MD","24013","Female","F",753
,"Carroll County, MD","24013","Male","M",817
,"Cecil County, MD","24015","Female","F",562
,"Cecil County, MD","24015","Male","M",583
,"Charles County, MD","24017","Female","F",913
,"Charles County, MD","24017","Male","M",929
,"Frederick County, MD","24021","Female","F",1365
,"Frederick County, MD","24021","Male","M",1356
,"Harford County, MD","24025","Female","F",1286
,"Harford County, MD","24025","Male","M",1338
,"Howard County, MD","24027","Female","F",1691
,"Howard County, MD","24027","Male","M",1837
,"Montgomery County, MD","24031","Female","F",6227
,"Montgomery County, MD","24031","Male","M",6454
,"Prince George's County, MD","24033","Female","F",6111
,"Prince George's County, MD","24033","Male","M",6282
,"St. Mary's County, MD","24037","Female","F",661
,"St. Mary's County, MD","24037","Male","M",691
,"Washington County, MD","24043","Female","F",801
,"Washington County, MD","24043","Male","M",837
,"Baltimore city, MD","24510","Female","F",3887
,"Baltimore city, MD","24510","Male","M",4054
,"Unidentified Counties, MD","24999","Female","F",2638
,"Unidentified Counties, MD","24999","Male","M",2826
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Maryland (24)"
"Year: 2017"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 9:53:59 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 9:53:59 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code 24005)."
