"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Hall County, GA","13139","Asian","A",28
,"Hall County, GA","13139","Black or African American","2054-5",180
,"Hall County, GA","13139","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Hall County, GA","13139","White","2106-3",2226
,"Hall County, GA","13139","More than one race","M",44
,"Hall County, GA","13139","Unknown or Not Stated","UNK",0
,"Hall County, GA","13139","Not Available","NA",0
,"Hall County, GA","13139","Not Reported","NR",0
,"Henry County, GA","13151","American Indian or Alaska Native","1002-5",Suppressed
,"Henry County, GA","13151","Asian","A",116
,"Henry County, GA","13151","Black or African American","2054-5",1524
,"Henry County, GA","13151","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Henry County, GA","13151","White","2106-3",934
,"Henry County, GA","13151","More than one race","M",64
,"Henry County, GA","13151","Unknown or Not Stated","UNK",0
,"Henry County, GA","13151","Not Available","NA",0
,"Henry County, GA","13151","Not Reported","NR",0
,"Houston County, GA","13153","American Indian or Alaska Native","1002-5",Suppressed
,"Houston County, GA","13153","Asian","A",57
,"Houston County, GA","13153","Black or African American","2054-5",719
,"Houston County, GA","13153","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Houston County, GA","13153","White","2106-3",1065
,"Houston County, GA","13153","More than one race","M",64
,"Houston County, GA","13153","Unknown or Not Stated","UNK",0
,"Houston County, GA","13153","Not Available","NA",0
,"Houston County, GA","13153","Not Reported","NR",0
,"Lowndes County, GA","13185","American Indian or Alaska Native","1002-5",Suppressed
,"Lowndes County, GA","13185","Asian","A",22
,"Lowndes County, GA","13185","Black or African American","2054-5",686
,"Lowndes County, GA","13185","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Lowndes County, GA","13185","White","2106-3",838
,"Lowndes County, GA","13185","More than one race","M",32
,"Lowndes County, GA","13185","Unknown or Not Stated","UNK",0
,"Lowndes County, GA","13185","Not Available","NA",0
,"Lowndes County, GA","13185","Not Reported","NR",0
,"Muscogee County, GA","13215","American Indian or Alaska Native","1002-5",11
,"Muscogee County, GA","13215","Asian","A",74
,"Muscogee County, GA","13215","Black or African American","2054-5",1346
,"Muscogee County, GA","13215","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Muscogee County, GA","13215","White","2106-3",1268
,"Muscogee County, GA","13215","More than one race","M",111
,"Muscogee County, GA","13215","Unknown or Not Stated","UNK",0
,"Muscogee County, GA","13215","Not Available","NA",0
,"Muscogee County, GA","13215","Not Reported","NR",0
,"Paulding County, GA","13223","American Indian or Alaska Native","1002-5",Suppressed
,"Paulding County, GA","13223","Asian","A",28
,"Paulding County, GA","13223","Black or African American","2054-5",397
,"Paulding County, GA","13223","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Paulding County, GA","13223","White","2106-3",1244
,"Paulding County, GA","13223","More than one race","M",47
,"Paulding County, GA","13223","Unknown or Not Stated","UNK",0
,"Paulding County, GA","13223","Not Available","NA",0
,"Paulding County, GA","13223","Not Reported","NR",0
,"Richmond County, GA","13245","American Indian or Alaska Native","1002-5",Suppressed
,"Richmond County, GA","13245","Asian","A",48
,"Richmond County, GA","13245","Black or African American","2054-5",1728
,"Richmond County, GA","13245","Native Hawaiian or Other Pacific Islander","NHOPI",30
,"Richmond County, GA","13245","White","2106-3",985
,"Richmond County, GA","13245","More than one race","M",82
,"Richmond County, GA","13245","Unknown or Not Stated","UNK",0
,"Richmond County, GA","13245","Not Available","NA",0
,"Richmond County, GA","13245","Not Reported","NR",0
,"Whitfield County, GA","13313","American Indian or Alaska Native","1002-5",Suppressed
,"Whitfield County, GA","13313","Asian","A",14
,"Whitfield County, GA","13313","Black or African American","2054-5",41
,"Whitfield County, GA","13313","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Whitfield County, GA","13313","White","2106-3",1175
,"Whitfield County, GA","13313","More than one race","M",19
,"Whitfield County, GA","13313","Unknown or Not Stated","UNK",0
,"Whitfield County, GA","13313","Not Available","NA",0
,"Whitfield County, GA","13313","Not Reported","NR",0
,"Unidentified Counties, GA","13999","American Indian or Alaska Native","1002-5",65
,"Unidentified Counties, GA","13999","Asian","A",512
,"Unidentified Counties, GA","13999","Black or African American","2054-5",11600
,"Unidentified Counties, GA","13999","Native Hawaiian or Other Pacific Islander","NHOPI",118
,"Unidentified Counties, GA","13999","White","2106-3",26740
,"Unidentified Counties, GA","13999","More than one race","M",797
,"Unidentified Counties, GA","13999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, GA","13999","Not Available","NA",0
,"Unidentified Counties, GA","13999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Georgia (13)"
"Year: 2020"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 9:42:45 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 9:42:45 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
