"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Clackamas County, OR","41005","Female","F",1836
,"Clackamas County, OR","41005","Male","M",1898
,"Deschutes County, OR","41017","Female","F",918
,"Deschutes County, OR","41017","Male","M",904
,"Douglas County, OR","41019","Female","F",501
,"Douglas County, OR","41019","Male","M",541
,"Jackson County, OR","41029","Female","F",1027
,"Jackson County, OR","41029","Male","M",1057
,"Lane County, OR","41039","Female","F",1400
,"Lane County, OR","41039","Male","M",1590
,"Linn County, OR","41043","Female","F",724
,"Linn County, OR","41043","Male","M",739
,"Marion County, OR","41047","Female","F",1926
,"Marion County, OR","41047","Male","M",2013
,"Multnomah County, OR","41051","Female","F",3641
,"Multnomah County, OR","41051","Male","M",3883
,"Washington County, OR","41067","Female","F",2906
,"Washington County, OR","41067","Male","M",3052
,"Unidentified Counties, OR","41999","Female","F",4557
,"Unidentified Counties, OR","41999","Male","M",4707
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Oregon (41)"
"Year: 2020"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 9:16:36 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 9:16:36 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
