"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alamance County, NC","37001","Female","F",927
,"Alamance County, NC","37001","Male","M",904
,"Brunswick County, NC","37019","Female","F",469
,"Brunswick County, NC","37019","Male","M",531
,"Buncombe County, NC","37021","Female","F",1165
,"Buncombe County, NC","37021","Male","M",1160
,"Cabarrus County, NC","37025","Female","F",1229
,"Cabarrus County, NC","37025","Male","M",1312
,"Catawba County, NC","37035","Female","F",781
,"Catawba County, NC","37035","Male","M",812
,"Craven County, NC","37049","Female","F",635
,"Craven County, NC","37049","Male","M",677
,"Cumberland County, NC","37051","Female","F",2543
,"Cumberland County, NC","37051","Male","M",2575
,"Davidson County, NC","37057","Female","F",820
,"Davidson County, NC","37057","Male","M",879
,"Durham County, NC","37063","Female","F",2024
,"Durham County, NC","37063","Male","M",1988
,"Forsyth County, NC","37067","Female","F",2085
,"Forsyth County, NC","37067","Male","M",2203
,"Gaston County, NC","37071","Female","F",1241
,"Gaston County, NC","37071","Male","M",1306
,"Guilford County, NC","37081","Female","F",2939
,"Guilford County, NC","37081","Male","M",2988
,"Harnett County, NC","37085","Female","F",923
,"Harnett County, NC","37085","Male","M",944
,"Henderson County, NC","37089","Female","F",466
,"Henderson County, NC","37089","Male","M",538
,"Iredell County, NC","37097","Female","F",900
,"Iredell County, NC","37097","Male","M",997
,"Johnston County, NC","37101","Female","F",1201
,"Johnston County, NC","37101","Male","M",1286
,"Mecklenburg County, NC","37119","Female","F",7270
,"Mecklenburg County, NC","37119","Male","M",7384
,"New Hanover County, NC","37129","Female","F",1003
,"New Hanover County, NC","37129","Male","M",1086
,"Onslow County, NC","37133","Female","F",1788
,"Onslow County, NC","37133","Male","M",1942
,"Orange County, NC","37135","Female","F",545
,"Orange County, NC","37135","Male","M",560
,"Pitt County, NC","37147","Female","F",978
,"Pitt County, NC","37147","Male","M",1024
,"Randolph County, NC","37151","Female","F",769
,"Randolph County, NC","37151","Male","M",790
,"Robeson County, NC","37155","Female","F",852
,"Robeson County, NC","37155","Male","M",878
,"Rowan County, NC","37159","Female","F",763
,"Rowan County, NC","37159","Male","M",824
,"Union County, NC","37179","Female","F",1062
,"Union County, NC","37179","Male","M",1266
,"Wake County, NC","37183","Female","F",6079
,"Wake County, NC","37183","Male","M",6471
,"Wayne County, NC","37191","Female","F",767
,"Wayne County, NC","37191","Male","M",776
,"Unidentified Counties, NC","37999","Female","F",14834
,"Unidentified Counties, NC","37999","Male","M",15571
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: North Carolina (37)"
"Year: 2020"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 9:12:10 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 9:12:10 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
