"Notes","State of Residence","State of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alabama","01","Female","F",28269
,"Alabama","01","Male","M",29378
,"Alaska","02","Female","F",4665
,"Alaska","02","Male","M",4804
,"Arizona","04","Female","F",37774
,"Arizona","04","Male","M",39173
,"Arkansas","05","Female","F",17211
,"Arkansas","05","Male","M",18040
,"California","06","Female","F",205481
,"California","06","Male","M",214778
,"Colorado","08","Female","F",29978
,"Colorado","08","Male","M",31516
,"Connecticut","09","Female","F",16365
,"Connecticut","09","Male","M",17095
,"Delaware","10","Female","F",5037
,"Delaware","10","Male","M",5355
,"District of Columbia","11","Female","F",4292
,"District of Columbia","11","Male","M",4582
,"Florida","12","Female","F",102292
,"Florida","12","Male","M",107379
,"Georgia","13","Female","F",59813
,"Georgia","13","Male","M",62660
,"Hawaii","15","Female","F",7669
,"Hawaii","15","Male","M",8116
,"Idaho","16","Female","F",10413
,"Idaho","16","Male","M",11120
,"Illinois","17","Female","F",65115
,"Illinois","17","Male","M",68183
,"Indiana","18","Female","F",38334
,"Indiana","18","Male","M",40282
,"Iowa","19","Female","F",17692
,"Iowa","19","Male","M",18422
,"Kansas","20","Female","F",16813
,"Kansas","20","Male","M",17563
,"Kentucky","21","Female","F",25373
,"Kentucky","21","Male","M",26295
,"Louisiana","22","Female","F",28024
,"Louisiana","22","Male","M",29304
,"Maine","23","Female","F",5697
,"Maine","23","Male","M",5842
,"Maryland","24","Female","F",33734
,"Maryland","24","Male","M",34820
,"Massachusetts","25","Female","F",32699
,"Massachusetts","25","Male","M",33729
,"Michigan","26","Female","F",50856
,"Michigan","26","Male","M",53218
,"Minnesota","27","Female","F",30782
,"Minnesota","27","Male","M",32661
,"Mississippi","28","Female","F",17455
,"Mississippi","28","Male","M",18018
,"Missouri","29","Female","F",33622
,"Missouri","29","Male","M",35663
,"Montana","30","Female","F",5240
,"Montana","30","Male","M",5551
,"Nebraska","31","Female","F",11939
,"Nebraska","31","Male","M",12352
,"Nevada","32","Female","F",16403
,"Nevada","32","Male","M",17250
,"New Hampshire","33","Female","F",5768
,"New Hampshire","33","Male","M",6023
,"New Jersey","34","Female","F",47826
,"New Jersey","34","Male","M",50128
,"New Mexico","35","Female","F",10560
,"New Mexico","35","Male","M",11343
,"New York","36","Female","F",102072
,"New York","36","Male","M",107266
,"North Carolina","37","Female","F",57058
,"North Carolina","37","Male","M",59672
,"North Dakota","38","Female","F",4991
,"North Dakota","38","Male","M",5068
,"Ohio","39","Female","F",62774
,"Ohio","39","Male","M",66417
,"Oklahoma","40","Female","F",23274
,"Oklahoma","40","Male","M",24349
,"Oregon","41","Female","F",19436
,"Oregon","41","Male","M",20384
,"Pennsylvania","42","Female","F",64059
,"Pennsylvania","42","Male","M",66634
,"Rhode Island","44","Female","F",5010
,"Rhode Island","44","Male","M",5091
,"South Carolina","45","Female","F",27323
,"South Carolina","45","Male","M",28381
,"South Dakota","46","Female","F",5376
,"South Dakota","46","Male","M",5584
,"Tennessee","47","Female","F",38670
,"Tennessee","47","Male","M",40019
,"Texas","48","Female","F",179717
,"Texas","48","Male","M",188473
,"Utah","49","Female","F",22036
,"Utah","49","Male","M",23666
,"Vermont","50","Female","F",2523
,"Vermont","50","Male","M",2610
,"Virginia","51","Female","F",46123
,"Virginia","51","Male","M",48626
,"Washington","53","Female","F",40710
,"Washington","53","Male","M",42376
,"West Virginia","54","Female","F",8532
,"West Virginia","54","Male","M",8791
,"Wisconsin","55","Female","F",29641
,"Wisconsin","55","Male","M",30953
,"Wyoming","56","Female","F",3039
,"Wyoming","56","Male","M",3089
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2020"
"Group By: State of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:23:43 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:23:43 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
