"Notes","State of Residence","State of Residence Code","Plurality","Plurality Code",Births
,"Alabama","01","Single","1",55473
,"Alabama","01","Twin","2",2097
,"Alabama","01","Triplet or higher","3",77
,"Alaska","02","Single","1",9175
,"Alaska","02","Twin","2",291
,"Alaska","02","Triplet or higher","3",Suppressed
,"Arizona","04","Single","1",74655
,"Arizona","04","Twin","2",2238
,"Arizona","04","Triplet or higher","3",54
,"Arkansas","05","Single","1",34098
,"Arkansas","05","Twin","2",1125
,"Arkansas","05","Triplet or higher","3",28
,"California","06","Single","1",408023
,"California","06","Twin","2",11975
,"California","06","Triplet or higher","3",261
,"Colorado","08","Single","1",59645
,"Colorado","08","Twin","2",1810
,"Colorado","08","Triplet or higher","3",39
,"Connecticut","09","Single","1",32280
,"Connecticut","09","Twin","2",1156
,"Connecticut","09","Triplet or higher","3",24
,"Delaware","10","Single","1",10068
,"Delaware","10","Twin","2",318
,"Delaware","10","Triplet or higher","3",Suppressed
,"District of Columbia","11","Single","1",8579
,"District of Columbia","11","Twin","2",280
,"District of Columbia","11","Triplet or higher","3",15
,"Florida","12","Single","1",203244
,"Florida","12","Twin","2",6276
,"Florida","12","Triplet or higher","3",151
,"Georgia","13","Single","1",118337
,"Georgia","13","Twin","2",4044
,"Georgia","13","Triplet or higher","3",92
,"Hawaii","15","Single","1",15340
,"Hawaii","15","Twin","2",442
,"Hawaii","15","Triplet or higher","3",Suppressed
,"Idaho","16","Single","1",20867
,"Idaho","16","Twin","2",651
,"Idaho","16","Triplet or higher","3",15
,"Illinois","17","Single","1",128941
,"Illinois","17","Twin","2",4243
,"Illinois","17","Triplet or higher","3",114
,"Indiana","18","Single","1",76070
,"Indiana","18","Twin","2",2473
,"Indiana","18","Triplet or higher","3",73
,"Iowa","19","Single","1",34801
,"Iowa","19","Twin","2",1282
,"Iowa","19","Triplet or higher","3",31
,"Kansas","20","Single","1",33294
,"Kansas","20","Twin","2",1049
,"Kansas","20","Triplet or higher","3",33
,"Kentucky","21","Single","1",50044
,"Kentucky","21","Twin","2",1605
,"Kentucky","21","Triplet or higher","3",19
,"Louisiana","22","Single","1",55375
,"Louisiana","22","Twin","2",1902
,"Louisiana","22","Triplet or higher","3",51
,"Maine","23","Single","1",11156
,"Maine","23","Twin","2",378
,"Maine","23","Triplet or higher","3",Suppressed
,"Maryland","24","Single","1",66436
,"Maryland","24","Twin","2",2064
,"Maryland","24","Triplet or higher","3",54
