"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alameda County, CA","06001","Hispanic or Latino","2135-2",4659
,"Alameda County, CA","06001","Not Hispanic or Latino","2186-5",12130
,"Alameda County, CA","06001","Unknown or Not Stated","9",527
,"Butte County, CA","06007","Hispanic or Latino","2135-2",413
,"Butte County, CA","06007","Not Hispanic or Latino","2186-5",1540
,"Butte County, CA","06007","Unknown or Not Stated","9",38
,"Contra Costa County, CA","06013","Hispanic or Latino","2135-2",4066
,"Contra Costa County, CA","06013","Not Hispanic or Latino","2186-5",7441
,"Contra Costa County, CA","06013","Unknown or Not Stated","9",253
,"El Dorado County, CA","06017","Hispanic or Latino","2135-2",235
,"El Dorado County, CA","06017","Not Hispanic or Latino","2186-5",1203
,"El Dorado County, CA","06017","Unknown or Not Stated","9",27
,"Fresno County, CA","06019","Hispanic or Latino","2135-2",8261
,"Fresno County, CA","06019","Not Hispanic or Latino","2186-5",5135
,"Fresno County, CA","06019","Unknown or Not Stated","9",429
,"Humboldt County, CA","06023","Hispanic or Latino","2135-2",208
,"Humboldt County, CA","06023","Not Hispanic or Latino","2186-5",1025
,"Humboldt County, CA","06023","Unknown or Not Stated","9",32
,"Imperial County, CA","06025","Hispanic or Latino","2135-2",2114
,"Imperial County, CA","06025","Not Hispanic or Latino","2186-5",159
,"Imperial County, CA","06025","Unknown or Not Stated","9",56
,"Kern County, CA","06029","Hispanic or Latino","2135-2",6466
,"Kern County, CA","06029","Not Hispanic or Latino","2186-5",5745
,"Kern County, CA","06029","Unknown or Not Stated","9",145
,"Kings County, CA","06031","Hispanic or Latino","2135-2",1371
,"Kings County, CA","06031","Not Hispanic or Latino","2186-5",856
,"Kings County, CA","06031","Unknown or Not Stated","9",25
,"Los Angeles County, CA","06037","Hispanic or Latino","2135-2",53667
,"Los Angeles County, CA","06037","Not Hispanic or Latino","2186-5",42760
,"Los Angeles County, CA","06037","Unknown or Not Stated","9",1633
,"Madera County, CA","06039","Hispanic or Latino","2135-2",1531
,"Madera County, CA","06039","Not Hispanic or Latino","2186-5",529
,"Madera County, CA","06039","Unknown or Not Stated","9",37
,"Marin County, CA","06041","Hispanic or Latino","2135-2",623
,"Marin County, CA","06041","Not Hispanic or Latino","2186-5",1304
,"Marin County, CA","06041","Unknown or Not Stated","9",151
,"Merced County, CA","06047","Hispanic or Latino","2135-2",2609
,"Merced County, CA","06047","Not Hispanic or Latino","2186-5",1078
,"Merced County, CA","06047","Unknown or Not Stated","9",45
,"Monterey County, CA","06053","Hispanic or Latino","2135-2",4209
,"Monterey County, CA","06053","Not Hispanic or Latino","2186-5",1280
,"Monterey County, CA","06053","Unknown or Not Stated","9",86
,"Napa County, CA","06055","Hispanic or Latino","2135-2",572
,"Napa County, CA","06055","Not Hispanic or Latino","2186-5",616
,"Napa County, CA","06055","Unknown or Not Stated","9",19
,"Orange County, CA","06059","Hispanic or Latino","2135-2",12889
,"Orange County, CA","06059","Not Hispanic or Latino","2186-5",17418
,"Orange County, CA","06059","Unknown or Not Stated","9",707
,"Placer County, CA","06061","Hispanic or Latino","2135-2",671
,"Placer County, CA","06061","Not Hispanic or Latino","2186-5",2751
,"Placer County, CA","06061","Unknown or Not Stated","9",72
,"Riverside County, CA","06065","Hispanic or Latino","2135-2",15412
,"Riverside County, CA","06065","Not Hispanic or Latino","2186-5",9505
,"Riverside County, CA","06065","Unknown or Not Stated","9",2038
,"Sacramento County, CA","06067","Hispanic or Latino","2135-2",5126
,"Sacramento County, CA","06067","Not Hispanic or Latino","2186-5",12508
,"Sacramento County, CA","06067","Unknown or Not Stated","9",398
,"San Bernardino County, CA","06071","Hispanic or Latino","2135-2",15261
,"San Bernardino County, CA","06071","Not Hispanic or Latino","2186-5",9907
,"San Bernardino County, CA","06071","Unknown or Not Stated","9",1538
,"San Diego County, CA","06073","Hispanic or Latino","2135-2",14786
,"San Diego County, CA","06073","Not Hispanic or Latino","2186-5",18949
,"San Diego County, CA","06073","Unknown or Not Stated","9",3426
,"San Francisco County, CA","06075","Hispanic or Latino","2135-2",1363
,"San Francisco County, CA","06075","Not Hispanic or Latino","2186-5",5937
,"San Francisco County, CA","06075","Unknown or Not Stated","9",714
,"San Joaquin County, CA","06077","Hispanic or Latino","2135-2",4807
,"San Joaquin County, CA","06077","Not Hispanic or Latino","2186-5",4438
,"San Joaquin County, CA","06077","Unknown or Not Stated","9",445
,"San Luis Obispo County, CA","06079","Hispanic or Latino","2135-2",805
,"San Luis Obispo County, CA","06079","Not Hispanic or Latino","2186-5",1422
,"San Luis Obispo County, CA","06079","Unknown or Not Stated","9",133
,"San Mateo County, CA","06081","Hispanic or Latino","2135-2",1902
,"San Mateo County, CA","06081","Not Hispanic or Latino","2186-5",5212
,"San Mateo County, CA","06081","Unknown or Not Stated","9",602
,"Santa Barbara County, CA","06083","Hispanic or Latino","2135-2",3521
,"Santa Barbara County, CA","06083","Not Hispanic or Latino","2186-5",1726
,"Santa Barbara County, CA","06083","Unknown or Not Stated","9",97
,"Santa Clara County, CA","06085","Hispanic or Latino","2135-2",5563
,"Santa Clara County, CA","06085","Not Hispanic or Latino","2186-5",12351
,"Santa Clara County, CA","06085","Unknown or Not Stated","9",1661
,"Santa Cruz County, CA","06087","Hispanic or Latino","2135-2",1166
,"Santa Cruz County, CA","06087","Not Hispanic or Latino","2186-5",957
,"Santa Cruz County, CA","06087","Unknown or Not Stated","9",66
,"Shasta County, CA","06089","Hispanic or Latino","2135-2",224
,"Shasta County, CA","06089","Not Hispanic or Latino","2186-5",1587
,"Shasta County, CA","06089","Unknown or Not Stated","9",30
,"Solano County, CA","06095","Hispanic or Latino","2135-2",1762
,"Solano County, CA","06095","Not Hispanic or Latino","2186-5",2994
,"Solano County, CA","06095","Unknown or Not Stated","9",201
,"Sonoma County, CA","06097","Hispanic or Latino","2135-2",1712
,"Sonoma County, CA","06097","Not Hispanic or Latino","2186-5",2400
,"Sonoma County, CA","06097","Unknown or Not Stated","9",200
,"Stanislaus County, CA","06099","Hispanic or Latino","2135-2",4092
,"Stanislaus County, CA","06099","Not Hispanic or Latino","2186-5",2918
,"Stanislaus County, CA","06099","Unknown or Not Stated","9",108
,"Tulare County, CA","06107","Hispanic or Latino","2135-2",3974
,"Tulare County, CA","06107","Not Hispanic or Latino","2186-5",2639
,"Tulare County, CA","06107","Unknown or Not Stated","9",45
,"Ventura County, CA","06111","Hispanic or Latino","2135-2",4616
,"Ventura County, CA","06111","Not Hispanic or Latino","2186-5",3446
,"Ventura County, CA","06111","Unknown or Not Stated","9",179
,"Yolo County, CA","06113","Hispanic or Latino","2135-2",776
,"Yolo County, CA","06113","Not Hispanic or Latino","2186-5",1090
,"Yolo County, CA","06113","Unknown or Not Stated","9",91
,"Unidentified Counties, CA","06999","Hispanic or Latino","2135-2",2863
,"Unidentified Counties, CA","06999","Not Hispanic or Latino","2186-5",5794
,"Unidentified Counties, CA","06999","Unknown or Not Stated","9",960
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: California (06)"
"Year: 2020"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 10:30:59 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 10:30:59 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
