"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Allegan County, MI","26005","Female","F",578
,"Allegan County, MI","26005","Male","M",619
,"Bay County, MI","26017","Female","F",470
,"Bay County, MI","26017","Male","M",454
,"Berrien County, MI","26021","Female","F",740
,"Berrien County, MI","26021","Male","M",785
,"Calhoun County, MI","26025","Female","F",743
,"Calhoun County, MI","26025","Male","M",737
,"Eaton County, MI","26045","Female","F",499
,"Eaton County, MI","26045","Male","M",522
,"Genesee County, MI","26049","Female","F",2139
,"Genesee County, MI","26049","Male","M",2196
,"Ingham County, MI","26065","Female","F",1463
,"Ingham County, MI","26065","Male","M",1480
,"Jackson County, MI","26075","Female","F",827
,"Jackson County, MI","26075","Male","M",877
,"Kalamazoo County, MI","26077","Female","F",1363
,"Kalamazoo County, MI","26077","Male","M",1397
,"Kent County, MI","26081","Female","F",4000
,"Kent County, MI","26081","Male","M",4238
,"Livingston County, MI","26093","Female","F",830
,"Livingston County, MI","26093","Male","M",826
,"Macomb County, MI","26099","Female","F",4342
,"Macomb County, MI","26099","Male","M",4509
,"Monroe County, MI","26115","Female","F",758
,"Monroe County, MI","26115","Male","M",794
,"Muskegon County, MI","26121","Female","F",900
,"Muskegon County, MI","26121","Male","M",989
,"Oakland County, MI","26125","Female","F",5974
,"Oakland County, MI","26125","Male","M",6323
,"Ottawa County, MI","26139","Female","F",1506
,"Ottawa County, MI","26139","Male","M",1578
,"Saginaw County, MI","26145","Female","F",1012
,"Saginaw County, MI","26145","Male","M",977
,"St. Clair County, MI","26147","Female","F",723
,"St. Clair County, MI","26147","Male","M",773
,"Washtenaw County, MI","26161","Female","F",1561
,"Washtenaw County, MI","26161","Male","M",1626
,"Wayne County, MI","26163","Female","F",10615
,"Wayne County, MI","26163","Male","M",11185
,"Unidentified Counties, MI","26999","Female","F",9813
,"Unidentified Counties, MI","26999","Male","M",10333
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Michigan (26)"
"Year: 2020"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:59:53 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:59:53 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
