"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Mecklenburg County, NC","37119","Black or African American","2054-5",5112
,"Mecklenburg County, NC","37119","Native Hawaiian or Other Pacific Islander","NHOPI",94
,"Mecklenburg County, NC","37119","White","2106-3",7820
,"Mecklenburg County, NC","37119","More than one race","M",342
,"Mecklenburg County, NC","37119","Unknown or Not Stated","UNK",0
,"Mecklenburg County, NC","37119","Not Available","NA",0
,"Mecklenburg County, NC","37119","Not Reported","NR",0
,"New Hanover County, NC","37129","American Indian or Alaska Native","1002-5",Suppressed
,"New Hanover County, NC","37129","Asian","A",44
,"New Hanover County, NC","37129","Black or African American","2054-5",380
,"New Hanover County, NC","37129","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"New Hanover County, NC","37129","White","2106-3",1593
,"New Hanover County, NC","37129","More than one race","M",61
,"New Hanover County, NC","37129","Unknown or Not Stated","UNK",0
,"New Hanover County, NC","37129","Not Available","NA",0
,"New Hanover County, NC","37129","Not Reported","NR",0
,"Onslow County, NC","37133","American Indian or Alaska Native","1002-5",32
,"Onslow County, NC","37133","Asian","A",96
,"Onslow County, NC","37133","Black or African American","2054-5",492
,"Onslow County, NC","37133","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Onslow County, NC","37133","White","2106-3",2891
,"Onslow County, NC","37133","More than one race","M",206
,"Onslow County, NC","37133","Unknown or Not Stated","UNK",0
,"Onslow County, NC","37133","Not Available","NA",0
,"Onslow County, NC","37133","Not Reported","NR",0
,"Orange County, NC","37135","American Indian or Alaska Native","1002-5",Suppressed
,"Orange County, NC","37135","Asian","A",110
,"Orange County, NC","37135","Black or African American","2054-5",180
,"Orange County, NC","37135","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Orange County, NC","37135","White","2106-3",775
,"Orange County, NC","37135","More than one race","M",32
,"Orange County, NC","37135","Unknown or Not Stated","UNK",0
,"Orange County, NC","37135","Not Available","NA",0
,"Orange County, NC","37135","Not Reported","NR",0
,"Pitt County, NC","37147","American Indian or Alaska Native","1002-5",Suppressed
,"Pitt County, NC","37147","Asian","A",58
,"Pitt County, NC","37147","Black or African American","2054-5",865
,"Pitt County, NC","37147","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Pitt County, NC","37147","White","2106-3",1000
,"Pitt County, NC","37147","More than one race","M",68
,"Pitt County, NC","37147","Unknown or Not Stated","UNK",0
,"Pitt County, NC","37147","Not Available","NA",0
,"Pitt County, NC","37147","Not Reported","NR",0
,"Randolph County, NC","37151","American Indian or Alaska Native","1002-5",12
,"Randolph County, NC","37151","Asian","A",35
,"Randolph County, NC","37151","Black or African American","2054-5",115
,"Randolph County, NC","37151","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Randolph County, NC","37151","White","2106-3",1362
,"Randolph County, NC","37151","More than one race","M",31
,"Randolph County, NC","37151","Unknown or Not Stated","UNK",0
,"Randolph County, NC","37151","Not Available","NA",0
,"Randolph County, NC","37151","Not Reported","NR",0
,"Robeson County, NC","37155","American Indian or Alaska Native","1002-5",766
,"Robeson County, NC","37155","Asian","A",17
,"Robeson County, NC","37155","Black or African American","2054-5",442
,"Robeson County, NC","37155","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Robeson County, NC","37155","White","2106-3",452
,"Robeson County, NC","37155","More than one race","M",47
,"Robeson County, NC","37155","Unknown or Not Stated","UNK",0
,"Robeson County, NC","37155","Not Available","NA",0
,"Robeson County, NC","37155","Not Reported","NR",0
,"Rowan County, NC","37159","American Indian or Alaska Native","1002-5",Suppressed
,"Rowan County, NC","37159","Asian","A",29
,"Rowan County, NC","37159","Black or African American","2054-5",318
,"Rowan County, NC","37159","Native Hawaiian or Other Pacific Islander","NHOPI",26
,"Rowan County, NC","37159","White","2106-3",1156
,"Rowan County, NC","37159","More than one race","M",49
,"Rowan County, NC","37159","Unknown or Not Stated","UNK",0
,"Rowan County, NC","37159","Not Available","NA",0
,"Rowan County, NC","37159","Not Reported","NR",0
,"Union County, NC","37179","American Indian or Alaska Native","1002-5",11
,"Union County, NC","37179","Asian","A",75
,"Union County, NC","37179","Black or African American","2054-5",334
,"Union County, NC","37179","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Union County, NC","37179","White","2106-3",1842
,"Union County, NC","37179","More than one race","M",56
,"Union County, NC","37179","Unknown or Not Stated","UNK",0
,"Union County, NC","37179","Not Available","NA",0
,"Union County, NC","37179","Not Reported","NR",0
,"Wake County, NC","37183","American Indian or Alaska Native","1002-5",55
,"Wake County, NC","37183","Asian","A",1258
,"Wake County, NC","37183","Black or African American","2054-5",3052
,"Wake County, NC","37183","Native Hawaiian or Other Pacific Islander","NHOPI",55
,"Wake County, NC","37183","White","2106-3",7834
,"Wake County, NC","37183","More than one race","M",296
,"Wake County, NC","37183","Unknown or Not Stated","UNK",0
,"Wake County, NC","37183","Not Available","NA",0
,"Wake County, NC","37183","Not Reported","NR",0
,"Wayne County, NC","37191","American Indian or Alaska Native","1002-5",Suppressed
,"Wayne County, NC","37191","Asian","A",20
,"Wayne County, NC","37191","Black or African American","2054-5",533
,"Wayne County, NC","37191","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Wayne County, NC","37191","White","2106-3",930
,"Wayne County, NC","37191","More than one race","M",40
,"Wayne County, NC","37191","Unknown or Not Stated","UNK",0
,"Wayne County, NC","37191","Not Available","NA",0
,"Wayne County, NC","37191","Not Reported","NR",0
,"Unidentified Counties, NC","37999","American Indian or Alaska Native","1002-5",472
,"Unidentified Counties, NC","37999","Asian","A",366
,"Unidentified Counties, NC","37999","Black or African American","2054-5",7138
,"Unidentified Counties, NC","37999","Native Hawaiian or Other Pacific Islander","NHOPI",70
,"Unidentified Counties, NC","37999","White","2106-3",21572
,"Unidentified Counties, NC","37999","More than one race","M",787
,"Unidentified Counties, NC","37999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, NC","37999","Not Available","NA",0
,"Unidentified Counties, NC","37999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: North Carolina (37)"
"Year: 2020"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 10:07:13 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
