"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Alabama","01","Vaginal","1",37480
,"Alabama","01","Cesarean","2",20161
,"Alabama","01","Unknown or Not Stated","9",Suppressed
,"Alaska","02","Vaginal","1",7299
,"Alaska","02","Cesarean","2",2170
,"Alaska","02","Unknown or Not Stated","9",0
,"Arizona","04","Vaginal","1",55076
,"Arizona","04","Cesarean","2",21870
,"Arizona","04","Unknown or Not Stated","9",Suppressed
,"Arkansas","05","Vaginal","1",23330
,"Arkansas","05","Cesarean","2",11917
,"Arkansas","05","Unknown or Not Stated","9",Suppressed
,"California","06","Vaginal","1",292055
,"California","06","Cesarean","2",128196
,"California","06","Unknown or Not Stated","9",Suppressed
,"Colorado","08","Vaginal","1",44762
,"Colorado","08","Cesarean","2",16719
,"Colorado","08","Unknown or Not Stated","9",13
,"Connecticut","09","Vaginal","1",22055
,"Connecticut","09","Cesarean","2",11389
,"Connecticut","09","Unknown or Not Stated","9",16
,"Delaware","10","Vaginal","1",7090
,"Delaware","10","Cesarean","2",3293
,"Delaware","10","Unknown or Not Stated","9",Suppressed
,"District of Columbia","11","Vaginal","1",6007
,"District of Columbia","11","Cesarean","2",2866
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Vaginal","1",134295
,"Florida","12","Cesarean","2",75166
,"Florida","12","Unknown or Not Stated","9",210
,"Georgia","13","Vaginal","1",80909
,"Georgia","13","Cesarean","2",41462
,"Georgia","13","Unknown or Not Stated","9",102
,"Hawaii","15","Vaginal","1",11636
,"Hawaii","15","Cesarean","2",4147
,"Hawaii","15","Unknown or Not Stated","9",Suppressed
,"Idaho","16","Vaginal","1",16458
,"Idaho","16","Cesarean","2",5066
,"Idaho","16","Unknown or Not Stated","9",Suppressed
,"Illinois","17","Vaginal","1",92179
,"Illinois","17","Cesarean","2",41086
,"Illinois","17","Unknown or Not Stated","9",33
,"Indiana","18","Vaginal","1",54966
,"Indiana","18","Cesarean","2",23642
,"Indiana","18","Unknown or Not Stated","9",Suppressed
,"Iowa","19","Vaginal","1",25198
,"Iowa","19","Cesarean","2",10910
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Vaginal","1",24012
,"Kansas","20","Cesarean","2",10363
,"Kansas","20","Unknown or Not Stated","9",Suppressed
,"Kentucky","21","Vaginal","1",33937
,"Kentucky","21","Cesarean","2",17709
,"Kentucky","21","Unknown or Not Stated","9",22
,"Louisiana","22","Vaginal","1",36219
,"Louisiana","22","Cesarean","2",21107
,"Louisiana","22","Unknown or Not Stated","9",Suppressed
,"Maine","23","Vaginal","1",8108
,"Maine","23","Cesarean","2",3429
