"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Brown County, WI","55009","Female","F",1454
,"Brown County, WI","55009","Male","M",1500
,"Dane County, WI","55025","Female","F",2760
,"Dane County, WI","55025","Male","M",2905
,"Fond du Lac County, WI","55039","Female","F",497
,"Fond du Lac County, WI","55039","Male","M",473
,"Kenosha County, WI","55059","Female","F",841
,"Kenosha County, WI","55059","Male","M",897
,"La Crosse County, WI","55063","Female","F",560
,"La Crosse County, WI","55063","Male","M",562
,"Marathon County, WI","55073","Female","F",662
,"Marathon County, WI","55073","Male","M",752
,"Milwaukee County, WI","55079","Female","F",6042
,"Milwaukee County, WI","55079","Male","M",6235
,"Outagamie County, WI","55087","Female","F",1005
,"Outagamie County, WI","55087","Male","M",1038
,"Racine County, WI","55101","Female","F",1053
,"Racine County, WI","55101","Male","M",1061
,"Rock County, WI","55105","Female","F",902
,"Rock County, WI","55105","Male","M",981
,"Sheboygan County, WI","55117","Female","F",562
,"Sheboygan County, WI","55117","Male","M",569
,"Walworth County, WI","55127","Female","F",408
,"Walworth County, WI","55127","Male","M",425
,"Washington County, WI","55131","Female","F",585
,"Washington County, WI","55131","Male","M",578
,"Waukesha County, WI","55133","Female","F",1823
,"Waukesha County, WI","55133","Male","M",1920
,"Winnebago County, WI","55139","Female","F",797
,"Winnebago County, WI","55139","Male","M",906
,"Unidentified Counties, WI","55999","Female","F",9690
,"Unidentified Counties, WI","55999","Male","M",10151
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Wisconsin (55)"
"Year: 2020"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 9:29:58 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 9:29:58 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
