"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Bartow County, GA","13015","Female","F",633
,"Bartow County, GA","13015","Male","M",670
,"Bibb County, GA","13021","Female","F",1037
,"Bibb County, GA","13021","Male","M",1075
,"Carroll County, GA","13045","Female","F",745
,"Carroll County, GA","13045","Male","M",881
,"Chatham County, GA","13051","Female","F",1728
,"Chatham County, GA","13051","Male","M",1772
,"Cherokee County, GA","13057","Female","F",1193
,"Cherokee County, GA","13057","Male","M",1335
,"Clarke County, GA","13059","Female","F",595
,"Clarke County, GA","13059","Male","M",706
,"Clayton County, GA","13063","Female","F",1779
,"Clayton County, GA","13063","Male","M",1849
,"Cobb County, GA","13067","Female","F",4200
,"Cobb County, GA","13067","Male","M",4450
,"Columbia County, GA","13073","Female","F",800
,"Columbia County, GA","13073","Male","M",856
,"Coweta County, GA","13077","Female","F",721
,"Coweta County, GA","13077","Male","M",760
,"DeKalb County, GA","13089","Female","F",5064
,"DeKalb County, GA","13089","Male","M",5094
,"Douglas County, GA","13097","Female","F",804
,"Douglas County, GA","13097","Male","M",868
,"Fayette County, GA","13113","Female","F",402
,"Fayette County, GA","13113","Male","M",482
,"Forsyth County, GA","13117","Female","F",1071
,"Forsyth County, GA","13117","Male","M",1104
,"Fulton County, GA","13121","Female","F",5881
,"Fulton County, GA","13121","Male","M",6223
,"Gwinnett County, GA","13135","Female","F",5233
,"Gwinnett County, GA","13135","Male","M",5327
,"Hall County, GA","13139","Female","F",1241
,"Hall County, GA","13139","Male","M",1242
,"Henry County, GA","13151","Female","F",1298
,"Henry County, GA","13151","Male","M",1345
,"Houston County, GA","13153","Female","F",952
,"Houston County, GA","13153","Male","M",967
,"Lowndes County, GA","13185","Female","F",800
,"Lowndes County, GA","13185","Male","M",781
,"Muscogee County, GA","13215","Female","F",1373
,"Muscogee County, GA","13215","Male","M",1442
,"Paulding County, GA","13223","Female","F",828
,"Paulding County, GA","13223","Male","M",891
,"Richmond County, GA","13245","Female","F",1442
,"Richmond County, GA","13245","Male","M",1437
,"Whitfield County, GA","13313","Female","F",597
,"Whitfield County, GA","13313","Male","M",667
,"Unidentified Counties, GA","13999","Female","F",19396
,"Unidentified Counties, GA","13999","Male","M",20436
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Georgia (13)"
"Year: 2020"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 8:47:20 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 8:47:20 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
