"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",4349
,"Alabama","01","No","2",53241
,"Alabama","01","Unknown or Not Stated","9",57
,"Alaska","02","Yes","1",807
,"Alaska","02","No","2",8379
,"Alaska","02","Unknown or Not Stated","9",283
,"Arizona","04","Yes","1",2878
,"Arizona","04","No","2",73990
,"Arizona","04","Unknown or Not Stated","9",79
,"Arkansas","05","Yes","1",4061
,"Arkansas","05","No","2",30965
,"Arkansas","05","Unknown or Not Stated","9",225
,"California","06","Yes","1",4152
,"California","06","No","2",414926
,"California","06","Unknown or Not Stated","9",1181
,"Colorado","08","Yes","1",2909
,"Colorado","08","No","2",58475
,"Colorado","08","Unknown or Not Stated","9",110
,"Connecticut","09","Yes","1",1092
,"Connecticut","09","No","2",32313
,"Connecticut","09","Unknown or Not Stated","9",55
,"Delaware","10","Yes","1",726
,"Delaware","10","No","2",9588
,"Delaware","10","Unknown or Not Stated","9",78
,"District of Columbia","11","Yes","1",172
,"District of Columbia","11","No","2",8627
,"District of Columbia","11","Unknown or Not Stated","9",75
,"Florida","12","Yes","1",7763
,"Florida","12","No","2",201332
,"Florida","12","Unknown or Not Stated","9",576
,"Georgia","13","Yes","1",5083
,"Georgia","13","No","2",117181
,"Georgia","13","Unknown or Not Stated","9",209
,"Hawaii","15","Yes","1",291
,"Hawaii","15","No","2",15269
,"Hawaii","15","Unknown or Not Stated","9",225
,"Idaho","16","Yes","1",1420
,"Idaho","16","No","2",20045
,"Idaho","16","Unknown or Not Stated","9",68
,"Illinois","17","Yes","1",6722
,"Illinois","17","No","2",126195
,"Illinois","17","Unknown or Not Stated","9",381
,"Indiana","18","Yes","1",8555
,"Indiana","18","No","2",70039
,"Indiana","18","Unknown or Not Stated","9",22
,"Iowa","19","Yes","1",3713
,"Iowa","19","No","2",32372
,"Iowa","19","Unknown or Not Stated","9",29
,"Kansas","20","Yes","1",2801
,"Kansas","20","No","2",31443
,"Kansas","20","Unknown or Not Stated","9",132
,"Kentucky","21","Yes","1",7604
,"Kentucky","21","No","2",43803
,"Kentucky","21","Unknown or Not Stated","9",261
,"Louisiana","22","Yes","1",2818
,"Louisiana","22","No","2",54023
,"Louisiana","22","Unknown or Not Stated","9",487
,"Maine","23","Yes","1",1337
,"Maine","23","No","2",10197
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Yes","1",2846
,"Maryland","24","No","2",65390
,"Maryland","24","Unknown or Not Stated","9",318
,"Massachusetts","25","Yes","1",2348
,"Massachusetts","25","No","2",64050
,"Massachusetts","25","Unknown or Not Stated","9",30
,"Michigan","26","Yes","1",10115
,"Michigan","26","No","2",93294
,"Michigan","26","Unknown or Not Stated","9",665
,"Minnesota","27","Yes","1",4228
,"Minnesota","27","No","2",59140
,"Minnesota","27","Unknown or Not Stated","9",75
,"Mississippi","28","Yes","1",2772
,"Mississippi","28","No","2",32658
,"Mississippi","28","Unknown or Not Stated","9",43
,"Missouri","29","Yes","1",8219
,"Missouri","29","No","2",60429
,"Missouri","29","Unknown or Not Stated","9",637
,"Montana","30","Yes","1",1277
,"Montana","30","No","2",9508
,"Montana","30","Unknown or Not Stated","9",Suppressed
,"Nebraska","31","Yes","1",1832
,"Nebraska","31","No","2",22436
,"Nebraska","31","Unknown or Not Stated","9",23
,"Nevada","32","Yes","1",1209
,"Nevada","32","No","2",32051
,"Nevada","32","Unknown or Not Stated","9",393
,"New Hampshire","33","Yes","1",896
,"New Hampshire","33","No","2",10817
,"New Hampshire","33","Unknown or Not Stated","9",78
,"New Jersey","34","Yes","1",2439
,"New Jersey","34","No","2",95121
,"New Jersey","34","Unknown or Not Stated","9",394
,"New Mexico","35","Yes","1",1080
,"New Mexico","35","No","2",20701
,"New Mexico","35","Unknown or Not Stated","9",122
,"New York","36","Yes","1",7763
,"New York","36","No","2",201301
,"New York","36","Unknown or Not Stated","9",274
,"North Carolina","37","Yes","1",7921
,"North Carolina","37","No","2",108777
,"North Carolina","37","Unknown or Not Stated","9",32
,"North Dakota","38","Yes","1",973
,"North Dakota","38","No","2",9010
,"North Dakota","38","Unknown or Not Stated","9",76
,"Ohio","39","Yes","1",14809
,"Ohio","39","No","2",114257
,"Ohio","39","Unknown or Not Stated","9",125
,"Oklahoma","40","Yes","1",4413
,"Oklahoma","40","No","2",43192
,"Oklahoma","40","Unknown or Not Stated","9",18
,"Oregon","41","Yes","1",2683
,"Oregon","41","No","2",36992
,"Oregon","41","Unknown or Not Stated","9",145
,"Pennsylvania","42","Yes","1",11114
,"Pennsylvania","42","No","2",117148
,"Pennsylvania","42","Unknown or Not Stated","9",2431
,"Rhode Island","44","Yes","1",414
,"Rhode Island","44","No","2",9541
,"Rhode Island","44","Unknown or Not Stated","9",146
,"South Carolina","45","Yes","1",3639
,"South Carolina","45","No","2",52024
,"South Carolina","45","Unknown or Not Stated","9",41
,"South Dakota","46","Yes","1",1112
,"South Dakota","46","No","2",9820
,"South Dakota","46","Unknown or Not Stated","9",28
,"Tennessee","47","Yes","1",8519
,"Tennessee","47","No","2",69884
,"Tennessee","47","Unknown or Not Stated","9",286
,"Texas","48","Yes","1",7884
,"Texas","48","No","2",359814
,"Texas","48","Unknown or Not Stated","9",492
,"Utah","49","Yes","1",1011
,"Utah","49","No","2",44539
,"Utah","49","Unknown or Not Stated","9",152
,"Vermont","50","Yes","1",667
,"Vermont","50","No","2",4406
,"Vermont","50","Unknown or Not Stated","9",60
,"Virginia","51","Yes","1",4706
,"Virginia","51","No","2",90005
,"Virginia","51","Unknown or Not Stated","9",38
,"Washington","53","Yes","1",4023
,"Washington","53","No","2",77360
,"Washington","53","Unknown or Not Stated","9",1703
,"West Virginia","54","Yes","1",3697
,"West Virginia","54","No","2",13615
,"West Virginia","54","Unknown or Not Stated","9",11
,"Wisconsin","55","Yes","1",4987
,"Wisconsin","55","No","2",55170
,"Wisconsin","55","Unknown or Not Stated","9",437
,"Wyoming","56","Yes","1",735
,"Wyoming","56","No","2",5159
,"Wyoming","56","Unknown or Not Stated","9",234
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2020"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 1:43:10 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 1:43:10 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
