"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Atlantic County, NJ","34001","Hispanic or Latino","2135-2",811
,"Atlantic County, NJ","34001","Not Hispanic or Latino","2186-5",1979
,"Atlantic County, NJ","34001","Unknown or Not Stated","9",33
,"Bergen County, NJ","34003","Hispanic or Latino","2135-2",2422
,"Bergen County, NJ","34003","Not Hispanic or Latino","2186-5",6127
,"Bergen County, NJ","34003","Unknown or Not Stated","9",104
,"Burlington County, NJ","34005","Hispanic or Latino","2135-2",574
,"Burlington County, NJ","34005","Not Hispanic or Latino","2186-5",3742
,"Burlington County, NJ","34005","Unknown or Not Stated","9",60
,"Camden County, NJ","34007","Hispanic or Latino","2135-2",1506
,"Camden County, NJ","34007","Not Hispanic or Latino","2186-5",4359
,"Camden County, NJ","34007","Unknown or Not Stated","9",68
,"Cumberland County, NJ","34011","Hispanic or Latino","2135-2",839
,"Cumberland County, NJ","34011","Not Hispanic or Latino","2186-5",964
,"Cumberland County, NJ","34011","Unknown or Not Stated","9",16
,"Essex County, NJ","34013","Hispanic or Latino","2135-2",2874
,"Essex County, NJ","34013","Not Hispanic or Latino","2186-5",6569
,"Essex County, NJ","34013","Unknown or Not Stated","9",209
,"Gloucester County, NJ","34015","Hispanic or Latino","2135-2",253
,"Gloucester County, NJ","34015","Not Hispanic or Latino","2186-5",2453
,"Gloucester County, NJ","34015","Unknown or Not Stated","9",21
,"Hudson County, NJ","34017","Hispanic or Latino","2135-2",3359
,"Hudson County, NJ","34017","Not Hispanic or Latino","2186-5",6044
,"Hudson County, NJ","34017","Unknown or Not Stated","9",141
,"Hunterdon County, NJ","34019","Hispanic or Latino","2135-2",134
,"Hunterdon County, NJ","34019","Not Hispanic or Latino","2186-5",844
,"Hunterdon County, NJ","34019","Unknown or Not Stated","9",16
,"Mercer County, NJ","34021","Hispanic or Latino","2135-2",1396
,"Mercer County, NJ","34021","Not Hispanic or Latino","2186-5",2555
,"Mercer County, NJ","34021","Unknown or Not Stated","9",34
,"Middlesex County, NJ","34023","Hispanic or Latino","2135-2",2671
,"Middlesex County, NJ","34023","Not Hispanic or Latino","2186-5",5659
,"Middlesex County, NJ","34023","Unknown or Not Stated","9",96
,"Monmouth County, NJ","34025","Hispanic or Latino","2135-2",1124
,"Monmouth County, NJ","34025","Not Hispanic or Latino","2186-5",4678
,"Monmouth County, NJ","34025","Unknown or Not Stated","9",50
,"Morris County, NJ","34027","Hispanic or Latino","2135-2",895
,"Morris County, NJ","34027","Not Hispanic or Latino","2186-5",3574
,"Morris County, NJ","34027","Unknown or Not Stated","9",111
,"Ocean County, NJ","34029","Hispanic or Latino","2135-2",991
,"Ocean County, NJ","34029","Not Hispanic or Latino","2186-5",8251
,"Ocean County, NJ","34029","Unknown or Not Stated","9",74
,"Passaic County, NJ","34031","Hispanic or Latino","2135-2",3279
,"Passaic County, NJ","34031","Not Hispanic or Latino","2186-5",2907
,"Passaic County, NJ","34031","Unknown or Not Stated","9",74
,"Somerset County, NJ","34035","Hispanic or Latino","2135-2",725
,"Somerset County, NJ","34035","Not Hispanic or Latino","2186-5",2152
,"Somerset County, NJ","34035","Unknown or Not Stated","9",50
,"Sussex County, NJ","34037","Hispanic or Latino","2135-2",167
,"Sussex County, NJ","34037","Not Hispanic or Latino","2186-5",1102
,"Sussex County, NJ","34037","Unknown or Not Stated","9",30
,"Union County, NJ","34039","Hispanic or Latino","2135-2",2780
,"Union County, NJ","34039","Not Hispanic or Latino","2186-5",3471
,"Union County, NJ","34039","Unknown or Not Stated","9",118
,"Warren County, NJ","34041","Hispanic or Latino","2135-2",166
,"Warren County, NJ","34041","Not Hispanic or Latino","2186-5",837
,"Warren County, NJ","34041","Unknown or Not Stated","9",15
,"Unidentified Counties, NJ","34999","Hispanic or Latino","2135-2",239
,"Unidentified Counties, NJ","34999","Not Hispanic or Latino","2186-5",1151
,"Unidentified Counties, NJ","34999","Unknown or Not Stated","9",11
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Jersey (34)"
"Year: 2020"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 10:58:56 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 10:58:56 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
