"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"St. Joseph County, IN","18141","20-24 years","20-24",733
,"St. Joseph County, IN","18141","25-29 years","25-29",1008
,"St. Joseph County, IN","18141","30-34 years","30-34",852
,"St. Joseph County, IN","18141","35-39 years","35-39",379
,"St. Joseph County, IN","18141","40-44 years","40-44",71
,"St. Joseph County, IN","18141","45-49 years","45-49",Suppressed
,"St. Joseph County, IN","18141","50 years and over","50+",0
,"Tippecanoe County, IN","18157","Under 15 years","15",Suppressed
,"Tippecanoe County, IN","18157","15-19 years","15-19",90
,"Tippecanoe County, IN","18157","20-24 years","20-24",441
,"Tippecanoe County, IN","18157","25-29 years","25-29",691
,"Tippecanoe County, IN","18157","30-34 years","30-34",560
,"Tippecanoe County, IN","18157","35-39 years","35-39",248
,"Tippecanoe County, IN","18157","40-44 years","40-44",61
,"Tippecanoe County, IN","18157","45-49 years","45-49",Suppressed
,"Tippecanoe County, IN","18157","50 years and over","50+",0
,"Vanderburgh County, IN","18163","Under 15 years","15",0
,"Vanderburgh County, IN","18163","15-19 years","15-19",142
,"Vanderburgh County, IN","18163","20-24 years","20-24",518
,"Vanderburgh County, IN","18163","25-29 years","25-29",706
,"Vanderburgh County, IN","18163","30-34 years","30-34",502
,"Vanderburgh County, IN","18163","35-39 years","35-39",222
,"Vanderburgh County, IN","18163","40-44 years","40-44",42
,"Vanderburgh County, IN","18163","45-49 years","45-49",Suppressed
,"Vanderburgh County, IN","18163","50 years and over","50+",0
,"Vigo County, IN","18167","Under 15 years","15",0
,"Vigo County, IN","18167","15-19 years","15-19",90
,"Vigo County, IN","18167","20-24 years","20-24",325
,"Vigo County, IN","18167","25-29 years","25-29",350
,"Vigo County, IN","18167","30-34 years","30-34",249
,"Vigo County, IN","18167","35-39 years","35-39",99
,"Vigo County, IN","18167","40-44 years","40-44",14
,"Vigo County, IN","18167","45-49 years","45-49",0
,"Vigo County, IN","18167","50 years and over","50+",0
,"Unidentified Counties, IN","18999","Under 15 years","15",20
,"Unidentified Counties, IN","18999","15-19 years","15-19",1579
,"Unidentified Counties, IN","18999","20-24 years","20-24",7220
,"Unidentified Counties, IN","18999","25-29 years","25-29",9365
,"Unidentified Counties, IN","18999","30-34 years","30-34",6629
,"Unidentified Counties, IN","18999","35-39 years","35-39",2593
,"Unidentified Counties, IN","18999","40-44 years","40-44",519
,"Unidentified Counties, IN","18999","45-49 years","45-49",28
,"Unidentified Counties, IN","18999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Indiana (18)"
"Year: 2020"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 7:55:31 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 7:55:31 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
