"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Allen County, OH","39003","Female","F",558
,"Allen County, OH","39003","Male","M",626
,"Ashtabula County, OH","39007","Female","F",479
,"Ashtabula County, OH","39007","Male","M",537
,"Butler County, OH","39017","Female","F",2154
,"Butler County, OH","39017","Male","M",2212
,"Clark County, OH","39023","Female","F",731
,"Clark County, OH","39023","Male","M",775
,"Clermont County, OH","39025","Female","F",1056
,"Clermont County, OH","39025","Male","M",1111
,"Columbiana County, OH","39029","Female","F",486
,"Columbiana County, OH","39029","Male","M",498
,"Cuyahoga County, OH","39035","Female","F",6428
,"Cuyahoga County, OH","39035","Male","M",6763
,"Delaware County, OH","39041","Female","F",951
,"Delaware County, OH","39041","Male","M",1024
,"Fairfield County, OH","39045","Female","F",797
,"Fairfield County, OH","39045","Male","M",830
,"Franklin County, OH","39049","Female","F",8525
,"Franklin County, OH","39049","Male","M",9032
,"Greene County, OH","39057","Female","F",796
,"Greene County, OH","39057","Male","M",916
,"Hamilton County, OH","39061","Female","F",5130
,"Hamilton County, OH","39061","Male","M",5253
,"Lake County, OH","39085","Female","F",957
,"Lake County, OH","39085","Male","M",1064
,"Licking County, OH","39089","Female","F",867
,"Licking County, OH","39089","Male","M",955
,"Lorain County, OH","39093","Female","F",1497
,"Lorain County, OH","39093","Male","M",1688
,"Lucas County, OH","39095","Female","F",2487
,"Lucas County, OH","39095","Male","M",2684
,"Mahoning County, OH","39099","Female","F",1125
,"Mahoning County, OH","39099","Male","M",1201
,"Medina County, OH","39103","Female","F",777
,"Medina County, OH","39103","Male","M",806
,"Miami County, OH","39109","Female","F",536
,"Miami County, OH","39109","Male","M",608
,"Montgomery County, OH","39113","Female","F",2984
,"Montgomery County, OH","39113","Male","M",3186
,"Portage County, OH","39133","Female","F",637
,"Portage County, OH","39133","Male","M",669
,"Richland County, OH","39139","Female","F",652
,"Richland County, OH","39139","Male","M",669
,"Stark County, OH","39151","Female","F",1943
,"Stark County, OH","39151","Male","M",1991
,"Summit County, OH","39153","Female","F",2664
,"Summit County, OH","39153","Male","M",2817
,"Trumbull County, OH","39155","Female","F",974
,"Trumbull County, OH","39155","Male","M",1009
,"Warren County, OH","39165","Female","F",1123
,"Warren County, OH","39165","Male","M",1224
,"Wayne County, OH","39169","Female","F",684
,"Wayne County, OH","39169","Male","M",714
,"Wood County, OH","39173","Female","F",600
,"Wood County, OH","39173","Male","M",580
,"Unidentified Counties, OH","39999","Female","F",14176
,"Unidentified Counties, OH","39999","Male","M",14975
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Ohio (39)"
"Year: 2020"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 9:14:35 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 9:14:35 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
