"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"McLennan County, TX","48309","15-19 years","15-19",233
,"McLennan County, TX","48309","20-24 years","20-24",792
,"McLennan County, TX","48309","25-29 years","25-29",978
,"McLennan County, TX","48309","30-34 years","30-34",797
,"McLennan County, TX","48309","35-39 years","35-39",321
,"McLennan County, TX","48309","40-44 years","40-44",65
,"McLennan County, TX","48309","45-49 years","45-49",Suppressed
,"McLennan County, TX","48309","50 years and over","50+",0
,"Midland County, TX","48329","Under 15 years","15",Suppressed
,"Midland County, TX","48329","15-19 years","15-19",174
,"Midland County, TX","48329","20-24 years","20-24",672
,"Midland County, TX","48329","25-29 years","25-29",917
,"Midland County, TX","48329","30-34 years","30-34",803
,"Midland County, TX","48329","35-39 years","35-39",301
,"Midland County, TX","48329","40-44 years","40-44",48
,"Midland County, TX","48329","45-49 years","45-49",Suppressed
,"Midland County, TX","48329","50 years and over","50+",0
,"Montgomery County, TX","48339","Under 15 years","15",Suppressed
,"Montgomery County, TX","48339","15-19 years","15-19",348
,"Montgomery County, TX","48339","20-24 years","20-24",1460
,"Montgomery County, TX","48339","25-29 years","25-29",2155
,"Montgomery County, TX","48339","30-34 years","30-34",2148
,"Montgomery County, TX","48339","35-39 years","35-39",1094
,"Montgomery County, TX","48339","40-44 years","40-44",199
,"Montgomery County, TX","48339","45-49 years","45-49",19
,"Montgomery County, TX","48339","50 years and over","50+",Suppressed
,"Nueces County, TX","48355","Under 15 years","15",Suppressed
,"Nueces County, TX","48355","15-19 years","15-19",317
,"Nueces County, TX","48355","20-24 years","20-24",1102
,"Nueces County, TX","48355","25-29 years","25-29",1299
,"Nueces County, TX","48355","30-34 years","30-34",1051
,"Nueces County, TX","48355","35-39 years","35-39",512
,"Nueces County, TX","48355","40-44 years","40-44",102
,"Nueces County, TX","48355","45-49 years","45-49",Suppressed
,"Nueces County, TX","48355","50 years and over","50+",0
,"Parker County, TX","48367","Under 15 years","15",0
,"Parker County, TX","48367","15-19 years","15-19",79
,"Parker County, TX","48367","20-24 years","20-24",296
,"Parker County, TX","48367","25-29 years","25-29",457
,"Parker County, TX","48367","30-34 years","30-34",529
,"Parker County, TX","48367","35-39 years","35-39",233
,"Parker County, TX","48367","40-44 years","40-44",40
,"Parker County, TX","48367","45-49 years","45-49",0
,"Parker County, TX","48367","50 years and over","50+",0
,"Potter County, TX","48375","Under 15 years","15",Suppressed
,"Potter County, TX","48375","15-19 years","15-19",151
,"Potter County, TX","48375","20-24 years","20-24",451
,"Potter County, TX","48375","25-29 years","25-29",461
,"Potter County, TX","48375","30-34 years","30-34",343
,"Potter County, TX","48375","35-39 years","35-39",139
,"Potter County, TX","48375","40-44 years","40-44",31
,"Potter County, TX","48375","45-49 years","45-49",Suppressed
,"Potter County, TX","48375","50 years and over","50+",0
,"Randall County, TX","48381","Under 15 years","15",Suppressed
,"Randall County, TX","48381","15-19 years","15-19",86
,"Randall County, TX","48381","20-24 years","20-24",406
,"Randall County, TX","48381","25-29 years","25-29",541
,"Randall County, TX","48381","30-34 years","30-34",391
,"Randall County, TX","48381","35-39 years","35-39",151
,"Randall County, TX","48381","40-44 years","40-44",18
