"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Allen County, OH","39003","Hispanic or Latino","2135-2",51
,"Allen County, OH","39003","Not Hispanic or Latino","2186-5",1132
,"Allen County, OH","39003","Unknown or Not Stated","9",Suppressed
,"Ashtabula County, OH","39007","Hispanic or Latino","2135-2",59
,"Ashtabula County, OH","39007","Not Hispanic or Latino","2186-5",950
,"Ashtabula County, OH","39007","Unknown or Not Stated","9",Suppressed
,"Butler County, OH","39017","Hispanic or Latino","2135-2",450
,"Butler County, OH","39017","Not Hispanic or Latino","2186-5",3916
,"Butler County, OH","39017","Unknown or Not Stated","9",0
,"Clark County, OH","39023","Hispanic or Latino","2135-2",94
,"Clark County, OH","39023","Not Hispanic or Latino","2186-5",1410
,"Clark County, OH","39023","Unknown or Not Stated","9",Suppressed
,"Clermont County, OH","39025","Hispanic or Latino","2135-2",52
,"Clermont County, OH","39025","Not Hispanic or Latino","2186-5",2113
,"Clermont County, OH","39025","Unknown or Not Stated","9",Suppressed
,"Columbiana County, OH","39029","Hispanic or Latino","2135-2",40
,"Columbiana County, OH","39029","Not Hispanic or Latino","2186-5",942
,"Columbiana County, OH","39029","Unknown or Not Stated","9",Suppressed
,"Cuyahoga County, OH","39035","Hispanic or Latino","2135-2",1019
,"Cuyahoga County, OH","39035","Not Hispanic or Latino","2186-5",12147
,"Cuyahoga County, OH","39035","Unknown or Not Stated","9",25
,"Delaware County, OH","39041","Hispanic or Latino","2135-2",80
,"Delaware County, OH","39041","Not Hispanic or Latino","2186-5",1895
,"Delaware County, OH","39041","Unknown or Not Stated","9",0
,"Fairfield County, OH","39045","Hispanic or Latino","2135-2",42
,"Fairfield County, OH","39045","Not Hispanic or Latino","2186-5",1582
,"Fairfield County, OH","39045","Unknown or Not Stated","9",Suppressed
,"Franklin County, OH","39049","Hispanic or Latino","2135-2",1607
,"Franklin County, OH","39049","Not Hispanic or Latino","2186-5",15911
,"Franklin County, OH","39049","Unknown or Not Stated","9",39
,"Greene County, OH","39057","Hispanic or Latino","2135-2",44
,"Greene County, OH","39057","Not Hispanic or Latino","2186-5",1668
,"Greene County, OH","39057","Unknown or Not Stated","9",0
,"Hamilton County, OH","39061","Hispanic or Latino","2135-2",841
,"Hamilton County, OH","39061","Not Hispanic or Latino","2186-5",9538
,"Hamilton County, OH","39061","Unknown or Not Stated","9",Suppressed
,"Lake County, OH","39085","Hispanic or Latino","2135-2",155
,"Lake County, OH","39085","Not Hispanic or Latino","2186-5",1865
,"Lake County, OH","39085","Unknown or Not Stated","9",Suppressed
