"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Alabama","01","499 grams or less","01",99
,"Alabama","01","500 - 999 grams","02",418
,"Alabama","01","1000 - 1499 grams","03",614
,"Alabama","01","1500 - 1999 grams","04",1229
,"Alabama","01","2000 - 2499 grams","05",3859
,"Alabama","01","2500 - 2999 grams","06",12475
,"Alabama","01","3000 - 3499 grams","07",21946
,"Alabama","01","3500 - 3999 grams","08",13471
,"Alabama","01","4000 - 4499 grams","09",3047
,"Alabama","01","4500 - 4999 grams","10",413
,"Alabama","01","5000 - 8165 grams","11",59
,"Alabama","01","Unknown or Not Stated","12",17
,"Alaska","02","499 grams or less","01",11
,"Alaska","02","500 - 999 grams","02",42
,"Alaska","02","1000 - 1499 grams","03",50
,"Alaska","02","1500 - 1999 grams","04",124
,"Alaska","02","2000 - 2499 grams","05",399
,"Alaska","02","2500 - 2999 grams","06",1381
,"Alaska","02","3000 - 3499 grams","07",3322
,"Alaska","02","3500 - 3999 grams","08",2987
,"Alaska","02","4000 - 4499 grams","09",968
,"Alaska","02","4500 - 4999 grams","10",168
,"Alaska","02","5000 - 8165 grams","11",15
,"Alaska","02","Unknown or Not Stated","12",Suppressed
,"Arizona","04","499 grams or less","01",91
,"Arizona","04","500 - 999 grams","02",333
,"Arizona","04","1000 - 1499 grams","03",443
,"Arizona","04","1500 - 1999 grams","04",1081
,"Arizona","04","2000 - 2499 grams","05",3718
,"Arizona","04","2500 - 2999 grams","06",14054
,"Arizona","04","3000 - 3499 grams","07",30626
,"Arizona","04","3500 - 3999 grams","08",20729
,"Arizona","04","4000 - 4499 grams","09",4987
,"Arizona","04","4500 - 4999 grams","10",719
,"Arizona","04","5000 - 8165 grams","11",88
,"Arizona","04","Unknown or Not Stated","12",78
,"Arkansas","05","499 grams or less","01",68
,"Arkansas","05","500 - 999 grams","02",170
,"Arkansas","05","1000 - 1499 grams","03",273
,"Arkansas","05","1500 - 1999 grams","04",714
,"Arkansas","05","2000 - 2499 grams","05",2163
,"Arkansas","05","2500 - 2999 grams","06",7113
,"Arkansas","05","3000 - 3499 grams","07",13711
,"Arkansas","05","3500 - 3999 grams","08",8603
,"Arkansas","05","4000 - 4499 grams","09",2080
,"Arkansas","05","4500 - 4999 grams","10",296
,"Arkansas","05","5000 - 8165 grams","11",32
,"Arkansas","05","Unknown or Not Stated","12",28
,"California","06","499 grams or less","01",403
,"California","06","500 - 999 grams","02",1586
,"California","06","1000 - 1499 grams","03",2540
,"California","06","1500 - 1999 grams","04",5790
,"California","06","2000 - 2499 grams","05",18742
,"California","06","2500 - 2999 grams","06",77803
,"California","06","3000 - 3499 grams","07",166583
,"California","06","3500 - 3999 grams","08",113431
,"California","06","4000 - 4499 grams","09",28801
,"California","06","4500 - 4999 grams","10",3969
,"California","06","5000 - 8165 grams","11",529
,"California","06","Unknown or Not Stated","12",82
,"Colorado","08","499 grams or less","01",69
,"Colorado","08","500 - 999 grams","02",227
,"Colorado","08","1000 - 1499 grams","03",382
,"Colorado","08","1500 - 1999 grams","04",1023
,"Colorado","08","2000 - 2499 grams","05",3969
,"Colorado","08","2500 - 2999 grams","06",13790
,"Colorado","08","3000 - 3499 grams","07",25530
,"Colorado","08","3500 - 3999 grams","08",13449
,"Colorado","08","4000 - 4499 grams","09",2503
,"Colorado","08","4500 - 4999 grams","10",269
,"Colorado","08","5000 - 8165 grams","11",22
