"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"St. Joseph County, IN","18141","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"St. Joseph County, IN","18141","White","2106-3",2427
,"St. Joseph County, IN","18141","More than one race","M",124
,"St. Joseph County, IN","18141","Unknown or Not Stated","UNK",0
,"St. Joseph County, IN","18141","Not Available","NA",0
,"St. Joseph County, IN","18141","Not Reported","NR",0
,"Tippecanoe County, IN","18157","American Indian or Alaska Native","1002-5",Suppressed
,"Tippecanoe County, IN","18157","Asian","A",121
,"Tippecanoe County, IN","18157","Black or African American","2054-5",240
,"Tippecanoe County, IN","18157","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Tippecanoe County, IN","18157","White","2106-3",1679
,"Tippecanoe County, IN","18157","More than one race","M",48
,"Tippecanoe County, IN","18157","Unknown or Not Stated","UNK",0
,"Tippecanoe County, IN","18157","Not Available","NA",0
,"Tippecanoe County, IN","18157","Not Reported","NR",0
,"Vanderburgh County, IN","18163","American Indian or Alaska Native","1002-5",Suppressed
,"Vanderburgh County, IN","18163","Asian","A",26
,"Vanderburgh County, IN","18163","Black or African American","2054-5",283
,"Vanderburgh County, IN","18163","Native Hawaiian or Other Pacific Islander","NHOPI",28
,"Vanderburgh County, IN","18163","White","2106-3",1717
,"Vanderburgh County, IN","18163","More than one race","M",78
,"Vanderburgh County, IN","18163","Unknown or Not Stated","UNK",0
,"Vanderburgh County, IN","18163","Not Available","NA",0
,"Vanderburgh County, IN","18163","Not Reported","NR",0
,"Vigo County, IN","18167","American Indian or Alaska Native","1002-5",Suppressed
,"Vigo County, IN","18167","Asian","A",13
,"Vigo County, IN","18167","Black or African American","2054-5",77
,"Vigo County, IN","18167","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Vigo County, IN","18167","White","2106-3",1007
,"Vigo County, IN","18167","More than one race","M",28
,"Vigo County, IN","18167","Unknown or Not Stated","UNK",0
,"Vigo County, IN","18167","Not Available","NA",0
,"Vigo County, IN","18167","Not Reported","NR",0
,"Unidentified Counties, IN","18999","American Indian or Alaska Native","1002-5",24
,"Unidentified Counties, IN","18999","Asian","A",369
,"Unidentified Counties, IN","18999","Black or African American","2054-5",602
,"Unidentified Counties, IN","18999","Native Hawaiian or Other Pacific Islander","NHOPI",16
,"Unidentified Counties, IN","18999","White","2106-3",26617
,"Unidentified Counties, IN","18999","More than one race","M",325
,"Unidentified Counties, IN","18999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, IN","18999","Not Available","NA",0
,"Unidentified Counties, IN","18999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Indiana (18)"
"Year: 2020"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 9:46:51 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
