"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",5233
,"Alabama","01","Not Hispanic or Latino","2186-5",52404
,"Alabama","01","Unknown or Not Stated","9",10
,"Alaska","02","Hispanic or Latino","2135-2",734
,"Alaska","02","Not Hispanic or Latino","2186-5",8649
,"Alaska","02","Unknown or Not Stated","9",86
,"Arizona","04","Hispanic or Latino","2135-2",32999
,"Arizona","04","Not Hispanic or Latino","2186-5",43503
,"Arizona","04","Unknown or Not Stated","9",445
,"Arkansas","05","Hispanic or Latino","2135-2",3939
,"Arkansas","05","Not Hispanic or Latino","2186-5",31028
,"Arkansas","05","Unknown or Not Stated","9",284
,"California","06","Hispanic or Latino","2135-2",194295
,"California","06","Not Hispanic or Latino","2186-5",208750
,"California","06","Unknown or Not Stated","9",17214
,"Colorado","08","Hispanic or Latino","2135-2",18111
,"Colorado","08","Not Hispanic or Latino","2186-5",42697
,"Colorado","08","Unknown or Not Stated","9",686
,"Connecticut","09","Hispanic or Latino","2135-2",8861
,"Connecticut","09","Not Hispanic or Latino","2186-5",24570
,"Connecticut","09","Unknown or Not Stated","9",29
,"Delaware","10","Hispanic or Latino","2135-2",1768
,"Delaware","10","Not Hispanic or Latino","2186-5",8590
,"Delaware","10","Unknown or Not Stated","9",34
,"District of Columbia","11","Hispanic or Latino","2135-2",1349
,"District of Columbia","11","Not Hispanic or Latino","2186-5",7519
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Hispanic or Latino","2135-2",66156
,"Florida","12","Not Hispanic or Latino","2186-5",143401
,"Florida","12","Unknown or Not Stated","9",114
,"Georgia","13","Hispanic or Latino","2135-2",18415
,"Georgia","13","Not Hispanic or Latino","2186-5",103372
,"Georgia","13","Unknown or Not Stated","9",686
,"Hawaii","15","Hispanic or Latino","2135-2",2623
,"Hawaii","15","Not Hispanic or Latino","2186-5",13103
,"Hawaii","15","Unknown or Not Stated","9",59
,"Idaho","16","Hispanic or Latino","2135-2",3687
,"Idaho","16","Not Hispanic or Latino","2186-5",17761
,"Idaho","16","Unknown or Not Stated","9",85
,"Illinois","17","Hispanic or Latino","2135-2",28808
,"Illinois","17","Not Hispanic or Latino","2186-5",103537
,"Illinois","17","Unknown or Not Stated","9",953
,"Indiana","18","Hispanic or Latino","2135-2",8480
,"Indiana","18","Not Hispanic or Latino","2186-5",70101
,"Indiana","18","Unknown or Not Stated","9",35
,"Iowa","19","Hispanic or Latino","2135-2",3725
,"Iowa","19","Not Hispanic or Latino","2186-5",32383
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Hispanic or Latino","2135-2",5970
,"Kansas","20","Not Hispanic or Latino","2186-5",28340
,"Kansas","20","Unknown or Not Stated","9",66
,"Kentucky","21","Hispanic or Latino","2135-2",3472
,"Kentucky","21","Not Hispanic or Latino","2186-5",48111
,"Kentucky","21","Unknown or Not Stated","9",85
,"Louisiana","22","Hispanic or Latino","2135-2",5016
,"Louisiana","22","Not Hispanic or Latino","2186-5",52270
,"Louisiana","22","Unknown or Not Stated","9",42
,"Maine","23","Hispanic or Latino","2135-2",258
,"Maine","23","Not Hispanic or Latino","2186-5",11274
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Hispanic or Latino","2135-2",13034
,"Maryland","24","Not Hispanic or Latino","2186-5",55378
,"Maryland","24","Unknown or Not Stated","9",142
,"Massachusetts","25","Hispanic or Latino","2135-2",14080
,"Massachusetts","25","Not Hispanic or Latino","2186-5",51244
,"Massachusetts","25","Unknown or Not Stated","9",1104
,"Michigan","26","Hispanic or Latino","2135-2",6985
,"Michigan","26","Not Hispanic or Latino","2186-5",96800
,"Michigan","26","Unknown or Not Stated","9",289
,"Minnesota","27","Hispanic or Latino","2135-2",5320
,"Minnesota","27","Not Hispanic or Latino","2186-5",57952
,"Minnesota","27","Unknown or Not Stated","9",171
,"Mississippi","28","Hispanic or Latino","2135-2",1679
,"Mississippi","28","Not Hispanic or Latino","2186-5",33786
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Hispanic or Latino","2135-2",4469
,"Missouri","29","Not Hispanic or Latino","2186-5",64557
,"Missouri","29","Unknown or Not Stated","9",259
,"Montana","30","Hispanic or Latino","2135-2",569
,"Montana","30","Not Hispanic or Latino","2186-5",10210
,"Montana","30","Unknown or Not Stated","9",12
,"Nebraska","31","Hispanic or Latino","2135-2",4393
,"Nebraska","31","Not Hispanic or Latino","2186-5",19891
,"Nebraska","31","Unknown or Not Stated","9",Suppressed
,"Nevada","32","Hispanic or Latino","2135-2",12763
,"Nevada","32","Not Hispanic or Latino","2186-5",20762
,"Nevada","32","Unknown or Not Stated","9",128
,"New Hampshire","33","Hispanic or Latino","2135-2",797
,"New Hampshire","33","Not Hispanic or Latino","2186-5",10919
,"New Hampshire","33","Unknown or Not Stated","9",75
,"New Jersey","34","Hispanic or Latino","2135-2",27205
,"New Jersey","34","Not Hispanic or Latino","2186-5",69418
,"New Jersey","34","Unknown or Not Stated","9",1331
,"New Mexico","35","Hispanic or Latino","2135-2",12406
,"New Mexico","35","Not Hispanic or Latino","2186-5",9461
,"New Mexico","35","Unknown or Not Stated","9",36
,"New York","36","Hispanic or Latino","2135-2",47904
,"New York","36","Not Hispanic or Latino","2186-5",159181
,"New York","36","Unknown or Not Stated","9",2253
,"North Carolina","37","Hispanic or Latino","2135-2",19449
,"North Carolina","37","Not Hispanic or Latino","2186-5",97157
,"North Carolina","37","Unknown or Not Stated","9",124
,"North Dakota","38","Hispanic or Latino","2135-2",672
,"North Dakota","38","Not Hispanic or Latino","2186-5",9196
,"North Dakota","38","Unknown or Not Stated","9",191
,"Ohio","39","Hispanic or Latino","2135-2",7669
,"Ohio","39","Not Hispanic or Latino","2186-5",121360
,"Ohio","39","Unknown or Not Stated","9",162
,"Oklahoma","40","Hispanic or Latino","2135-2",7561
,"Oklahoma","40","Not Hispanic or Latino","2186-5",39997
