"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Adams County, PA","42001","Hispanic or Latino","2135-2",91
,"Adams County, PA","42001","Not Hispanic or Latino","2186-5",776
,"Adams County, PA","42001","Unknown or Not Stated","9",Suppressed
,"Allegheny County, PA","42003","Hispanic or Latino","2135-2",340
,"Allegheny County, PA","42003","Not Hispanic or Latino","2186-5",11671
,"Allegheny County, PA","42003","Unknown or Not Stated","9",93
,"Beaver County, PA","42007","Hispanic or Latino","2135-2",48
,"Beaver County, PA","42007","Not Hispanic or Latino","2186-5",1473
,"Beaver County, PA","42007","Unknown or Not Stated","9",Suppressed
,"Berks County, PA","42011","Hispanic or Latino","2135-2",1644
,"Berks County, PA","42011","Not Hispanic or Latino","2186-5",2700
,"Berks County, PA","42011","Unknown or Not Stated","9",16
,"Blair County, PA","42013","Hispanic or Latino","2135-2",16
,"Blair County, PA","42013","Not Hispanic or Latino","2186-5",1170
,"Blair County, PA","42013","Unknown or Not Stated","9",Suppressed
,"Bucks County, PA","42017","Hispanic or Latino","2135-2",498
,"Bucks County, PA","42017","Not Hispanic or Latino","2186-5",4920
,"Bucks County, PA","42017","Unknown or Not Stated","9",44
,"Butler County, PA","42019","Hispanic or Latino","2135-2",46
,"Butler County, PA","42019","Not Hispanic or Latino","2186-5",1653
,"Butler County, PA","42019","Unknown or Not Stated","9",Suppressed
,"Cambria County, PA","42021","Hispanic or Latino","2135-2",20
,"Cambria County, PA","42021","Not Hispanic or Latino","2186-5",1185
,"Cambria County, PA","42021","Unknown or Not Stated","9",0
,"Centre County, PA","42027","Hispanic or Latino","2135-2",41
,"Centre County, PA","42027","Not Hispanic or Latino","2186-5",1018
,"Centre County, PA","42027","Unknown or Not Stated","9",10
,"Chester County, PA","42029","Hispanic or Latino","2135-2",730
,"Chester County, PA","42029","Not Hispanic or Latino","2186-5",4437
,"Chester County, PA","42029","Unknown or Not Stated","9",39
,"Cumberland County, PA","42041","Hispanic or Latino","2135-2",180
,"Cumberland County, PA","42041","Not Hispanic or Latino","2186-5",2411
,"Cumberland County, PA","42041","Unknown or Not Stated","9",11
,"Dauphin County, PA","42043","Hispanic or Latino","2135-2",549
,"Dauphin County, PA","42043","Not Hispanic or Latino","2186-5",2764
,"Dauphin County, PA","42043","Unknown or Not Stated","9",21
,"Delaware County, PA","42045","Hispanic or Latino","2135-2",474
,"Delaware County, PA","42045","Not Hispanic or Latino","2186-5",5632
,"Delaware County, PA","42045","Unknown or Not Stated","9",175
,"Erie County, PA","42049","Hispanic or Latino","2135-2",208
,"Erie County, PA","42049","Not Hispanic or Latino","2186-5",2397
,"Erie County, PA","42049","Unknown or Not Stated","9",Suppressed
,"Fayette County, PA","42051","Hispanic or Latino","2135-2",20
,"Fayette County, PA","42051","Not Hispanic or Latino","2186-5",1254
,"Fayette County, PA","42051","Unknown or Not Stated","9",Suppressed
,"Franklin County, PA","42055","Hispanic or Latino","2135-2",187
,"Franklin County, PA","42055","Not Hispanic or Latino","2186-5",1437
,"Franklin County, PA","42055","Unknown or Not Stated","9",11
,"Lackawanna County, PA","42069","Hispanic or Latino","2135-2",334
,"Lackawanna County, PA","42069","Not Hispanic or Latino","2186-5",1707
,"Lackawanna County, PA","42069","Unknown or Not Stated","9",13
,"Lancaster County, PA","42071","Hispanic or Latino","2135-2",997
,"Lancaster County, PA","42071","Not Hispanic or Latino","2186-5",5849
,"Lancaster County, PA","42071","Unknown or Not Stated","9",28
,"Lebanon County, PA","42075","Hispanic or Latino","2135-2",339
,"Lebanon County, PA","42075","Not Hispanic or Latino","2186-5",1197
,"Lebanon County, PA","42075","Unknown or Not Stated","9",Suppressed
,"Lehigh County, PA","42077","Hispanic or Latino","2135-2",1671
,"Lehigh County, PA","42077","Not Hispanic or Latino","2186-5",2355
,"Lehigh County, PA","42077","Unknown or Not Stated","9",31
,"Luzerne County, PA","42079","Hispanic or Latino","2135-2",914
,"Luzerne County, PA","42079","Not Hispanic or Latino","2186-5",2225
,"Luzerne County, PA","42079","Unknown or Not Stated","9",37
,"Lycoming County, PA","42081","Hispanic or Latino","2135-2",33
,"Lycoming County, PA","42081","Not Hispanic or Latino","2186-5",1131
,"Lycoming County, PA","42081","Unknown or Not Stated","9",Suppressed
,"Mercer County, PA","42085","Hispanic or Latino","2135-2",Suppressed
,"Mercer County, PA","42085","Not Hispanic or Latino","2186-5",1006
,"Mercer County, PA","42085","Unknown or Not Stated","9",Suppressed
,"Monroe County, PA","42089","Hispanic or Latino","2135-2",357
