"Intent or Manner","Age Group","State","Race","Death Count","Population","Crude Rate"
"Suicide","0 to 4","Washington","Black","--","24,308","--"
"Suicide","0 to 4","West Virginia","White","--","78,223","--"
"Suicide","0 to 4","West Virginia","Black","--","3,606","--"
"Suicide","0 to 4","Wisconsin","White","--","242,169","--"
"Suicide","0 to 4","Wisconsin","Black","--","32,763","--"
"Suicide","0 to 4","Wyoming","White","--","27,196","--"
"Suicide","0 to 4","Wyoming","Black","--","489","--"
"Suicide","5 to 9","Alabama","White","--","195,845","--"
"Suicide","5 to 9","Alabama","Black","--","88,383","--"
"Suicide","5 to 9","Alaska","White","--","26,339","--"
"Suicide","5 to 9","Alaska","Black","--","1,903","--"
"Suicide","5 to 9","Arizona","White","--","329,307","--"
"Suicide","5 to 9","Arizona","Black","--","30,234","--"
"Suicide","5 to 9","Arkansas","White","--","139,243","--"
"Suicide","5 to 9","Arkansas","Black","--","34,774","--"
"Suicide","5 to 9","California","White","--","1,021,998","--"
"Suicide","5 to 9","California","Black","--","85,783","--"
"Suicide","5 to 9","Colorado","White","--","268,503","--"
"Suicide","5 to 9","Colorado","Black","--","18,706","--"
"Suicide","5 to 9","Connecticut","White","--","140,462","--"
"Suicide","5 to 9","Connecticut","Black","--","29,507","--"
"Suicide","5 to 9","Delaware","White","--","33,312","--"
"Suicide","5 to 9","Delaware","Black","--","16,117","--"
"Suicide","5 to 9","District of Columbia","White","--","12,913","--"
"Suicide","5 to 9","District of Columbia","Black","--","20,234","--"
"Suicide","5 to 9","Florida","White","--","568,242","--"
"Suicide","5 to 9","Florida","Black","--","194,715","--"
"Suicide","5 to 9","Georgia","White","--","366,117","--"
"Suicide","5 to 9","Georgia","Black","--","241,878","--"
"Suicide","5 to 9","Hawaii","White","--","16,226","--"
"Suicide","5 to 9","Hawaii","Black","--","1,849","--"
"Suicide","5 to 9","Idaho","White","--","114,789","--"
"Suicide","5 to 9","Idaho","Black","--","1,484","--"
"Suicide","5 to 9","Illinois","White","--","536,488","--"
"Suicide","5 to 9","Illinois","Black","--","124,564","--"
"Suicide","5 to 9","Indiana","White","--","339,678","--"
"Suicide","5 to 9","Indiana","Black","--","54,854","--"
"Suicide","5 to 9","Iowa","White","--","168,273","--"
"Suicide","5 to 9","Iowa","Black","--","12,952","--"
"Suicide","5 to 9","Kansas","White","--","156,022","--"
"Suicide","5 to 9","Kansas","Black","--","13,212","--"
"Suicide","5 to 9","Kentucky","White","--","228,872","--"
"Suicide","5 to 9","Kentucky","Black","--","26,767","--"
"Suicide","5 to 9","Louisiana","White","--","166,006","--"
"Suicide","5 to 9","Louisiana","Black","--","108,466","--"
"Suicide","5 to 9","Maine","White","--","60,618","--"
"Suicide","5 to 9","Maine","Black","--","2,375","--"
"Suicide","5 to 9","Maryland","White","--","194,022","--"
"Suicide","5 to 9","Maryland","Black","--","121,062","--"
"Suicide","5 to 9","Massachusetts","White","--","260,644","--"
"Suicide","5 to 9","Massachusetts","Black","--","46,792","--"
"Suicide","5 to 9","Michigan","White","--","420,464","--"
"Suicide","5 to 9","Michigan","Black","--","100,527","--"
"Suicide","5 to 9","Minnesota","White","--","260,924","--"
"Suicide","5 to 9","Minnesota","Black","--","43,820","--"
"Suicide","5 to 9","Mississippi","White","--","97,202","--"
