"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Albany County, NY","36001","Female","F",1435
,"Albany County, NY","36001","Male","M",1451
,"Bronx County, NY","36005","Female","F",9884
,"Bronx County, NY","36005","Male","M",10237
,"Broome County, NY","36007","Female","F",902
,"Broome County, NY","36007","Male","M",975
,"Chautauqua County, NY","36013","Female","F",610
,"Chautauqua County, NY","36013","Male","M",689
,"Dutchess County, NY","36027","Female","F",1279
,"Dutchess County, NY","36027","Male","M",1270
,"Erie County, NY","36029","Female","F",4770
,"Erie County, NY","36029","Male","M",5042
,"Jefferson County, NY","36045","Female","F",914
,"Jefferson County, NY","36045","Male","M",950
,"Kings County, NY","36047","Female","F",18934
,"Kings County, NY","36047","Male","M",19640
,"Monroe County, NY","36055","Female","F",3871
,"Monroe County, NY","36055","Male","M",3901
,"Nassau County, NY","36059","Female","F",6863
,"Nassau County, NY","36059","Male","M",7265
,"New York County, NY","36061","Female","F",8226
,"New York County, NY","36061","Male","M",8794
,"Niagara County, NY","36063","Female","F",1045
,"Niagara County, NY","36063","Male","M",1055
,"Oneida County, NY","36065","Female","F",1214
,"Oneida County, NY","36065","Male","M",1286
,"Onondaga County, NY","36067","Female","F",2550
,"Onondaga County, NY","36067","Male","M",2686
,"Ontario County, NY","36069","Female","F",485
,"Ontario County, NY","36069","Male","M",481
,"Orange County, NY","36071","Female","F",2481
,"Orange County, NY","36071","Male","M",2584
,"Oswego County, NY","36075","Female","F",621
,"Oswego County, NY","36075","Male","M",596
,"Queens County, NY","36081","Female","F",13712
,"Queens County, NY","36081","Male","M",14330
,"Rensselaer County, NY","36083","Female","F",731
,"Rensselaer County, NY","36083","Male","M",860
,"Richmond County, NY","36085","Female","F",2501
,"Richmond County, NY","36085","Male","M",2685
,"Rockland County, NY","36087","Female","F",2804
,"Rockland County, NY","36087","Male","M",2915
,"St. Lawrence County, NY","36089","Female","F",505
,"St. Lawrence County, NY","36089","Male","M",575
,"Saratoga County, NY","36091","Female","F",944
,"Saratoga County, NY","36091","Male","M",1078
,"Schenectady County, NY","36093","Female","F",913
,"Schenectady County, NY","36093","Male","M",927
,"Suffolk County, NY","36103","Female","F",7472
,"Suffolk County, NY","36103","Male","M",7806
,"Tompkins County, NY","36109","Female","F",333
,"Tompkins County, NY","36109","Male","M",402
,"Ulster County, NY","36111","Female","F",740
,"Ulster County, NY","36111","Male","M",806
,"Westchester County, NY","36119","Female","F",4985
,"Westchester County, NY","36119","Male","M",5106
,"Unidentified Counties, NY","36999","Female","F",8915
,"Unidentified Counties, NY","36999","Male","M",9207
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New York (36)"
"Year: 2018"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 1:51:13 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 1:51:13 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"4. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"5. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"6. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"7. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
