"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",4403
,"Alabama","01","Not Hispanic or Latino","2186-5",53334
,"Alabama","01","Unknown or Not Stated","9",24
,"Alaska","02","Hispanic or Latino","2135-2",807
,"Alaska","02","Not Hispanic or Latino","2186-5",9163
,"Alaska","02","Unknown or Not Stated","9",116
,"Arizona","04","Hispanic or Latino","2135-2",34084
,"Arizona","04","Not Hispanic or Latino","2186-5",46176
,"Arizona","04","Unknown or Not Stated","9",463
,"Arkansas","05","Hispanic or Latino","2135-2",4099
,"Arkansas","05","Not Hispanic or Latino","2186-5",32701
,"Arkansas","05","Unknown or Not Stated","9",218
,"California","06","Hispanic or Latino","2135-2",211271
,"California","06","Not Hispanic or Latino","2186-5",228519
,"California","06","Unknown or Not Stated","9",15130
,"Colorado","08","Hispanic or Latino","2135-2",17817
,"Colorado","08","Not Hispanic or Latino","2186-5",44070
,"Colorado","08","Unknown or Not Stated","9",998
,"Connecticut","09","Hispanic or Latino","2135-2",8762
,"Connecticut","09","Not Hispanic or Latino","2186-5",25930
,"Connecticut","09","Unknown or Not Stated","9",33
,"Delaware","10","Hispanic or Latino","2135-2",1710
,"Delaware","10","Not Hispanic or Latino","2186-5",8875
,"Delaware","10","Unknown or Not Stated","9",36
,"District of Columbia","11","Hispanic or Latino","2135-2",1296
,"District of Columbia","11","Not Hispanic or Latino","2186-5",7915
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Hispanic or Latino","2135-2",67201
,"Florida","12","Not Hispanic or Latino","2186-5",154196
,"Florida","12","Unknown or Not Stated","9",145
,"Georgia","13","Hispanic or Latino","2135-2",17432
,"Georgia","13","Not Hispanic or Latino","2186-5",107794
,"Georgia","13","Unknown or Not Stated","9",946
,"Hawaii","15","Hispanic or Latino","2135-2",2580
,"Hawaii","15","Not Hispanic or Latino","2186-5",14330
,"Hawaii","15","Unknown or Not Stated","9",62
,"Idaho","16","Hispanic or Latino","2135-2",3549
,"Idaho","16","Not Hispanic or Latino","2186-5",17793
,"Idaho","16","Unknown or Not Stated","9",61
,"Illinois","17","Hispanic or Latino","2135-2",30362
,"Illinois","17","Not Hispanic or Latino","2186-5",113316
,"Illinois","17","Unknown or Not Stated","9",1137
