"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Brown County, WI","55009","Under 15 years","15",Suppressed
,"Brown County, WI","55009","15-19 years","15-19",130
,"Brown County, WI","55009","20-24 years","20-24",512
,"Brown County, WI","55009","25-29 years","25-29",1046
,"Brown County, WI","55009","30-34 years","30-34",1008
,"Brown County, WI","55009","35-39 years","35-39",401
,"Brown County, WI","55009","40-44 years","40-44",59
,"Brown County, WI","55009","45-49 years","45-49",Suppressed
,"Brown County, WI","55009","50 years and over","50+",0
,"Dane County, WI","55025","Under 15 years","15",Suppressed
,"Dane County, WI","55025","15-19 years","15-19",135
,"Dane County, WI","55025","20-24 years","20-24",541
,"Dane County, WI","55025","25-29 years","25-29",1434
,"Dane County, WI","55025","30-34 years","30-34",2288
,"Dane County, WI","55025","35-39 years","35-39",1170
,"Dane County, WI","55025","40-44 years","40-44",177
,"Dane County, WI","55025","45-49 years","45-49",Suppressed
,"Dane County, WI","55025","50 years and over","50+",Suppressed
,"Fond du Lac County, WI","55039","Under 15 years","15",0
,"Fond du Lac County, WI","55039","15-19 years","15-19",30
,"Fond du Lac County, WI","55039","20-24 years","20-24",203
,"Fond du Lac County, WI","55039","25-29 years","25-29",384
,"Fond du Lac County, WI","55039","30-34 years","30-34",319
,"Fond du Lac County, WI","55039","35-39 years","35-39",118
,"Fond du Lac County, WI","55039","40-44 years","40-44",19
,"Fond du Lac County, WI","55039","45-49 years","45-49",0
,"Fond du Lac County, WI","55039","50 years and over","50+",0
,"Kenosha County, WI","55059","Under 15 years","15",0
,"Kenosha County, WI","55059","15-19 years","15-19",94
,"Kenosha County, WI","55059","20-24 years","20-24",336
,"Kenosha County, WI","55059","25-29 years","25-29",565
,"Kenosha County, WI","55059","30-34 years","30-34",511
,"Kenosha County, WI","55059","35-39 years","35-39",235
,"Kenosha County, WI","55059","40-44 years","40-44",47
,"Kenosha County, WI","55059","45-49 years","45-49",0
,"Kenosha County, WI","55059","50 years and over","50+",0
,"La Crosse County, WI","55063","Under 15 years","15",0
,"La Crosse County, WI","55063","15-19 years","15-19",31
,"La Crosse County, WI","55063","20-24 years","20-24",167
,"La Crosse County, WI","55063","25-29 years","25-29",386
,"La Crosse County, WI","55063","30-34 years","30-34",399
,"La Crosse County, WI","55063","35-39 years","35-39",167
,"La Crosse County, WI","55063","40-44 years","40-44",26
,"La Crosse County, WI","55063","45-49 years","45-49",0
,"La Crosse County, WI","55063","50 years and over","50+",0
,"Marathon County, WI","55073","Under 15 years","15",Suppressed
,"Marathon County, WI","55073","15-19 years","15-19",48
,"Marathon County, WI","55073","20-24 years","20-24",287
,"Marathon County, WI","55073","25-29 years","25-29",520
,"Marathon County, WI","55073","30-34 years","30-34",455
,"Marathon County, WI","55073","35-39 years","35-39",218
,"Marathon County, WI","55073","40-44 years","40-44",31
,"Marathon County, WI","55073","45-49 years","45-49",Suppressed
,"Marathon County, WI","55073","50 years and over","50+",0
