"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Adams County, CO","08001","Hispanic or Latino","2135-2",2841
,"Adams County, CO","08001","Not Hispanic or Latino","2186-5",3316
,"Adams County, CO","08001","Unknown or Not Stated","9",136
,"Arapahoe County, CO","08005","Hispanic or Latino","2135-2",1912
,"Arapahoe County, CO","08005","Not Hispanic or Latino","2186-5",5310
,"Arapahoe County, CO","08005","Unknown or Not Stated","9",179
,"Boulder County, CO","08013","Hispanic or Latino","2135-2",612
,"Boulder County, CO","08013","Not Hispanic or Latino","2186-5",1904
,"Boulder County, CO","08013","Unknown or Not Stated","9",44
,"Denver County, CO","08031","Hispanic or Latino","2135-2",3388
,"Denver County, CO","08031","Not Hispanic or Latino","2186-5",5874
,"Denver County, CO","08031","Unknown or Not Stated","9",162
,"Douglas County, CO","08035","Hispanic or Latino","2135-2",319
,"Douglas County, CO","08035","Not Hispanic or Latino","2186-5",3046
,"Douglas County, CO","08035","Unknown or Not Stated","9",30
,"El Paso County, CO","08041","Hispanic or Latino","2135-2",2149
,"El Paso County, CO","08041","Not Hispanic or Latino","2186-5",6925
,"El Paso County, CO","08041","Unknown or Not Stated","9",33
,"Jefferson County, CO","08059","Hispanic or Latino","2135-2",1075
,"Jefferson County, CO","08059","Not Hispanic or Latino","2186-5",4462
,"Jefferson County, CO","08059","Unknown or Not Stated","9",117
,"Larimer County, CO","08069","Hispanic or Latino","2135-2",560
,"Larimer County, CO","08069","Not Hispanic or Latino","2186-5",2616
,"Larimer County, CO","08069","Unknown or Not Stated","9",43
,"Mesa County, CO","08077","Hispanic or Latino","2135-2",321
,"Mesa County, CO","08077","Not Hispanic or Latino","2186-5",1312
,"Mesa County, CO","08077","Unknown or Not Stated","9",22
,"Pueblo County, CO","08101","Hispanic or Latino","2135-2",880
,"Pueblo County, CO","08101","Not Hispanic or Latino","2186-5",883
,"Pueblo County, CO","08101","Unknown or Not Stated","9",66
,"Weld County, CO","08123","Hispanic or Latino","2135-2",1526
,"Weld County, CO","08123","Not Hispanic or Latino","2186-5",2678
,"Weld County, CO","08123","Unknown or Not Stated","9",39
,"Unidentified Counties, CO","08999","Hispanic or Latino","2135-2",2234
,"Unidentified Counties, CO","08999","Not Hispanic or Latino","2186-5",5744
,"Unidentified Counties, CO","08999","Unknown or Not Stated","9",127
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Colorado (08)"
"Year: 2018"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 3:12:17 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 3:12:17 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
