"Notes","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code",Births
,"Alabama","01","Vaginal","1",37702
,"Alabama","01","Cesarean","2",20056
,"Alabama","01","Unknown or Not Stated","9",Suppressed
,"Alaska","02","Vaginal","1",7822
,"Alaska","02","Cesarean","2",2260
,"Alaska","02","Unknown or Not Stated","9",Suppressed
,"Arizona","04","Vaginal","1",58521
,"Arizona","04","Cesarean","2",22199
,"Arizona","04","Unknown or Not Stated","9",Suppressed
,"Arkansas","05","Vaginal","1",24138
,"Arkansas","05","Cesarean","2",12876
,"Arkansas","05","Unknown or Not Stated","9",Suppressed
,"California","06","Vaginal","1",314452
,"California","06","Cesarean","2",140464
,"California","06","Unknown or Not Stated","9",Suppressed
,"Colorado","08","Vaginal","1",46487
,"Colorado","08","Cesarean","2",16397
,"Colorado","08","Unknown or Not Stated","9",Suppressed
,"Connecticut","09","Vaginal","1",22630
,"Connecticut","09","Cesarean","2",12089
,"Connecticut","09","Unknown or Not Stated","9",Suppressed
,"Delaware","10","Vaginal","1",7294
,"Delaware","10","Cesarean","2",3325
,"Delaware","10","Unknown or Not Stated","9",Suppressed
,"District of Columbia","11","Vaginal","1",6303
,"District of Columbia","11","Cesarean","2",2905
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Vaginal","1",139876
,"Florida","12","Cesarean","2",81550
,"Florida","12","Unknown or Not Stated","9",116
,"Georgia","13","Vaginal","1",83218
,"Georgia","13","Cesarean","2",42851
,"Georgia","13","Unknown or Not Stated","9",103
,"Hawaii","15","Vaginal","1",12408
,"Hawaii","15","Cesarean","2",4561
,"Hawaii","15","Unknown or Not Stated","9",Suppressed
,"Idaho","16","Vaginal","1",16270
,"Idaho","16","Cesarean","2",5128
,"Idaho","16","Unknown or Not Stated","9",Suppressed
,"Illinois","17","Vaginal","1",99664
,"Illinois","17","Cesarean","2",45099
,"Illinois","17","Unknown or Not Stated","9",52
,"Indiana","18","Vaginal","1",57290
,"Indiana","18","Cesarean","2",24344
,"Indiana","18","Unknown or Not Stated","9",12
,"Iowa","19","Vaginal","1",26516
,"Iowa","19","Cesarean","2",11269
,"Iowa","19","Unknown or Not Stated","9",0
,"Kansas","20","Vaginal","1",25476
,"Kansas","20","Cesarean","2",10785
,"Kansas","20","Unknown or Not Stated","9",0
,"Kentucky","21","Vaginal","1",35383
,"Kentucky","21","Cesarean","2",18509
,"Kentucky","21","Unknown or Not Stated","9",30
,"Louisiana","22","Vaginal","1",37576
,"Louisiana","22","Cesarean","2",22038
,"Louisiana","22","Unknown or Not Stated","9",Suppressed
,"Maine","23","Vaginal","1",8571
,"Maine","23","Cesarean","2",3740
,"Maine","23","Unknown or Not Stated","9",0
,"Maryland","24","Vaginal","1",47008
,"Maryland","24","Cesarean","2",24058
,"Maryland","24","Unknown or Not Stated","9",14
,"Massachusetts","25","Vaginal","1",47303
,"Massachusetts","25","Cesarean","2",21719
,"Massachusetts","25","Unknown or Not Stated","9",87
,"Michigan","26","Vaginal","1",74641
,"Michigan","26","Cesarean","2",35365
,"Michigan","26","Unknown or Not Stated","9",26
,"Minnesota","27","Vaginal","1",49168
,"Minnesota","27","Cesarean","2",18155
,"Minnesota","27","Unknown or Not Stated","9",21
,"Mississippi","28","Vaginal","1",22824
,"Mississippi","28","Cesarean","2",14167
,"Mississippi","28","Unknown or Not Stated","9",Suppressed
,"Missouri","29","Vaginal","1",51194
,"Missouri","29","Cesarean","2",21906
,"Missouri","29","Unknown or Not Stated","9",169
,"Montana","30","Vaginal","1",8268
,"Montana","30","Cesarean","2",3235
,"Montana","30","Unknown or Not Stated","9",10
,"Nebraska","31","Vaginal","1",17869
,"Nebraska","31","Cesarean","2",7619
,"Nebraska","31","Unknown or Not Stated","9",0
,"Nevada","32","Vaginal","1",23609
,"Nevada","32","Cesarean","2",12073
,"Nevada","32","Unknown or Not Stated","9",0
,"New Hampshire","33","Vaginal","1",8199
,"New Hampshire","33","Cesarean","2",3795
,"New Hampshire","33","Unknown or Not Stated","9",Suppressed
,"New Jersey","34","Vaginal","1",65849
,"New Jersey","34","Cesarean","2",35335
,"New Jersey","34","Unknown or Not Stated","9",39
,"New Mexico","35","Vaginal","1",17204
,"New Mexico","35","Cesarean","2",5834
,"New Mexico","35","Unknown or Not Stated","9",Suppressed
,"New York","36","Vaginal","1",149324
,"New York","36","Cesarean","2",76470
,"New York","36","Unknown or Not Stated","9",444
,"North Carolina","37","Vaginal","1",83935
,"North Carolina","37","Cesarean","2",34982
,"North Carolina","37","Unknown or Not Stated","9",37
,"North Dakota","38","Vaginal","1",7816
,"North Dakota","38","Cesarean","2",2820
,"North Dakota","38","Unknown or Not Stated","9",0
,"Ohio","39","Vaginal","1",93528
,"Ohio","39","Cesarean","2",41558
,"Ohio","39","Unknown or Not Stated","9",48
,"Oklahoma","40","Vaginal","1",33454
,"Oklahoma","40","Cesarean","2",16346
,"Oklahoma","40","Unknown or Not Stated","9",0
,"Oregon","41","Vaginal","1",30364
,"Oregon","41","Cesarean","2",11824
,"Oregon","41","Unknown or Not Stated","9",0
,"Pennsylvania","42","Vaginal","1",94789
,"Pennsylvania","42","Cesarean","2",40845
,"Pennsylvania","42","Unknown or Not Stated","9",39
,"Rhode Island","44","Vaginal","1",7119
,"Rhode Island","44","Cesarean","2",3382
,"Rhode Island","44","Unknown or Not Stated","9",Suppressed
,"South Carolina","45","Vaginal","1",37667
,"South Carolina","45","Cesarean","2",18994
,"South Carolina","45","Unknown or Not Stated","9",Suppressed
,"South Dakota","46","Vaginal","1",8964
,"South Dakota","46","Cesarean","2",2929
,"South Dakota","46","Unknown or Not Stated","9",0
,"Tennessee","47","Vaginal","1",54558
,"Tennessee","47","Cesarean","2",26166
,"Tennessee","47","Unknown or Not Stated","9",27
,"Texas","48","Vaginal","1",245950
,"Texas","48","Cesarean","2",132626
,"Texas","48","Unknown or Not Stated","9",48
,"Utah","49","Vaginal","1",36500
,"Utah","49","Cesarean","2",10707
,"Utah","49","Unknown or Not Stated","9",Suppressed
,"Vermont","50","Vaginal","1",4023
,"Vermont","50","Cesarean","2",1409
,"Vermont","50","Unknown or Not Stated","9",0
,"Virginia","51","Vaginal","1",67491
,"Virginia","51","Cesarean","2",32348
,"Virginia","51","Unknown or Not Stated","9",Suppressed
,"Washington","53","Vaginal","1",61998
,"Washington","53","Cesarean","2",23980
,"Washington","53","Unknown or Not Stated","9",107
,"West Virginia","54","Vaginal","1",12014
,"West Virginia","54","Cesarean","2",6224
,"West Virginia","54","Unknown or Not Stated","9",10
,"Wisconsin","55","Vaginal","1",47001
,"Wisconsin","55","Cesarean","2",17062
,"Wisconsin","55","Unknown or Not Stated","9",35
,"Wyoming","56","Vaginal","1",4764
,"Wyoming","56","Cesarean","2",1798
,"Wyoming","56","Unknown or Not Stated","9",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2018"
"Group By: State of Residence; Delivery Method"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:36:02 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:36:02 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
