"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Allegan County, MI","26005","Female","F",676
,"Allegan County, MI","26005","Male","M",740
,"Bay County, MI","26017","Female","F",457
,"Bay County, MI","26017","Male","M",490
,"Berrien County, MI","26021","Female","F",814
,"Berrien County, MI","26021","Male","M",860
,"Calhoun County, MI","26025","Female","F",718
,"Calhoun County, MI","26025","Male","M",819
,"Eaton County, MI","26045","Female","F",558
,"Eaton County, MI","26045","Male","M",548
,"Genesee County, MI","26049","Female","F",2199
,"Genesee County, MI","26049","Male","M",2359
,"Ingham County, MI","26065","Female","F",1471
,"Ingham County, MI","26065","Male","M",1578
,"Jackson County, MI","26075","Female","F",857
,"Jackson County, MI","26075","Male","M",884
,"Kalamazoo County, MI","26077","Female","F",1506
,"Kalamazoo County, MI","26077","Male","M",1568
,"Kent County, MI","26081","Female","F",4249
,"Kent County, MI","26081","Male","M",4399
,"Livingston County, MI","26093","Female","F",843
,"Livingston County, MI","26093","Male","M",861
,"Macomb County, MI","26099","Female","F",4370
,"Macomb County, MI","26099","Male","M",4801
,"Monroe County, MI","26115","Female","F",718
,"Monroe County, MI","26115","Male","M",750
,"Muskegon County, MI","26121","Female","F",1000
,"Muskegon County, MI","26121","Male","M",1051
,"Oakland County, MI","26125","Female","F",6528
,"Oakland County, MI","26125","Male","M",6654
,"Ottawa County, MI","26139","Female","F",1529
,"Ottawa County, MI","26139","Male","M",1609
,"Saginaw County, MI","26145","Female","F",1078
,"Saginaw County, MI","26145","Male","M",1104
,"St. Clair County, MI","26147","Female","F",765
,"St. Clair County, MI","26147","Male","M",778
,"Washtenaw County, MI","26161","Female","F",1781
,"Washtenaw County, MI","26161","Male","M",1746
,"Wayne County, MI","26163","Female","F",11171
,"Wayne County, MI","26163","Male","M",11739
,"Unidentified Counties, MI","26999","Female","F",10430
,"Unidentified Counties, MI","26999","Male","M",10976
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Michigan (26)"
"Year: 2018"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 1:40:32 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 1:40:32 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
