"Notes","State of Residence","State of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alabama","01","Female","F",27993
,"Alabama","01","Male","M",29768
,"Alaska","02","Female","F",4878
,"Alaska","02","Male","M",5208
,"Arizona","04","Female","F",39389
,"Arizona","04","Male","M",41334
,"Arkansas","05","Female","F",18188
,"Arkansas","05","Male","M",18830
,"California","06","Female","F",222531
,"California","06","Male","M",232389
,"Colorado","08","Female","F",30863
,"Colorado","08","Male","M",32022
,"Connecticut","09","Female","F",16927
,"Connecticut","09","Male","M",17798
,"Delaware","10","Female","F",5159
,"Delaware","10","Male","M",5462
,"District of Columbia","11","Female","F",4475
,"District of Columbia","11","Male","M",4737
,"Florida","12","Female","F",108088
,"Florida","12","Male","M",113454
,"Georgia","13","Female","F",61712
,"Georgia","13","Male","M",64460
,"Hawaii","15","Female","F",8246
,"Hawaii","15","Male","M",8726
,"Idaho","16","Female","F",10435
,"Idaho","16","Male","M",10968
,"Illinois","17","Female","F",70695
,"Illinois","17","Male","M",74120
,"Indiana","18","Female","F",39911
,"Indiana","18","Male","M",41735
,"Iowa","19","Female","F",18484
,"Iowa","19","Male","M",19301
,"Kansas","20","Female","F",17674
,"Kansas","20","Male","M",18587
,"Kentucky","21","Female","F",26254
,"Kentucky","21","Male","M",27668
,"Louisiana","22","Female","F",29197
,"Louisiana","22","Male","M",30418
,"Maine","23","Female","F",6063
,"Maine","23","Male","M",6248
,"Maryland","24","Female","F",34782
,"Maryland","24","Male","M",36298
,"Massachusetts","25","Female","F",33810
,"Massachusetts","25","Male","M",35299
,"Michigan","26","Female","F",53718
,"Michigan","26","Male","M",56314
,"Minnesota","27","Female","F",33060
,"Minnesota","27","Male","M",34284
,"Mississippi","28","Female","F",18184
,"Mississippi","28","Male","M",18816
,"Missouri","29","Female","F",35966
,"Missouri","29","Male","M",37303
,"Montana","30","Female","F",5609
,"Montana","30","Male","M",5904
,"Nebraska","31","Female","F",12433
,"Nebraska","31","Male","M",13055
,"Nevada","32","Female","F",17370
,"Nevada","32","Male","M",18312
,"New Hampshire","33","Female","F",5978
,"New Hampshire","33","Male","M",6017
,"New Jersey","34","Female","F",49532
,"New Jersey","34","Male","M",51691
,"New Mexico","35","Female","F",11385
,"New Mexico","35","Male","M",11654
,"New York","36","Female","F",110639
,"New York","36","Male","M",115599
,"North Carolina","37","Female","F",58387
,"North Carolina","37","Male","M",60567
,"North Dakota","38","Female","F",5121
,"North Dakota","38","Male","M",5515
,"Ohio","39","Female","F",66201
,"Ohio","39","Male","M",68933
,"Oklahoma","40","Female","F",24287
,"Oklahoma","40","Male","M",25513
,"Oregon","41","Female","F",20615
,"Oregon","41","Male","M",21573
,"Pennsylvania","42","Female","F",65899
,"Pennsylvania","42","Male","M",69774
,"Rhode Island","44","Female","F",5214
,"Rhode Island","44","Male","M",5292
,"South Carolina","45","Female","F",27591
,"South Carolina","45","Male","M",29078
,"South Dakota","46","Female","F",5885
,"South Dakota","46","Male","M",6008
,"Tennessee","47","Female","F",39655
,"Tennessee","47","Male","M",41096
,"Texas","48","Female","F",185303
,"Texas","48","Male","M",193321
,"Utah","49","Female","F",23000
,"Utah","49","Male","M",24209
,"Vermont","50","Female","F",2666
,"Vermont","50","Male","M",2766
,"Virginia","51","Female","F",48629
,"Virginia","51","Male","M",51214
,"Washington","53","Female","F",42233
,"Washington","53","Male","M",43852
,"West Virginia","54","Female","F",8815
,"West Virginia","54","Male","M",9433
,"Wisconsin","55","Female","F",31218
,"Wisconsin","55","Male","M",32880
,"Wyoming","56","Female","F",3186
,"Wyoming","56","Male","M",3376
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2018"
"Group By: State of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:05:00 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:05:00 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
