"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alachua County, FL","12001","Hispanic or Latino","2135-2",252
,"Alachua County, FL","12001","Not Hispanic or Latino","2186-5",2480
,"Alachua County, FL","12001","Unknown or Not Stated","9",Suppressed
,"Bay County, FL","12005","Hispanic or Latino","2135-2",186
,"Bay County, FL","12005","Not Hispanic or Latino","2186-5",2000
,"Bay County, FL","12005","Unknown or Not Stated","9",Suppressed
,"Brevard County, FL","12009","Hispanic or Latino","2135-2",737
,"Brevard County, FL","12009","Not Hispanic or Latino","2186-5",4569
,"Brevard County, FL","12009","Unknown or Not Stated","9",Suppressed
,"Broward County, FL","12011","Hispanic or Latino","2135-2",7132
,"Broward County, FL","12011","Not Hispanic or Latino","2186-5",14790
,"Broward County, FL","12011","Unknown or Not Stated","9",Suppressed
,"Charlotte County, FL","12015","Hispanic or Latino","2135-2",131
,"Charlotte County, FL","12015","Not Hispanic or Latino","2186-5",909
,"Charlotte County, FL","12015","Unknown or Not Stated","9",0
,"Citrus County, FL","12017","Hispanic or Latino","2135-2",72
,"Citrus County, FL","12017","Not Hispanic or Latino","2186-5",951
,"Citrus County, FL","12017","Unknown or Not Stated","9",Suppressed
,"Clay County, FL","12019","Hispanic or Latino","2135-2",197
,"Clay County, FL","12019","Not Hispanic or Latino","2186-5",1984
,"Clay County, FL","12019","Unknown or Not Stated","9",Suppressed
,"Collier County, FL","12021","Hispanic or Latino","2135-2",1528
,"Collier County, FL","12021","Not Hispanic or Latino","2186-5",1671
,"Collier County, FL","12021","Unknown or Not Stated","9",0
,"Duval County, FL","12031","Hispanic or Latino","2135-2",1640
,"Duval County, FL","12031","Not Hispanic or Latino","2186-5",11322
,"Duval County, FL","12031","Unknown or Not Stated","9",11
,"Escambia County, FL","12033","Hispanic or Latino","2135-2",249
,"Escambia County, FL","12033","Not Hispanic or Latino","2186-5",3483
,"Escambia County, FL","12033","Unknown or Not Stated","9",Suppressed
,"Hernando County, FL","12053","Hispanic or Latino","2135-2",254
,"Hernando County, FL","12053","Not Hispanic or Latino","2186-5",1362
,"Hernando County, FL","12053","Unknown or Not Stated","9",Suppressed
,"Hillsborough County, FL","12057","Hispanic or Latino","2135-2",5495
,"Hillsborough County, FL","12057","Not Hispanic or Latino","2186-5",11627
,"Hillsborough County, FL","12057","Unknown or Not Stated","9",Suppressed
,"Indian River County, FL","12061","Hispanic or Latino","2135-2",253
,"Indian River County, FL","12061","Not Hispanic or Latino","2186-5",1041
,"Indian River County, FL","12061","Unknown or Not Stated","9",0
,"Lake County, FL","12069","Hispanic or Latino","2135-2",703
,"Lake County, FL","12069","Not Hispanic or Latino","2186-5",2665
,"Lake County, FL","12069","Unknown or Not Stated","9",0
