"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Oswego County, NY","36075","American Indian or Alaska Native","1002-5",Suppressed
,"Oswego County, NY","36075","Asian","A",Suppressed
,"Oswego County, NY","36075","Black or African American","2054-5",11
,"Oswego County, NY","36075","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Oswego County, NY","36075","White","2106-3",1179
,"Oswego County, NY","36075","More than one race","M",18
,"Oswego County, NY","36075","Unknown or Not Stated","UNK",0
,"Oswego County, NY","36075","Not Available","NA",0
,"Oswego County, NY","36075","Not Reported","NR",0
,"Queens County, NY","36081","American Indian or Alaska Native","1002-5",45
,"Queens County, NY","36081","Asian","A",8890
,"Queens County, NY","36081","Black or African American","2054-5",5368
,"Queens County, NY","36081","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Queens County, NY","36081","White","2106-3",13288
,"Queens County, NY","36081","More than one race","M",441
,"Queens County, NY","36081","Unknown or Not Stated","UNK",0
,"Queens County, NY","36081","Not Available","NA",0
,"Queens County, NY","36081","Not Reported","NR",0
,"Rensselaer County, NY","36083","American Indian or Alaska Native","1002-5",Suppressed
,"Rensselaer County, NY","36083","Asian","A",69
,"Rensselaer County, NY","36083","Black or African American","2054-5",201
,"Rensselaer County, NY","36083","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Rensselaer County, NY","36083","White","2106-3",1271
,"Rensselaer County, NY","36083","More than one race","M",49
,"Rensselaer County, NY","36083","Unknown or Not Stated","UNK",0
,"Rensselaer County, NY","36083","Not Available","NA",0
,"Rensselaer County, NY","36083","Not Reported","NR",0
,"Richmond County, NY","36085","American Indian or Alaska Native","1002-5",15
,"Richmond County, NY","36085","Asian","A",592
,"Richmond County, NY","36085","Black or African American","2054-5",810
,"Richmond County, NY","36085","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Richmond County, NY","36085","White","2106-3",3672
,"Richmond County, NY","36085","More than one race","M",95
,"Richmond County, NY","36085","Unknown or Not Stated","UNK",0
,"Richmond County, NY","36085","Not Available","NA",0
,"Richmond County, NY","36085","Not Reported","NR",0
,"Rockland County, NY","36087","American Indian or Alaska Native","1002-5",15
,"Rockland County, NY","36087","Asian","A",212
,"Rockland County, NY","36087","Black or African American","2054-5",473
,"Rockland County, NY","36087","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Rockland County, NY","36087","White","2106-3",4984
,"Rockland County, NY","36087","More than one race","M",32
,"Rockland County, NY","36087","Unknown or Not Stated","UNK",0
,"Rockland County, NY","36087","Not Available","NA",0
,"Rockland County, NY","36087","Not Reported","NR",0
,"St. Lawrence County, NY","36089","American Indian or Alaska Native","1002-5",Suppressed
,"St. Lawrence County, NY","36089","Asian","A",10
,"St. Lawrence County, NY","36089","Black or African American","2054-5",13
,"St. Lawrence County, NY","36089","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"St. Lawrence County, NY","36089","White","2106-3",1038
,"St. Lawrence County, NY","36089","More than one race","M",13
,"St. Lawrence County, NY","36089","Unknown or Not Stated","UNK",0
,"St. Lawrence County, NY","36089","Not Available","NA",0
,"St. Lawrence County, NY","36089","Not Reported","NR",0
,"Saratoga County, NY","36091","American Indian or Alaska Native","1002-5",Suppressed
,"Saratoga County, NY","36091","Asian","A",117
,"Saratoga County, NY","36091","Black or African American","2054-5",41
,"Saratoga County, NY","36091","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Saratoga County, NY","36091","White","2106-3",1832
,"Saratoga County, NY","36091","More than one race","M",28
,"Saratoga County, NY","36091","Unknown or Not Stated","UNK",0
,"Saratoga County, NY","36091","Not Available","NA",0
,"Saratoga County, NY","36091","Not Reported","NR",0
,"Schenectady County, NY","36093","American Indian or Alaska Native","1002-5",Suppressed
,"Schenectady County, NY","36093","Asian","A",124
,"Schenectady County, NY","36093","Black or African American","2054-5",328
,"Schenectady County, NY","36093","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Schenectady County, NY","36093","White","2106-3",1307
,"Schenectady County, NY","36093","More than one race","M",73
,"Schenectady County, NY","36093","Unknown or Not Stated","UNK",0
,"Schenectady County, NY","36093","Not Available","NA",0
,"Schenectady County, NY","36093","Not Reported","NR",0
,"Suffolk County, NY","36103","American Indian or Alaska Native","1002-5",42
,"Suffolk County, NY","36103","Asian","A",792
,"Suffolk County, NY","36103","Black or African American","2054-5",1590
,"Suffolk County, NY","36103","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Suffolk County, NY","36103","White","2106-3",12616
,"Suffolk County, NY","36103","More than one race","M",226
,"Suffolk County, NY","36103","Unknown or Not Stated","UNK",0
,"Suffolk County, NY","36103","Not Available","NA",0
,"Suffolk County, NY","36103","Not Reported","NR",0
,"Tompkins County, NY","36109","American Indian or Alaska Native","1002-5",0
,"Tompkins County, NY","36109","Asian","A",72
,"Tompkins County, NY","36109","Black or African American","2054-5",38
,"Tompkins County, NY","36109","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Tompkins County, NY","36109","White","2106-3",605
,"Tompkins County, NY","36109","More than one race","M",19
,"Tompkins County, NY","36109","Unknown or Not Stated","UNK",0
,"Tompkins County, NY","36109","Not Available","NA",0
,"Tompkins County, NY","36109","Not Reported","NR",0
,"Ulster County, NY","36111","American Indian or Alaska Native","1002-5",Suppressed
,"Ulster County, NY","36111","Asian","A",45
,"Ulster County, NY","36111","Black or African American","2054-5",153
,"Ulster County, NY","36111","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Ulster County, NY","36111","White","2106-3",1302
,"Ulster County, NY","36111","More than one race","M",41
,"Ulster County, NY","36111","Unknown or Not Stated","UNK",0
,"Ulster County, NY","36111","Not Available","NA",0
,"Ulster County, NY","36111","Not Reported","NR",0
,"Westchester County, NY","36119","American Indian or Alaska Native","1002-5",32
,"Westchester County, NY","36119","Asian","A",796
,"Westchester County, NY","36119","Black or African American","2054-5",1894
,"Westchester County, NY","36119","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Westchester County, NY","36119","White","2106-3",7202
,"Westchester County, NY","36119","More than one race","M",157
,"Westchester County, NY","36119","Unknown or Not Stated","UNK",0
,"Westchester County, NY","36119","Not Available","NA",0
,"Westchester County, NY","36119","Not Reported","NR",0
,"Unidentified Counties, NY","36999","American Indian or Alaska Native","1002-5",135
,"Unidentified Counties, NY","36999","Asian","A",253
,"Unidentified Counties, NY","36999","Black or African American","2054-5",490
,"Unidentified Counties, NY","36999","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Unidentified Counties, NY","36999","White","2106-3",16885
,"Unidentified Counties, NY","36999","More than one race","M",348
,"Unidentified Counties, NY","36999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, NY","36999","Not Available","NA",0
,"Unidentified Counties, NY","36999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New York (36)"
"Year: 2018"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:46:27 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:46:27 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"5. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"6. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"7. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"8. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
